station_id,station_name,map_image_path,satellite_image_path,mobility_score,observed_subway_score,hidden_gap_score,temporal_score,visual_morphology_score,mobility_minus_subway_gap,hidden_demand_reconstruction_score_norm,station_type
2519,까치산,images/station_tiles/satellite/2519_까치산.png,images/station_tiles/satellite/2519_까치산.png,1.0,0.5191759807144423,1.0,0.9032435671534366,0.5384615384615384,0.6781251119007279,0.5191759807144423,diverse_living_area_hidden
2824,단대오거리,images/station_tiles/satellite/2824_단대오거리.png,images/station_tiles/satellite/2824_단대오거리.png,0.7309191035312452,0.5860179706333553,0.9550663589599737,0.65646565240817,0.6346153846153846,0.6170014051339521,0.5860179706333553,diverse_living_area_hidden
2561,마천,images/station_tiles/satellite/2561_마천.png,images/station_tiles/satellite/2561_마천.png,0.6864666466682824,0.5283804514573746,0.9379351142585681,0.2378030044256104,1.0,0.6130045307725955,0.5283804514573746,diverse_living_area_hidden
249,신정네거리,images/station_tiles/satellite/249_신정네거리.png,images/station_tiles/satellite/249_신정네거리.png,0.6475210272049827,0.021696252465483234,0.8546130951290728,0.856763475944789,0.5384615384615384,0.5425260948670856,0.021696252465483234,diverse_living_area_hidden
2716,중계,images/station_tiles/satellite/2716_중계.png,images/station_tiles/satellite/2716_중계.png,0.6584275740169632,0.5623493315801008,0.8147955535114167,0.8582414089133855,0.2980769230769231,0.4975985742990838,0.5623493315801008,diverse_living_area_hidden
2611,응암,images/station_tiles/satellite/2611_응암.png,images/station_tiles/satellite/2611_응암.png,0.651248672119426,0.5393381547227701,0.7724136235695923,0.794116611063808,0.40384615384615385,0.4555391027043245,0.5393381547227701,diverse_living_area_hidden
314,홍제,images/station_tiles/satellite/314_홍제.png,images/station_tiles/satellite/314_홍제.png,0.6450835753648976,0.03594126671049748,0.7614778427612868,0.7562587876760914,0.6730769230769231,0.4455647332370832,0.03594126671049748,diverse_living_area_hidden
2560,거여,images/station_tiles/satellite/2560_거여.png,images/station_tiles/satellite/2560_거여.png,0.5673544385665344,0.5281612973920666,0.7519905855471304,0.8416292658676787,0.34615384615384615,0.4661641865978613,0.5281612973920666,diverse_living_area_hidden
4107,가양,images/station_tiles/satellite/4107_가양.png,images/station_tiles/satellite/4107_가양.png,0.5739929882339125,0.8671926364234056,0.7437305744536337,0.6397829916271444,0.375,0.4526489811880185,0.8671926364234056,directional_mismatch
2823,남한산성입구(성남법원.검찰청),images/station_tiles/satellite/2823_남한산성입구(성남법원.검찰청).png,images/station_tiles/satellite/2823_남한산성입구(성남법원.검찰청).png,0.5795568043245648,0.5857988165680473,0.7399074652441086,0.19199262144355816,0.7403846153846154,0.4453042667318112,0.5857988165680473,diverse_living_area_hidden
2820,장지,images/station_tiles/satellite/2820_장지.png,images/station_tiles/satellite/2820_장지.png,0.6067313674647434,0.5851413543721236,0.7244129601104524,0.865272681537551,0.3557692307692308,0.41638559992996,0.5851413543721236,diverse_living_area_hidden
213,구의(광진구청),images/station_tiles/satellite/213_구의(광진구청).png,images/station_tiles/satellite/213_구의(광진구청).png,0.6854257456276165,0.013806706114398421,0.7238749279705647,0.8624694511127644,0.3076923076923077,0.4015905084243417,0.013806706114398421,diverse_living_area_hidden
2750,광명사거리,images/station_tiles/satellite/2750_광명사거리.png,images/station_tiles/satellite/2750_광명사거리.png,0.6379630969398088,0.5698005698005698,0.721127976809111,0.6027487394039465,0.875,0.4044886096444441,0.5698005698005698,diverse_living_area_hidden
2749,철산,images/station_tiles/satellite/2749_철산.png,images/station_tiles/satellite/2749_철산.png,0.6196110611241834,0.5695814157352619,0.7063054245211593,0.629801531517469,0.6730769230769231,0.3926176697707448,0.5695814157352619,diverse_living_area_hidden
2757,부천시청,images/station_tiles/satellite/2757_부천시청.png,images/station_tiles/satellite/2757_부천시청.png,0.5128370185166942,0.5713346482577252,0.7039129406840848,0.7620702897152126,0.36538461538461536,0.443622091424271,0.5713346482577252,diverse_living_area_hidden
248,양천구청,images/station_tiles/satellite/248_양천구청.png,images/station_tiles/satellite/248_양천구청.png,0.506455732270834,0.021477098400175323,0.691877204069441,0.8013869309406345,0.33653846153846156,0.4328531971143211,0.021477098400175323,mobility_high_subway_low
4709,북한산보국문,images/station_tiles/satellite/4709_북한산보국문.png,images/station_tiles/satellite/4709_북한산보국문.png,0.4700721591271928,0.9991233837387683,0.6676632295251166,0.3711787009991147,0.625,0.4332417352075597,0.9991233837387683,directional_mismatch
410,상계,images/station_tiles/satellite/410_상계.png,images/station_tiles/satellite/410_상계.png,0.5652753941094445,0.05698005698005698,0.6503933903563234,0.43858476913992883,0.33653846153846156,0.3455111786684361,0.05698005698005698,diverse_living_area_hidden
211,성수,images/station_tiles/satellite/211_성수.png,images/station_tiles/satellite/211_성수.png,0.7366494455108651,0.0133683979837826,0.647111956742156,0.8705981276802599,0.27884615384615385,0.3323505225323114,0.0133683979837826,diverse_living_area_hidden
2518,화곡,images/station_tiles/satellite/2518_화곡.png,images/station_tiles/satellite/2518_화곡.png,0.6516337135196727,0.5189568266491343,0.6461557860051436,0.8819234622550212,0.49038461538461536,0.3240581992377714,0.5189568266491343,diverse_living_area_hidden
