condition,n,spearman_with_mobility_minus_subway_gap,pearson_with_mobility_minus_subway_gap,spearman_with_hidden_demand_reconstruction_score_norm,pearson_with_hidden_demand_reconstruction_score_norm,top10_overlap_gap,top10_overlap_reference,label_accuracy_top20pct_gap,unsupported_visual_reasoning_rate,visual_primary_rate,uses_visual_reasoning_rate,uses_mobility_subway_reasoning_rate,uses_temporal_reasoning_rate,valid_corr_n_gap,valid_corr_n_reference
image_only,327,0.09536645996025471,0.06212327962426005,0.03401800514229351,0.013956255645788191,0.0,0.0,0.7883435582822086,0.5,0.9938837920489296,0.9969418960244648,0.0,0.0,326,326
tabular_only,327,0.2783715801538051,0.2853410838684845,-0.649778192424816,-0.6938198775444174,0.1,0.0,0.6941896024464832,0.0,0.0,0.0061162079510703364,1.0,0.9847094801223242,327,327
naive_multimodal,327,0.5477182580000787,0.5345259605093134,-0.4113489481642665,-0.4441266266287041,0.3,0.0,0.7822085889570553,0.5,0.0,0.9969418960244648,0.9969418960244648,0.9969418960244648,326,326
structured_multimodal,327,0.5431249969437734,0.541166934035015,-0.4603684922397959,-0.49577382894911726,0.3,0.0,0.7951070336391437,0.05198776758409786,0.0,0.2324159021406728,1.0,0.9938837920489296,327,327
