preset,env_id,n_seeds,episodes_completed,auc_mean,last100_mean,last100_std,best_reward,first_solve_ep,eval_mean,eval_std
acrobot_best,Acrobot-v1,3,4503,-98.98705778004309,-73.42333333333335,7.805110280363785,-61.0,1084,-68.56666666666666,1.383876543556128
mountaincar_best,MountainCar-v0,3,2553,-137.0720164216301,-108.66333333333334,6.918290314940016,-83.0,2028,-106.36666666666667,2.6920142729216856
