auc_mean,best_reward,env_id,episodes_completed,eval_at_episode,eval_max,eval_mean,eval_min,eval_std,first_solve_ep,last100_mean,last100_std,preset,seed
-170.50619506835938,-59.0,Acrobot-v1,16000,16000,-66.0,-75.80000305175781,-87.0,7.304793357849121,5812,-86.87000274658203,23.67811393737793,acrobot_reliable,0
-208.03488159179688,-60.0,Acrobot-v1,16000,16000,-68.0,-101.0,-177.0,36.87004089355469,11260,-92.5999984741211,30.613393783569336,acrobot_reliable,1
-184.92337036132812,-60.0,Acrobot-v1,16000,16000,-59.0,-73.19999694824219,-85.0,7.453857421875,9619,-92.36000061035156,37.03525924682617,acrobot_reliable,2
