epoch,loss,pred_loss,recon_loss,unc_loss,val_mae,val_rmse,val_uncertainty_error_corr
1,0.39766910783153897,0.2981876056667761,0.26977956569786615,-0.7081655410423062,0.28247134620323777,0.4005351751111448,0.504500813388694
2,0.1921369955472067,0.18598703120617158,0.13987425043650553,-1.2757432258602046,0.25989984394982457,0.37347931787371635,0.49820159209835313
3,0.16009980873435947,0.16728012559684455,0.12223944448410197,-1.3660007408747437,0.250175055116415,0.3584622135385871,0.5651539083912088
4,0.13687143696749465,0.1578126742590404,0.10743784526666851,-1.4932031459208075,0.25616673147305846,0.36357518192380667,0.5170760429162953
5,0.11515236804459958,0.14743296648805024,0.09798576701300364,-1.6254696246791394,0.23777904408052564,0.3554946659132838,0.5542338378670447
6,0.11088655799204576,0.14765690687171956,0.0931905690342822,-1.6673126161521208,0.22489408077672124,0.3417666922323406,0.5165639135785244
7,0.09518006105794974,0.14133337105736665,0.08477193204329368,-1.770785483485418,0.22036301251500845,0.3287232336588204,0.6093093806532496
8,0.0826771633422121,0.13251103701215264,0.08377818351096296,-1.834459272153834,0.21608802769333124,0.3326343698427081,0.5654906896802269
9,0.07338966191449064,0.13014195555596486,0.07626377384290628,-1.8976835915224348,0.22109453566372395,0.3397818189114332,0.5636607357114081
10,0.06766872990427288,0.12666132208620404,0.0729043296941206,-1.9088951211079215,0.2194457589648664,0.3289807066321373,0.604192054579778
11,0.06078508755205371,0.1257819765584266,0.06589447780915186,-1.9588825144666306,0.2066063811071217,0.31688960082829,0.5847805393945112
12,0.053994151506018134,0.12248655310864989,0.06354747787910572,-2.0053227623092367,0.20789148192852736,0.3121606423519552,0.5706927692779418
13,0.050353375890998975,0.12047572222584528,0.06204893397735366,-2.022936230221539,0.2171781426295638,0.32336358400061727,0.6085247817834128
14,0.04354453985149979,0.11927889002130386,0.05453086175447237,-2.0599955768449933,0.19977459171786904,0.3098090523853898,0.6119433039044248
15,0.04018677644273068,0.11852211164350206,0.05287943100094372,-2.0955009869438537,0.19167059753090143,0.30792855890467763,0.5913576186993694
16,0.041377357874356264,0.11734368506792589,0.05333706996806547,-2.052697203472151,0.21547859394922853,0.31883821031078696,0.5820785697071033
17,0.03906595009438535,0.11743094872498343,0.0542258075075158,-2.1095580226140664,0.20251095830462873,0.314106778241694,0.5966312012176932
18,0.03564913998892967,0.11655996816483795,0.0526615467635875,-2.144831992210226,0.1967224758118391,0.3041656375862658,0.5879963514905552
19,0.03171049761222609,0.1172336683681248,0.044093090710593454,-2.151394281826966,0.21212345408275723,0.3167647486552596,0.5477828145294477
20,0.022478076266058793,0.11071313275618756,0.04203041625730958,-2.185005248649746,0.18374040303751826,0.29902615770697594,0.5949525480618552
