epoch,loss,pred_loss,recon_loss,unc_loss,val_mae,val_rmse,val_uncertainty_error_corr
1,0.2649488645041881,0.1929141609340298,0.14406940736332718,-0.10094106105262363,0.23351995825017774,0.3566034570242624,-0.1212082232665281
2,0.18263014943218556,0.14226837071026263,0.08072355755281692,-0.1749447397737238,0.20125383204259212,0.317471907105086,-0.14852697433769207
3,0.15789853025253128,0.13075887915633974,0.05427930219238307,-0.19397345380746714,0.22750944489578032,0.3502368378751683,-0.16367155068216666
4,0.14489811989320378,0.12381571732512137,0.042164804636925256,-0.20437903740557328,0.1966889944372687,0.30925679028783953,-0.13708139973330036
5,0.13998213312556954,0.12010573536968555,0.03975279559032852,-0.20834309832465386,0.20400908308209115,0.3097601722246446,-0.12232309950904627
6,0.13478998101892925,0.11787783034196517,0.03382430160101377,-0.21109929278153977,0.19047307640126665,0.3000206302546855,-0.14919362500399236
7,0.13118929442297034,0.11551081975605212,0.031356948819391585,-0.21329545248046416,0.1895366278272005,0.3022808645318889,-0.16308824491760368
8,0.12761492618695408,0.11221630666531673,0.03079723942213926,-0.21792670817013043,0.20567261408897317,0.3163030391219277,-0.1266245427763667
9,0.12443068928154959,0.11067704660754625,0.027507285814301497,-0.21827577236631163,0.1825566401927726,0.29613180252366095,-0.17644494426767585
10,0.12227907744901521,0.10878046586298618,0.0269972226335382,-0.2208249087645007,0.18454428007767634,0.2963675010316777,-0.14149969752126265
11,0.11964261945413084,0.10562173217332282,0.02804177462623841,-0.2244261162812888,0.18366685659630494,0.29273023892123745,-0.16055782499356383
12,0.11606630428510459,0.10421564422902607,0.02370132022366232,-0.22504777529381442,0.16953039089651228,0.2833119476178907,-0.16495440584282528
13,0.1136995353311503,0.10226513732250045,0.02286879578035097,-0.22723365090296407,0.17051372606799287,0.2815815229086006,-0.14568137534733674
14,0.11225770766130921,0.1009415168492567,0.022632381791362958,-0.22833006084598853,0.1768618680583606,0.2848339189523421,-0.158151240140515
15,0.11171437468455762,0.1007905494548431,0.021847650421415867,-0.22797353683652508,0.17241156733823274,0.28208416634760564,-0.15883632158652933
16,0.10900329327603586,0.09825704877777976,0.02149248927654255,-0.23007895921311045,0.17203776871070922,0.2804841044001609,-0.1452503861126161
17,0.10906688908026332,0.09837792611041037,0.021377925781317714,-0.2295324093397694,0.16578356991961318,0.2748459650660461,-0.16317893760952173
18,0.10688405253854738,0.09697880118477101,0.01981050289128305,-0.2313989908980098,0.1613644893345593,0.2736437754623545,-0.15517160591585566
19,0.10569050190906946,0.09566092148524563,0.020059160595493657,-0.2337198814453215,0.16418362807177897,0.2737503885847967,-0.17328127911516208
20,0.10502110973608737,0.09489106799976356,0.020260083381416036,-0.2326808565052315,0.17796700138528393,0.2796808250670163,-0.17477342215708244
21,0.10368152992153654,0.09380917049386875,0.019744718714686884,-0.23439240400049025,0.16375903372869552,0.27407534364259467,-0.15727672550182667
22,0.10255564998607246,0.09334121938465403,0.018428861472096776,-0.23458237318895428,0.16181501882068766,0.26956425982076415,-0.1647269852295931
23,0.10209697021209464,0.09274833783710083,0.018697264547250708,-0.23392908343012592,0.16736241219178685,0.2749560501590465,-0.1687334508683839
24,0.10147883227589179,0.09255111135136919,0.017855441685588586,-0.23389564960633505,0.16520183406910807,0.27028434587724554,-0.17247551081262863
25,0.10021638396848627,0.09142285887988247,0.017587050263370787,-0.23485040810089053,0.16464133035836728,0.26973357440540624,-0.17238795752881506
26,0.10008028768459144,0.09096702700924306,0.01822652112578555,-0.23552907062124234,0.16331932815553257,0.27212224169722143,-0.15759206001968212
27,0.09804570098616638,0.08950865407582043,0.017074093403814196,-0.2370130238647503,0.156911664132802,0.26549674936060635,-0.1827649330090966
28,0.0971907316675397,0.0890315695634099,0.016318324176581946,-0.23634815007831494,0.1676113301384374,0.27610456549896384,-0.18509210677568885
29,0.0976773394867271,0.08926052500550845,0.016833628869938607,-0.2354407463276594,0.15849781237870642,0.2656831931580538,-0.1997773431628424
30,0.09640468209475075,0.08827473408460211,0.016259895984184782,-0.23650283890896712,0.1596280131606186,0.26708143415316093,-0.18214084533412653
