MASTER_STATION_ID,master_station_name,min_x,max_x,min_y,max_y,station_lon,station_lat,n_cells,min_lon,min_lat,max_lon,max_lat
150,서울역,953125,953625,1950625,1951125,126.972135,37.556228,1,126.96926943842882,37.55377852953204,126.97496196583205,37.55831043737188
151,시청,953125,954125,1951625,1952375,126.977088,37.565715,4,126.96918950417057,37.56279171935226,126.98055997306025,37.569601973953496
152,종각,953875,954875,1952125,1952875,126.982923,37.570161,6,126.97765067165028,37.567336186320595,126.98902108672844,37.57414563838263
153,종로3가,954625,955625,1952125,1952625,126.991847,37.570406,3,126.98615932331839,37.56737345273422,126.99751350926711,37.57192879733258
154,종로5가,955375,956375,1952125,1953375,127.001849,37.570926,11,126.99460656818472,37.56741010829198,127.00600594697849,37.57872455580029
155,동대문,956375,957125,1952125,1953375,127.01093,37.571687,5,127.005931520914,37.56745803214286,127.01449839960623,37.5787598002617
156,신설동,957875,958625,1952875,1953875,127.024634,37.576048,5,127.02289024143006,37.57428781544801,127.03144100053638,37.583335076034494
157,제기동,958375,959375,1952625,1954125,127.034893,37.578103,11,127.02853887773564,37.57205724893779,127.03994812563401,37.585621804047065
158,청량리(서울시립대입구),959125,960125,1952875,1954375,127.044585,37.579956,11,127.03701945992262,37.57434417053888,127.04842754120659,37.587907925275836
159,동묘앞,956875,957875,1952375,1953375,127.01648,37.573197,4,127.01159400726674,37.569734895197236,127.02297649663033,37.57879443360904
201,시청,953125,954125,1951125,1952125,126.975411,37.563588,6,126.96920549458345,37.55828512617804,126.98059125953195,37.56734867633112
202,을지로입구,953875,954875,1951375,1952375,126.982618,37.566014,7,126.97768214611739,37.560576291276774,126.98906725701565,37.569639039746185
203,을지로3가,954625,955375,1951625,1952375,126.991696,37.566306,3,126.986174803837,37.56286685087915,126.99471314093522,37.5696634108824
204,을지로4가,955375,956125,1951375,1952125,126.997817,37.566595,3,126.9946827000557,37.56065019531591,127.00322002424458,37.56744615299045
205,동대문역사문화공원,956375,957125,1951625,1952375,127.009054,37.565613,4,127.00599106508113,37.56295141660898,127.01452764688243,37.569746571672226
206,신당,957125,958125,1951125,1952625,127.019614,37.56564,11,127.01446914581449,37.55848001642573,127.02587881659187,37.572045910945185
