station_id,station_name,map_path,satellite_path
4704,가오리,,
4705,화계,,
4706,삼양,,
4707,삼양사거리,,
4708,솔샘,,
4709,북한산보국문,,
4710,정릉,,
4711,성신여대입구(돈암),,
4712,보문,,
4713,신설동,,
