epoch,loss,pred_loss,recon_loss,unc_loss,val_mae,val_rmse,val_uncertainty_error_corr
1,0.44903086012022364,0.3267355084729691,0.29394209328004056,-0.493513914795282,0.30407316284254193,0.42303683422505856,0.46985853495621854
2,0.23517028599356612,0.20829240620757142,0.15873573591104811,-1.0497997308719076,0.2873672526329756,0.40653272066265345,0.5098277477580792
3,0.18867015528182188,0.18430369807821181,0.13513356167823076,-1.2640064349915419,0.27343700639903545,0.38680611457675695,0.532277982991255
4,0.16680874437507656,0.1747984397225082,0.1223611312194003,-1.383405192548202,0.24443367635831237,0.3656760295853019,0.5382985077194755
5,0.1449295133869681,0.16111904532752103,0.11423631253031392,-1.4661537540830776,0.24749065935611725,0.36468650633469224,0.5523616031313593
6,0.1340562542900443,0.15780359263428384,0.10691948563584851,-1.544141569899188,0.23333719884976745,0.35381716303527355,0.5648908216921398
7,0.1202854969435268,0.15017362052781713,0.09929779570342766,-1.5907403921139323,0.23310411674901843,0.344083022326231,0.5920171351405491
8,0.11940442941462,0.14830599228541055,0.102618386141128,-1.6042150739166472,0.2278868118301034,0.3452998367138207,0.5733104092079583
9,0.10371745470911264,0.14331333432346582,0.09021716316541036,-1.6940891844116979,0.21977501083165407,0.337260979693383,0.5936146512738804
10,0.10444813237215082,0.14428681489597592,0.08922785794776347,-1.689052212259008,0.22297034692019224,0.3341473173350096,0.6070574426133638
11,0.09328713956185514,0.13785769161768258,0.0862784375074423,-1.754195389027397,0.22024867543950677,0.3378433659672737,0.6124801606595914
12,0.08581636199313733,0.13586957905338043,0.07955322986365193,-1.796596602588478,0.21594242006540298,0.32991916174069047,0.6117620976985285
13,0.08368589573850234,0.13527922702228856,0.07590635715880328,-1.7909301770851016,0.2306592334061861,0.35257720528170466,0.5924803309252095
14,0.07880113584299882,0.13524794187914166,0.07148245334004362,-1.8437606105322226,0.2135030827485025,0.3273604279384017,0.6233065861738815
15,0.0706439517541892,0.13077164894073373,0.06930941082019773,-1.8956480192330976,0.2236375487409532,0.33878999995067716,0.5558152925335449
16,0.07186472022698985,0.13057085268923807,0.06939448167880376,-1.8680674436812599,0.20795195922255516,0.3218287331983447,0.6328249090910081
17,0.06619941976128353,0.12911914439044064,0.06565345112337834,-1.91492896010944,0.21835427405312657,0.3327804780565202,0.6167877020210031
18,0.06327284132647845,0.12956574885174632,0.057181225300559566,-1.8976703967071242,0.20561812771484256,0.3216286604292691,0.6110854038314082
19,0.05441255639824602,0.12475423398427665,0.05589385573855705,-1.9657720817873876,0.2036144882440567,0.31954126292839646,0.6112678628755867
20,0.056421778009583555,0.12660691711223787,0.055052958079613745,-1.954232331080776,0.20860094809904695,0.3197340276092291,0.6336326683431492
