station_id,station_name,mob_vis_cosine_pca2,mobility_cluster,visual_cluster
2642,월곡(동덕여대),-0.9999892498260816,0,1
2533,서대문,-0.9999012575186892,0,5
337,대청,-0.9997709003469287,3,0
4130,종합운동장,-0.9995212003795133,3,2
336,학여울,-0.9995177125018678,3,0
2736,고속터미널,-0.999498533712244,3,4
236,영등포구청,-0.9993913547838577,3,4
245,신답,-0.9993338589189465,3,0
416,미아사거리,-0.9988921564801767,0,3
205,동대문역사문화공원,-0.9983396599989423,3,4
2739,남성,-0.9982434481628014,0,1
422,동대문역사문화공원,-0.9980932981970136,3,4
2826,수진,-0.998028169632917,0,1
4131,삼전,-0.9977957499335783,5,0
4134,송파나루,-0.9976643310602801,5,0
2611,응암,-0.9970276446965275,1,1
228,서울대입구(관악구청),-0.9969865727005485,2,5
2547,광나루(장신대),-0.9953705911641503,0,2
425,회현(남대문시장),-0.9952864013917082,0,5
204,을지로4가,-0.9952812772008611,3,4
2646,태릉입구,-0.9952272184267393,3,0
2818,가락시장,-0.9946547473294124,3,0
429,신용산,-0.9942764267958589,3,0
4112,선유도,-0.9934196110335866,4,2
2827,모란,-0.9923660510552529,3,0
2719,태릉입구,-0.9921845427325927,3,0
2730,뚝섬유원지,-0.9917901747633896,4,2
247,도림천,-0.9904288293453398,3,0
2717,하계,-0.9901782569738693,0,3
414,수유(강북구청),-0.9899901787320362,0,5
2556,올림픽공원(한국체대),-0.9892572687314221,3,0
157,제기동,-0.9889922350279974,3,4
2517,우장산,-0.9887730353845662,0,1
2722,상봉(시외버스터미널),-0.9885141391147312,3,4
4102,김포공항,-0.9878541178763237,3,0
2735,반포,-0.9863819202102961,3,4
227,낙성대,-0.9848456167988144,0,1
2523,양평,-0.9842303025693138,3,0
330,교대(법원.검찰청),-0.9840718039781375,3,4
2740,숭실대입구(살피재),-0.9826449139733058,0,1
4101,개화,-0.9817922389670792,4,2
225,방배,-0.9817117691811695,0,1
2640,안암(고대병원앞),-0.9816323610553809,0,5
4118,노들,-0.9810784336494799,3,2
417,길음,-0.980796531127631,0,5
2749,철산,-0.9795590922644892,1,3
2716,중계,-0.9794305132697543,0,1
208,왕십리(성동구청),-0.9790978389347514,3,4
207,상왕십리,-0.9786714462477275,3,4
