station_id,station_name,nn_overlap_pca16
207,상왕십리,0.2
2737,내방,0.2
434,남태령,0.2
2760,굴포천,0.2
323,약수,0.2
4103,공항시장,0.2
2561,마천,0.2
2824,단대오거리,0.2
2642,월곡(동덕여대),0.2
2633,버티고개,0.2
4138,중앙보훈병원,0.2
152,종각,0.2
2534,광화문(세종문화회관),0.2
2733,학동,0.2
202,을지로입구,0.2
2811,암사,0.2
2730,뚝섬유원지,0.2
2745,신풍,0.2
223,교대(법원.검찰청),0.2
2547,광나루(장신대),0.2
214,강변(동서울터미널),0.2
2613,불광,0.2
2748,가산디지털단지,0.2
4708,솔샘,0.2
4106,양천향교,0.2
2539,신금호,0.2
2533,서대문,0.2
2628,효창공원앞,0.2
2634,약수,0.2
2614,독바위,0.2
215,잠실나루,0.2
2718,공릉(서울과학기술대),0.2
2826,수진,0.2
2518,화곡,0.2
4129,봉은사,0.2
4107,가양,0.2
205,동대문역사문화공원,0.2
2750,광명사거리,0.2
2529,마포,0.2
2747,남구로,0.2
4135,한성백제,0.2
2638,창신,0.2
4702,솔밭공원,0.2
2560,거여,0.2
2825,신흥,0.2
2815,잠실(송파구청),0.3
2528,여의나루,0.3
4112,선유도,0.3
310,구파발,0.3
203,을지로3가,0.3
4703,4.19민주묘지,0.3
201,시청,0.3
2742,장승배기,0.3
210,뚝섬,0.3
2755,춘의,0.3
309,지축,0.3
409,불암산,0.3
155,동대문,0.3
2756,신중동,0.4
4701,북한산우이,0.4
324,금호,0.4
2823,남한산성입구(성남법원.검찰청),0.5
