priority_rank,station_id,nearest_station,nearest_line,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,reconstruction_label,reconstructed_latent_demand_score,axis_observed_subway_score,hidden_demand_reconstruction_score,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share,case_interpretation
11,314,홍제,3호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6555606851892637,0.1995188421278143,0.4560418430614494,0.776948773855855,0.7310533883548023,0.7957632028833866,0.6382292985437796,0.0,238227911.64,162317598,0.4455647332370832,0.3520344215027683,"홍제 shows high reconstructed latent demand with mobility score=0.73, hidden gap=0.80, temporal dynamics=0.64, but observed subway score=0.20."
12,2716,중계,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.609655980152161,0.1608289997178794,0.44882698043428165,0.7718094675166568,0.6088980757302447,0.6804715992459499,0.6461775747987072,0.3629843130232206,243142201.45,130842328,0.4975985742990838,0.1636961299298954,"중계 shows high reconstructed latent demand with mobility score=0.61, hidden gap=0.68, temporal dynamics=0.65, but observed subway score=0.16."
13,2826,수진,8호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.496417907793698,0.0498224193260308,0.44659548846766717,0.7702199263982012,0.4553687912667343,0.6603301929780618,0.4481755671451558,0.3678429005012098,163953600.81,40535367,0.3935806809513338,0.2123493109513731,"수진 shows high reconstructed latent demand with mobility score=0.46, hidden gap=0.66, temporal dynamics=0.45, but observed subway score=0.05."
14,2750,광명사거리,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6769946696814546,0.2334744872953647,0.4435201823860899,0.7680293178091324,0.8112481048629052,0.707617055297124,0.6316233097782931,0.087040967132076,235605602.13,189941466,0.4044886096444441,0.2663429347294357,"광명사거리 shows high reconstructed latent demand with mobility score=0.81, hidden gap=0.71, temporal dynamics=0.63, but observed subway score=0.23."
15,2820,장지,8호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6232274780378504,0.1903457675347834,0.432881710503067,0.7604512988206732,0.5886593998600202,0.7106083964362883,0.6159393274703231,0.5749078349770453,224103669.77,154855045,0.41638559992996,0.2616778461066073,"장지 shows high reconstructed latent demand with mobility score=0.59, hidden gap=0.71, temporal dynamics=0.62, but observed subway score=0.19."
16,4138,중앙보훈병원,9호선(연장),Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.5050746489685994,0.073585229052664,0.4314894199159354,0.7594595394192527,0.4999438511660401,0.8265350949151173,0.2990150687719091,0.1366312846072026,111209893.78,59867078,0.2266004414994352,0.5501715076811217,"중앙보훈병원 shows high reconstructed latent demand with mobility score=0.50, hidden gap=0.83, temporal dynamics=0.30, but observed subway score=0.07."
17,2611,응암,6호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Potential Hidden Demand,0.6251576222117866,0.1957095694151015,0.4294480527966851,0.7580054284376951,0.6416749524706503,0.6759957286763615,0.6476921191817634,0.3786653759455084,240498375.91,159218648,0.4555391027043245,0.188167652312692,"응암 shows high reconstructed latent demand with mobility score=0.64, hidden gap=0.68, temporal dynamics=0.65, but observed subway score=0.20."
18,4111,신목동,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4435293213787063,0.022950877005896,0.42057844437281033,0.7516874100422541,0.348371421712541,0.6229169711828518,0.3376662344106874,0.6349969193021249,125987174.22,18674615,0.3173602273110782,0.2183650842264283,"신목동 shows high reconstructed latent demand with mobility score=0.35, hidden gap=0.62, temporal dynamics=0.34, but observed subway score=0.02."
19,2756,신중동,7호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.4989557784938091,0.0784063870391912,0.4205493914546179,0.7516667150055841,0.3692573591780348,0.7330999316481187,0.3934719827312345,0.7082058740541685,130515006.01,63789225,0.2741993485751872,0.3936226778096595,"신중동 shows high reconstructed latent demand with mobility score=0.37, hidden gap=0.73, temporal dynamics=0.39, but observed subway score=0.08."
20,2749,철산,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.6335357407435828,0.2269933913534386,0.40654234939014416,0.7416891889187672,0.7202523865761594,0.6658177875827812,0.6109447474466719,0.207787703992813,228846966.66,184668913,0.3926176697707448,0.2202223258430845,"철산 shows high reconstructed latent demand with mobility score=0.72, hidden gap=0.67, temporal dynamics=0.61, but observed subway score=0.23."
