priority_rank,station_id,nearest_station,nearest_line,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,reconstruction_label,reconstructed_latent_demand_score,axis_observed_subway_score,hidden_demand_reconstruction_score,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share
18,4111,신목동,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4435293213787063,0.022950877005896,0.42057844437281033,0.7516874100422541,0.348371421712541,0.6229169711828518,0.3376662344106874,0.6349969193021249,125987174.22,18674615,0.3173602273110782,0.2183650842264283
19,2756,신중동,7호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.4989557784938091,0.0784063870391912,0.4205493914546179,0.7516667150055841,0.3692573591780348,0.7330999316481187,0.3934719827312345,0.7082058740541685,130515006.01,63789225,0.2741993485751872,0.3936226778096595
20,2749,철산,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.6335357407435828,0.2269933913534386,0.40654234939014416,0.7416891889187672,0.7202523865761594,0.6658177875827812,0.6109447474466719,0.207787703992813,228846966.66,184668913,0.3926176697707448,0.2202223258430845
21,4109,등촌,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4690603765190823,0.0632599359699725,0.4058004405491098,0.7411607108302896,0.4543807651125124,0.5413572874208437,0.4678220291288519,0.3568530453747044,166628277.6,51467163,0.3874058380324631,0.0611662331676169
22,338,일원,3호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4967818009135493,0.1051786088684542,0.3916031920450951,0.7310476964866612,0.4900612248053749,0.7151973392619042,0.3687780155239372,0.2369931183086704,137677827.02,85569177,0.266876666272049,0.3754832174427792
23,333,매봉,3호선,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.5125701629125488,0.1220577968627673,0.39051236604978146,0.730270676986447,0.4640551148043065,0.5201280854535179,0.51248129027583,0.712170818320654,179798030.38,99300869,0.3643684166210259,0.0500060366679084
24,2825,신흥,8호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4370649354511905,0.0491734803811552,0.3878914550700353,0.7284037440857478,0.4074120230443081,0.5742608743183802,0.3768928452018217,0.3478573746129241,139196890.49,40007437,0.327006578131878,0.1477597740696484
25,2725,용마산,7호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4553693007837923,0.0687952894139917,0.3865740113698006,0.7274652997784844,0.3838548565777046,0.7566801723407,0.3634161496826315,0.2078134230212394,135937264.54,55970328,0.2985337558367532,0.406923223276448
26,4101,개화,9호선,Low Demand / Peripheral,Behavioral Hidden Demand,Stable Low-Intensity Area,M-S-H+V-T-,Low Priority,0.406879848354044,0.0209600961034903,0.3859197522505537,0.7269992565268274,0.2534251325976835,0.8814516437553948,0.1067520042307392,0.5112522690008983,42607464.35,17055059,0.0929462215338598,0.7183814344962305
27,4701,북한산우이,우이신설선,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.39859658837551565,0.0178334821339897,0.38076310624152593,0.7233260634401836,0.4446315564019372,0.6793921033255114,0.136369488880608,0.0139046438714448,59107439.46,14511471,0.1408759818662233,0.4194961569394297
28,2544,장한평,5호선,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.59025166813752,0.2124568123498766,0.3777948557876434,0.721211712944233,0.527192986299711,0.6660326868774452,0.5561547237185791,0.7527570783957285,200298569.81,172842999,0.3296354650204781,0.2659162996047555
29,310,구파발,3호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.5964832093963397,0.219746460674051,0.3767367487222887,0.7204579998620114,0.6834541379222974,0.6916873086271789,0.5233961975357148,0.1132778066736818,203777136.62,178773332,0.331791330212683,0.2979221372278403
30,4106,양천향교,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.42634615981277396,0.0503881994856533,0.37595796032712064,0.7199032516508522,0.4111154103516545,0.5132936255945206,0.3259191446004524,0.4783698983580875,118123776.11,40995645,0.2685710558689385,0.1101394570038521
31,2821,복정,8호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.44691480293970914,0.071612689685958,0.3753021132537511,0.7194360772643268,0.360718188341118,0.7549042546475948,0.294621040675824,0.3694134638914256,108702649.53,58262362,0.2217649444690368,0.4599536235425558
32,2554,상일동,5호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.539811873457315,0.1647973609935885,0.37501451246372647,0.719231212855992,0.5490515133475466,0.5947496888198981,0.4917396648545938,0.4570333727502572,178306575.92000002,134070701,0.3175790371408212,0.1813600467798159
33,4132,석촌고분,9호선(연장),Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.42557593405228195,0.0513202780407814,0.37425565601150057,0.7186906626089533,0.3531620485833817,0.4572299539667236,0.3824076467935427,0.7586399433937067,137262517.05,41753917,0.3196072867093837,0.0
34,2553,고덕,5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.49005180132537746,0.1179085985408317,0.37214320278454577,0.7171859154194962,0.4896568229954239,0.5261375294005517,0.4674039206640183,0.4469106449449504,174606434.02,95925380,0.3544206329764241,0.0650401166700374
35,2626,대흥(서강대앞),6호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.47443995793883675,0.1031315840504503,0.37130837388838644,0.7165912483191108,0.4146108476358902,0.4899890007510863,0.497168386068447,0.6593414910122521,178231405.17,83903865,0.3790406994660885,0.0
36,2517,우장산,5호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.5348620645378241,0.168793734827051,0.36606832971077313,0.7128586488710935,0.5141715765643367,0.6363181954291813,0.5230927127434399,0.3978676367788937,190743877.69,137321863,0.3473542446488776,0.2142690442543241
37,341,경찰병원,3호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.4392845458410731,0.0802146468721961,0.35906989896887703,0.7078735117541605,0.3648852441073111,0.4674190094791486,0.4359807115752782,0.7103529130794035,154711473.7,65260295,0.3380928777541145,0.0
38,4114,국회의사당,9호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.4485775969904501,0.0902110674379163,0.3583665295525338,0.7073724861509011,0.3823307688375285,0.4562600979182648,0.4361981689853884,0.7522409273691839,150937096.54,73392663,0.3178477161326796,0.0
39,2616,구산,6호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4344988296466596,0.0784041388067926,0.356094690839867,0.7057542051522193,0.442254080264904,0.5804275902786599,0.4019595847129358,0.0998567901520064,148916787.91,63787396,0.3241688072007402,0.1578729688570006
40,2618,증산(명지대앞),6호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.4668760867328435,0.1131617440819311,0.3537143426509124,0.7040586304518878,0.4169055532941474,0.6657858301175327,0.4178547037290954,0.2925118947527489,153862445.64000002,92063681,0.302840375343174,0.2849137724781065
41,2755,춘의,7호선,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,M-S-H+V+T-,Morphology-Supported Hidden Demand,0.40238804904095127,0.0500941874776068,0.35229386156334447,0.7030467903330531,0.2525460912412698,0.6253389296799781,0.2673873560892967,0.7893010434452602,87380292.53,40756458,0.1853858634929601,0.3166925253826453
42,4110,염창,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.45565096375935427,0.103856773597922,0.35179419016143226,0.7026908633340146,0.3971750459902583,0.5872450947635376,0.4034517152168891,0.4942057632947577,146291421.26,84493827,0.2915873927907348,0.1902839315541694
43,2525,영등포시장,5호선,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.47285496811593,0.1228053654802491,0.35004960263568086,0.7014481550256653,0.3922994588159861,0.4657437757962513,0.4769943858987635,0.844853905199207,169277354.28,99909037,0.3350535690832928,0.0
44,213,구의(광진구청),2호선,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.6289441573936189,0.2838352372032747,0.34510892019034417,0.6979287975654592,0.6339412897958334,0.5453437550713273,0.6907832937949683,0.6917797945866833,253085011.18,230911346,0.4015905084243417,0.0561534128541985
45,2515,마곡,5호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.4398118394838602,0.0975392884972832,0.342272550986577,0.6959083890029542,0.3587671648201754,0.5027270174136814,0.3843152411358851,0.7582181273418386,137164328.92,79354376,0.2731216614773952,0.0930354796358376
46,2739,남성,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.4610672206835108,0.1262277000652505,0.3348395206182603,0.6906136769529289,0.4569702888466328,0.4778713430864075,0.4844164762970001,0.3907945967152407,178544655.85,102693202,0.3567951675261577,0.0001881604343746
47,428,삼각지,4호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.3965645212886904,0.0641198989983869,0.3324446222903035,0.6889077378665411,0.3039548733088254,0.449502321730577,0.383555416987353,0.706981644696041,136813104.95999998,52166767,0.3055873562960804,0.0
48,2550,길동,5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.42621331605576407,0.0983322704258449,0.32788104562991915,0.6856570012036122,0.3605788502041944,0.4520240376613146,0.4162277932647817,0.6770126539559163,151097624.98,79999489,0.3101624034503287,0.0
49,2617,새절(신사),6호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.46998409513068456,0.1425699784490637,0.3274141166816209,0.6853243973789865,0.4781791084652911,0.5706332350046802,0.4756742329680656,0.1701034097652039,175682743.69,115988103,0.3326818065481394,0.1389221659872632
50,4124,사평,9호선,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M-S-H+V+T+,Morphology-Supported Hidden Demand,0.3480228026027208,0.0207292988836129,0.32729350371910787,0.6852384820962064,0.2314229946485599,0.4151642390762559,0.2804573991426467,0.839999154132755,97890337.08,16867299,0.2432891626672509,0.0
51,4108,증미,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.36601402797306537,0.0394322630792016,0.32658176489386376,0.684731494777743,0.2933283979170534,0.4851330105328192,0.2735920756372508,0.5801458114973637,97890754.79,32082684,0.2245873326989651,0.1050150499100059
52,410,상계,4호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.5406749852157785,0.2197642154410083,0.3209107697747702,0.6806919194356742,0.568384388490399,0.6602732379631254,0.551636119858983,0.0950647693252093,208836382.0,178787776,0.3455111786684361,0.2469349627499292
53,4118,노들,9호선,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.3467714072288862,0.0265805590953743,0.3201908481335119,0.6801791033162498,0.2729449761553519,0.4388130163791555,0.2656111231590102,0.6112068923238692,96622514.7,21627463,0.2339953256470659,0.0376375982481027
54,247,도림천,2호선,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,M-S-H+V+T-,Morphology-Supported Hidden Demand,0.3334956488956286,0.0133940848258231,0.3201015640698055,0.6801155043015065,0.2317982852667413,0.3997986990137064,0.2507613274556385,0.7908448028104071,84922454.67,10899897,0.2154120852059157,0.0
55,313,녹번,3호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.473919246028701,0.1558075216432901,0.3181117243854109,0.678698097452277,0.5107756414624636,0.6342164664409409,0.4243199070822295,0.0065210934391132,155135963.88,126757215,0.2636526408226141,0.2718720703126236
56,2551,굽은다리(강동구민회관앞),5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.43152697035357523,0.1157300035735586,0.3157969667800166,0.677049244376362,0.3892215422936924,0.4649015927597038,0.4229400602413795,0.5556386608321184,155152599.10999998,94153032,0.3037753293025735,0.0214512339405952
