station_id,station_name,cluster,pca_x,pca_y
2519,까치산,4,2.345033527922831,0.087024186384194
2824,단대오거리,1,-1.5842747397312429,-0.5021808810157944
2561,마천,1,-1.1818414554632217,-1.154381619639193
249,신정네거리,4,0.7734118204044025,-1.01433666003926
2716,중계,4,1.8713590569981697,0.16486514217540557
2611,응암,3,1.0139196134078023,-1.6188784620431873
314,홍제,3,-0.6880853190627195,1.786632172093214
2560,거여,2,-1.102901812307619,0.08988405341451862
4107,가양,4,1.878609039710113,0.4404320938431577
2823,남한산성입구(성남법원.검찰청),1,0.29869713871565207,0.2781808587711393
2820,장지,4,0.29650013708126904,-0.24310454718132773
213,구의(광진구청),4,-1.2273910124155583,-0.39833327535455176
2750,광명사거리,4,-0.06823549998379688,-0.5515016944495706
2749,철산,4,-0.8217655446386339,-1.4506944689461607
2757,부천시청,4,-0.5653328803192947,0.8953551870175567
248,양천구청,4,1.4871642912406875,-0.48304556836269374
4709,북한산보국문,3,0.8593959404518069,0.250674328243375
410,상계,1,-0.6487429414279382,1.943370054136022
211,성수,1,-1.1467358118438553,-1.1267481923031837
2518,화곡,2,-1.5421992139049336,-0.14708973168702896
2626,대흥(서강대앞),4,-0.23827938541725854,-1.0618960669431943
310,구파발,3,-1.4010383621775067,0.0619553659777811
2517,우장산,4,0.43424664784381745,-0.6335364328281654
333,매봉,2,0.6984414641132167,0.49218522167705453
2544,장한평,4,-0.3360134538279314,0.1443774579160671
413,쌍문,4,0.6363753573941284,0.7771272158664818
4109,등촌,4,0.40620463887111186,1.0328412795272706
2739,남성,1,1.4937202880183338,-0.2615870923757448
2826,수진,4,0.275033873013678,-1.8378458196335379
221,역삼,2,-0.17684137639790293,-1.1212867203240005
2553,고덕,4,0.14728960892193318,-0.49580366532564774
4129,봉은사,3,0.2835355466480966,0.192621468532638
2516,발산,4,2.8555419079363453,1.1305760130320153
2617,새절(신사),3,0.8571017113674047,1.575017501390018
2522,오목교(목동운동장앞),5,-0.4298767553753345,0.7373697164157573
424,명동,5,1.3670598307752595,-1.3185624874861217
2554,상일동,4,-1.1627703940444816,0.28254397122994523
2525,영등포시장,3,0.7106153207495486,-0.6097250309045459
326,압구정,4,-0.4514472996861256,-0.1228008398101677
416,미아사거리,4,1.5889932144954058,-0.3213739541409353
2819,문정,4,0.1996712944316811,-0.11342810506519915
341,경찰병원,4,0.9204369148019552,-1.8855689924240693
2815,잠실(송파구청),1,-0.654818346949258,-0.12167926051456608
2740,숭실대입구(살피재),3,-0.4530940468695754,0.6066894307304882
231,신대방,2,2.2143193104563768,2.323248443469048
331,남부터미널(예술의전당),1,-0.5759551206602711,1.1640164790375698
4114,국회의사당,2,1.1016040809900816,1.434459266376862
2616,구산,3,-0.3666984362107674,0.40694443827204485
2551,굽은다리(강동구민회관앞),4,-0.07273597635209024,0.9861557181420133
2546,아차산(어린이대공원후문),3,-0.07381803268546894,-0.20805656601109318
2618,증산(명지대앞),4,0.653620976597819,-1.1292839582687473
318,안국,4,-0.5570682190502068,0.6333725184829426
2550,길동,1,-0.6446444845323757,0.00010599361412960017
327,신사,3,0.031587721883594926,-0.2749126135893902
154,종로5가,2,-1.2966043086927803,0.8027968983660987
