feature,spearman_with_mismatch,pearson_with_mismatch,abs_spearman
subway_file_count,0.18582184523812692,0.13934062757521892,0.18582184523812692
subway_record_count,0.17566453687801523,0.11217624083702712,0.17566453687801523
subway_net_sum,-0.14335085462634894,-0.08690317809405364,0.14335085462634894
subway_overrepresentation_score,0.11642989438746913,0.08561424802344315,0.11642989438746913
mean_directional_imbalance,-0.11515388216301255,-0.10634714668055742,0.11515388216301255
station_directional_imbalance,-0.10683550072963442,-0.1411326483821188,0.10683550072963442
subway_out_sum,0.10476568645351,0.04141211143996272,0.10476568645351
subway_norm,0.10138932551029795,0.035558650856737574,0.10138932551029795
subway_total_activity,0.10138932551029795,0.03555865085673758,0.10138932551029795
mapped_cell_count,-0.09468582844635826,0.09793326474697124,0.09468582844635826
subway_in_sum,0.09367600642840271,0.029363769062540013,0.09367600642840271
station_abs_net_flow,-0.09178636194534401,-0.10486854354383515,0.09178636194534401
active_cell_count,-0.09101183807620081,0.09208400849655586,0.09101183807620081
max_distance_m,-0.07726196964226636,0.08286750152656103,0.07726196964226636
median_cell_flow,0.07582479256452336,0.07736260952322103,0.07582479256452336
mobility_minus_subway_gap,-0.0756355644267874,-0.049541950238264264,0.0756355644267874
distance_norm,-0.0731731340783887,0.08014659519645759,0.0731731340783887
mean_distance_m,-0.0731731340783887,0.08014659519645755,0.0731731340783887
max_cell_flow,0.06842913760369664,-0.01910977257330399,0.06842913760369664
distance_band_entropy,-0.0682479149042772,-0.07980002965679109,0.0682479149042772
subway_abs_net_flow,0.06642796250104675,0.041509425298502815,0.06642796250104675
outer_hidden_demand_score,0.06487031299063128,0.1739542673483214,0.06487031299063128
mean_cell_flow,0.059252766501886885,0.06417238496180497,0.059252766501886885
surrounding_netflow,-0.057369993973480575,-0.06212508615335431,0.057369993973480575
outer_1km_plus_share,0.05299275601756234,0.12958985103204376,0.05299275601756234
diverse_living_area_score,-0.045454217857309714,0.006633330106430356,0.045454217857309714
active_cell_ratio,0.036378059083500044,-0.013211650561427625,0.036378059083500044
hidden_demand_score,-0.0363547413499835,-0.010273542332196583,0.0363547413499835
period_entropy,-0.035987861848562765,-0.015784665242751135,0.035987861848562765
distance_weighted_hidden_demand,-0.030938595304342377,0.15629676005362755,0.030938595304342377
directional_mismatch_score,0.026134365300426798,0.00011963322753926167,0.026134365300426798
min_distance_m,0.02489851698201791,0.042812988936133944,0.02489851698201791
surrounding_total_flow,-0.024309936069473827,-0.017007977172193687,0.024309936069473827
mobility_norm,-0.024309936069473827,-0.01700797717219369,0.024309936069473827
morning_peak_flow,-0.02371174567264331,-0.007159100543138887,0.02371174567264331
surrounding_outflow,-0.02350273938941337,-0.01559512780987297,0.02350273938941337
surrounding_inflow,-0.02313654939892676,-0.0184051581712792,0.02313654939892676
night_flow,-0.022702406626700363,-0.012836561338598826,0.022702406626700363
evening_peak_flow,-0.020271893493967304,-0.0359716993993682,0.020271893493967304
mean_temporal_entropy,0.016778845955848536,-0.01281058780081269,0.016778845955848536
subway_directional_imbalance,0.0007141906000024711,0.0022992915428545033,0.0007141906000024711
daytime_flow,,,
