station_id,station_name,cluster,pca_x,pca_y
2519,까치산,3,13.029183629739853,4.655117529655845
2824,단대오거리,3,12.747327218837574,-2.5214259746874617
2561,마천,3,15.632858231312266,-6.729401396265611
249,신정네거리,3,8.627047743648934,-0.6493142335900198
2716,중계,3,6.5570414475216126,1.722210084243849
2611,응암,3,7.529461113853228,0.566799370602991
314,홍제,3,9.442863178601572,-1.4166630479975206
2560,거여,3,6.877929051781893,-1.0365726411824647
4107,가양,3,7.065614287498149,-1.7427388010922826
2823,남한산성입구(성남법원.검찰청),3,12.852929918596207,-6.466499027841709
2820,장지,3,6.504874169759701,0.810895141961535
213,구의(광진구청),0,5.860293303693754,2.974704747412982
2750,광명사거리,3,10.92120545959381,-2.387123795174149
2749,철산,3,9.225089637056023,-1.4396521130143036
2757,부천시청,3,7.507501343742928,-2.9731546697945563
248,양천구청,0,3.9075090573371964,-0.2990597114969987
4709,북한산보국문,3,7.614651508469906,-5.8345850494191005
410,상계,3,6.787433933101608,-0.9840495666275213
211,성수,4,6.46413503171127,5.546136672649216
2518,화곡,3,7.401626680145343,1.8566636246022357
2626,대흥(서강대앞),0,1.8422955812269914,2.1253649749379897
310,구파발,3,9.009083871402778,-3.231160617550226
2517,우장산,3,5.298846309880516,-0.32232058273423914
333,매봉,0,3.2049634847598547,1.2095995433020725
2544,장한평,3,5.208873447957873,0.7794608392410005
413,쌍문,0,6.171696698348419,3.1960399407116533
4109,등촌,0,3.455805390874974,-1.1412449223623413
2739,남성,0,2.8745717786230642,1.178421605780899
2826,수진,3,4.805942220769593,-2.5668748570443887
221,역삼,4,7.455666086603979,8.23414544190589
2553,고덕,0,4.188557306859346,-1.2127815122362107
4129,봉은사,0,2.1618672943076573,2.6549447803521544
2516,발산,0,2.831715252077028,2.777293066679305
2617,새절(신사),0,3.992242603016268,-0.410678931727348
2522,오목교(목동운동장앞),0,3.628310734307347,2.7415685543090427
424,명동,4,3.9303517661645735,5.498763997586867
2554,상일동,3,5.972883129705665,-1.4986996871366802
2525,영등포시장,0,0.8929087930616122,2.315201280140445
326,압구정,4,4.293027795840004,4.2492159769280295
416,미아사거리,0,4.4323664765400475,2.527788068041629
2819,문정,0,2.8517577759471626,2.024501522761615
341,경찰병원,0,1.2877951003866932,1.1836710731852387
2815,잠실(송파구청),4,0.1519959376793667,5.085143248708131
