station_id,station_name,cluster,pca_x,pca_y
2519,까치산,2,12.763345814164804,4.724848552408708
2824,단대오거리,2,12.79183535985401,-2.370257824495879
2561,마천,2,15.72090207230653,-6.592715616659399
249,신정네거리,2,8.56593623379746,-0.6694160597849891
2716,중계,2,6.471903032839535,1.6909844735112862
2611,응암,2,7.339339085132047,0.5347918537731634
314,홍제,2,9.5534090641397,-1.2223411481162034
2560,거여,2,6.764576640335536,-0.9608891821919429
4107,가양,2,7.015387810286383,-1.7412168422515697
2823,남한산성입구(성남법원.검찰청),2,12.900973234790962,-6.316631085144921
2820,장지,2,6.4929915489521814,0.9130358077020185
213,구의(광진구청),4,5.861137091483884,2.933333630867367
2750,광명사거리,2,10.97688474715081,-2.2723205063610274
2749,철산,2,9.309759517419225,-1.2695084102671736
2757,부천시청,2,7.336163447207139,-2.8894066727888874
248,양천구청,4,3.8798790813249666,-0.2497744178729701
4709,북한산보국문,2,7.622607827526829,-5.777203934252573
410,상계,2,6.8702004394217475,-0.859766654773866
211,성수,0,6.26528672784878,5.586875801333582
2518,화곡,2,7.411846826357066,1.9495558924876457
2626,대흥(서강대앞),4,1.7564542925213378,2.0689018736426554
310,구파발,2,9.053260577818113,-3.0889872418294133
2517,우장산,2,5.349094757896194,-0.23167874452062584
333,매봉,4,3.060989979216861,1.2492570587731546
2544,장한평,4,5.024583983478787,0.9180905295392289
413,쌍문,4,5.970280342792089,3.2535583819724816
4109,등촌,4,3.5652249585994222,-1.2399079496809076
2739,남성,4,2.966378918092209,1.2278124041967133
2826,수진,2,4.824243322848612,-2.5159706539287234
221,역삼,0,7.2077029996894275,8.266304437153908
2553,고덕,4,4.104373996577367,-1.2024658466458913
4129,봉은사,4,2.2610133026003396,2.6877485305882023
2516,발산,4,2.7330572078147597,2.7877755747101864
2617,새절(신사),4,4.076532476451886,-0.39652402367825507
2522,오목교(목동운동장앞),4,3.466217186485807,2.777795151315104
424,명동,0,3.9944809968460064,5.574392926039896
2554,상일동,2,5.9564662918294715,-1.4146009868380285
2525,영등포시장,4,0.8167826519253782,2.301041064025365
326,압구정,4,4.357210765741898,4.300924429299962
416,미아사거리,4,4.442782608891143,2.5347049525715093
2819,문정,4,2.792037094984502,2.103895373671859
341,경찰병원,4,1.2879977447566706,1.2370248097805085
2815,잠실(송파구청),0,0.2372580976896467,5.070782473653525
2740,숭실대입구(살피재),4,2.43440620365702,0.38939348959786774
231,신대방,4,4.178086865488645,1.9669211034962912
331,남부터미널(예술의전당),4,4.868931397019188,1.9990088324487651
4114,국회의사당,5,2.0805912411014202,-0.7425910561646056
2616,구산,2,4.722122718117918,-3.1187468138449312
2551,굽은다리(강동구민회관앞),4,1.9594182900266115,0.07830321672626239
2546,아차산(어린이대공원후문),4,2.893608369392703,0.21597911470627568
2618,증산(명지대앞),4,3.006342827028356,-0.6940089781329515
318,안국,4,4.315678229015355,0.41454886367897814
2550,길동,4,0.8008228858814708,1.031511667885465
327,신사,4,2.7292237908812957,4.699543314426696
154,종로5가,4,1.0109574600832973,3.3500201358572816
2528,여의나루,4,2.3728088153784173,0.796086766463333
225,방배,4,3.2770199196961762,0.9097064458730572
2747,남구로,4,1.6320455641964555,1.4538689944655525
417,길음,4,2.1721248648437865,2.405978638152325
2825,신흥,2,4.041250498133017,-3.3213100675604186
2728,어린이대공원(세종대),4,1.414542816036126,1.2926645870915154
317,경복궁(정부서울청사),2,5.074917199963866,0.01744161951342416
4110,염창,5,3.42927351872061,-1.9414656831683827
313,녹번,2,5.576515409139122,-2.3234586873724874
4132,석촌고분,4,0.8179799973817506,-0.9394096721720433
2717,하계,4,3.5752695685513554,-0.512589035614157
2622,망원,4,1.9384194987811791,0.8242529332073307
2813,강동구청,4,1.7776781688946872,-0.2562954972784695
428,삼각지,4,0.15452911433325972,2.0616169318117215
2624,상수,4,0.9746405627428907,0.09210265522574024
2534,광화문(세종문화회관),0,2.1231586385867938,6.983408193881017
2725,용마산,2,4.066266588177959,-3.538455938924793
412,창동,4,1.947396224296337,2.531251440081129
2549,강동,4,1.0096734072580391,2.6443505671841474
419,한성대입구(삼선교),2,4.282799234006308,-0.29286519585066373
2515,마곡,4,1.612285115836309,-0.18348221226421033
2729,건대입구,4,0.2832089503014278,2.0121988318947954
338,일원,2,5.55407543145634,-3.9812084982387614
4111,신목동,5,2.268502957501679,-2.9447259207243177
415,미아(서울사이버대학),4,3.10683999472922,0.002102544412265765
202,을지로입구,0,2.8585516967996285,9.965742653608812
2642,월곡(동덕여대),4,1.2380294056265688,0.4514547584974309
411,노원,4,1.5969316603902126,3.6529490229712525
2543,답십리,4,2.239860926253408,0.546137028202717
2756,신중동,2,3.577294769942646,-2.7506262171697164
152,종각,0,-0.2413953720765097,5.741859661076404
2733,학동,4,0.8232073490358104,2.943665992344392
2811,암사,4,3.454116280635191,-1.1190979274126969
2521,목동,4,2.6548803708207025,0.6395136063951999
2529,마포,4,1.4885984168745738,-0.1156670598330462
414,수유(강북구청),4,3.872045743716544,4.1361153505144825
425,회현(남대문시장),4,1.1881432777399357,2.995995207876918
229,봉천,4,1.4828036058482719,2.27361612288109
215,잠실나루,4,1.2619728110566129,0.250721917748138
2718,공릉(서울과학기술대),4,1.0393332022263362,0.24635699010469517
2714,마들,4,0.9751604468456576,0.06723733786399935
2557,방이,4,-0.25473621941995034,0.253296696905904
4106,양천향교,1,3.40627091897787,-4.352482963526273
2640,안암(고대병원앞),4,-0.16538737453861035,1.4779353153036248
2641,고려대(종암),4,0.16801025643191114,-0.07609339115568989
2748,가산디지털단지,4,2.011411299846102,3.5097724858167
2746,대림(구로구청),4,-0.3923275405401528,0.7080457288153834
2817,송파,4,-0.1484454527924486,0.20111698821339796
2745,신풍,4,0.2427160419471918,0.5721225327281656
420,혜화,4,2.8711232701643024,2.767474667666039
2548,천호(풍납토성),4,0.6776913948266313,2.128320968567664
2559,개롱,4,0.7363182089773224,-0.8413330612585581
4710,정릉,5,0.8825887648304394,-2.76068763642095
217,잠실새내,4,1.3776377437225837,1.4179156151882717
2547,광나루(장신대),4,2.1868845988075334,-1.826192502012455
2723,면목,4,1.51560400212557,-0.16486398553306394
2644,돌곶이,4,1.3240153068490819,-0.7798050390482321
2533,서대문,4,0.07638034763282123,2.0017262604649484
2631,이태원,4,-0.06039252108915405,0.8628445515737201
335,대치,4,-0.8002468147723036,1.2126797005661119
4138,중앙보훈병원,2,5.2669551996417265,-5.928169463362163
2632,한강진,4,0.36202630423406973,-0.24856704518051728
232,구로디지털단지,0,7.420903713689972,6.636386974022182
2539,신금호,4,-0.676423150138907,0.08960886512158381
432,총신대입구(이수),4,0.17876081407323263,2.0798960746207884
4128,삼성중앙,3,-1.22631662247977,0.4969656802294433
2621,마포구청,4,0.8272938374112413,-0.40962672970824426
227,낙성대,4,2.782531747519004,0.927831230441025
2821,복정,1,3.110102041785958,-3.6194286961857607
2555,둔촌동,4,-0.5006950163033661,0.374893375742794
2742,장승배기,4,-0.35466007489559526,0.32296592378823374
228,서울대입구(관악구청),0,3.7882421322650046,5.968181732500572
2726,중곡,4,1.0839238783351641,-1.718784630089228
2724,사가정,4,2.3390791811710594,-1.7405858928221039
4119,흑석(중앙대입구),5,0.09009304332047932,-1.9151634515290354
4704,가오리,1,1.1015619772302978,-4.196548678270068
4124,사평,5,-1.4079654878214425,-0.668922546801489
2552,명일,3,-0.9956683504267567,0.4762041652745535
4131,삼전,5,-0.7628063648431909,-1.2782285621087754
2758,상동,5,-1.0645227834690143,-1.125844774898736
2741,상도,4,-0.3324396461602885,0.3844787055802393
4118,노들,5,-0.23765713183740772,-2.146363048257432
4108,증미,1,1.6405763272767553,-3.8765039196463262
2731,청담,4,0.02612312625319379,0.6596734732356938
4130,종합운동장,5,-0.7223501071266036,-1.49508781458851
2743,신대방삼거리,4,0.1388116997574635,0.8001679964541745
2647,화랑대(서울여대입구),4,0.7789149715131751,-1.2315372071953223
2615,연신내,5,1.38650540150672,-7.0011247222622135
4134,송파나루,5,-1.751470017963631,-0.15278304753216385
207,상왕십리,3,-0.9778025001210113,1.3052381290674875
2612,역촌,3,-1.3491007553476266,-0.4727932546588933
2540,행당,3,-1.6323089522486465,0.3899765095237882
240,신촌,0,0.29395176027302566,7.315347060065943
4126,언주,3,-1.7349931703661263,0.8108694712336622
2523,양평,3,-0.7897334598931115,-0.84242355107199
2737,내방,4,-0.44827388283644315,0.5204232589479325
4115,여의도,5,-1.569528308696552,1.4257246366205472
2730,뚝섬유원지,4,0.08692116873597315,-1.845556775350804
4123,고속터미널,5,-1.1422123707983873,-0.2979069524910228
4122,신반포,5,-0.8999598705433565,-1.5555496792035994
223,교대(법원.검찰청),4,0.04230531809596951,4.039760770221371
247,도림천,3,-1.3860101414637451,-1.3167015567991416
2755,춘의,5,0.5487850957926671,-3.2356363016626397
235,문래,3,-1.0236343622472837,2.1325007178969244
2734,논현,3,-1.8588437104906792,2.6212287232386835
4113,당산,5,-1.259383094491511,-0.46913252432347824
158,청량리(서울시립대입구),3,-1.8422331964025438,1.4748454405489184
315,무악재,1,1.566133978185139,-4.305050000385691
2537,동대문역사문화공원,3,-3.0318759423292394,0.8076574672272923
4112,선유도,5,-0.5006929841884068,-2.6314026005958953
242,아현,3,-1.367053245749863,0.2605755068309145
4104,신방화,5,-1.8599248478056272,-1.0923425659630202
233,대림(구로구청),4,-0.790329631151114,2.195965904328152
2814,몽촌토성(평화의문),3,-2.1310843764673573,-0.08850761758177886
421,동대문,3,-1.9114087103126283,2.4833066887257638
2727,군자(능동),3,-1.4091974037685575,0.719109796635728
214,강변(동서울터미널),4,1.2314572453871426,2.5809527873322944
2713,수락산,1,0.46148396374532524,-2.447004839347697
2736,고속터미널,3,-1.835489380555426,1.2913427651549116
336,학여울,3,-1.7740140263060342,-1.57742425368366
2531,애오개,3,-1.9644081092536565,-0.24415854017227948
4705,화계,1,0.6522846320076777,-5.267205813412883
332,양재(서초구청),4,0.22990686604244284,4.074403438824232
2527,여의도,3,-1.9630380790800082,4.233064769498153
4708,솔샘,1,0.9180479745395352,-5.544462432988992
219,삼성(무역센터),0,1.3204703203803092,7.47444872999609
2751,천왕,1,0.7138940181123041,-3.2526582662388845
2530,공덕,3,-1.8494781393521436,0.9803198963024848
209,한양대,3,-2.1916564874831996,0.43187972878928643
4137,둔촌오륜,5,-0.21038270589913644,-3.8174151562756165
206,신당,3,-1.845640626303678,1.0616265695465184
433,사당,3,-1.4851239055524894,3.641328905166599
210,뚝섬,3,-1.6367764731600905,1.827047546068016
328,잠원,3,-1.459869988490907,-1.8889191585936922
2613,불광,3,-2.9386430080125194,0.20842554846734915
2520,신정(은행정),3,-1.9275603346083199,0.49818263891970327
316,독립문,3,-0.866014840265605,-1.9506852039411058
337,대청,3,-0.9632696228443727,-1.2194877790587644
224,서초,3,-1.175642123274944,0.9603140372977785
2715,노원,3,-1.4307970031795894,1.3722597993664436
2511,방화,1,0.9237324628278261,-4.49798872696348
212,건대입구,0,-0.3463456440301987,5.710697895052227
157,제기동,3,-2.2204303500022218,0.7894769742095289
4117,노량진,5,-1.9960947283852197,0.1021762689960564
2628,효창공원앞,3,-2.207778564935228,-0.43583988059035084
4703,4.19민주묘지,1,1.5743042268662246,-7.189806806624017
2720,먹골,3,-1.9227892254479515,-0.8435598794156324
2630,녹사평(용산구청),3,-1.1818490120232352,-2.129645405551238
322,동대입구,3,-2.472519728144567,-0.17405115041121008
220,선릉,0,-0.6436423065097734,6.993834188550269
4711,성신여대입구(돈암),5,-2.657725831897112,-0.9501512822966931
334,도곡,3,-3.2588959811455385,0.6760799803110454
4121,구반포,5,-2.0460195164054635,-2.580029806383002
2532,충정로(경기대입구),3,-2.760538431246632,-0.09514889242212281
2614,독바위,1,3.2182382383533628,-7.480044312083711
201,시청,3,-2.6347086802778863,3.283552243364524
236,영등포구청,3,-2.2548212582182217,1.7372012435057156
339,수서,3,-1.9107697017977814,1.2943566560143862
2759,삼산체육관,5,-2.4104926788841086,-2.8657259925252387
418,성신여대입구(돈암),3,-1.997218136637753,1.9123681677010556
239,홍대입구,0,2.8619263560472326,11.415705714760664
2822,산성,1,0.003566119957139667,-3.7354995348271576
4707,삼양사거리,5,-2.649126235467953,-1.7743517969763558
4105,마곡나루,5,-1.6642415123887087,-2.629992708240527
208,왕십리(성동구청),3,-2.8385101373945565,1.5622961491092153
427,숙대입구(갈월),3,-1.095142327751237,-0.0940698822258855
2721,중화,3,-2.5858247397315455,-0.2836427662945682
4701,북한산우이,1,4.7514184119217395,-10.341808237020379
250,용두(동대문구청),3,-3.0991818878605497,-1.003807283103064
324,금호,3,-2.9473382225273124,-0.3680025377477548
330,교대(법원.검찰청),3,-2.872802809137962,1.6298327993611668
426,서울역,5,-2.1989452947865367,-0.07979582058265673
2638,창신,3,-2.7042101664210834,-1.3446554272597138
2620,월드컵경기장(성산),1,-1.1163416738816583,-3.1108266970306215
329,고속터미널,0,-3.0432182504021723,12.187151131672895
2514,송정,3,-0.8800268082815077,-2.7667796356793195
4702,솔밭공원,1,1.0726253788426932,-6.880343123093629
2633,버티고개,3,-2.219279384365999,-2.3349536409589113
238,합정,3,-2.776122188177921,4.3327082388892615
2816,석촌,3,-3.7760461482720773,0.46612392937460906
241,이대,3,-2.850229364653263,0.8121279302042788
2643,상월곡(한국과학기술연구원),3,-1.5219999481378232,-2.290974660593484
2648,봉화산(서울의료원),3,-0.885536036534356,-2.530265744639478
2636,신당,3,-4.658744565208394,1.23739373645929
153,종로3가,3,-3.940083085571401,3.422420455913199
244,용답,3,-2.79893464803217,-0.6771954203639814
309,지축,1,2.4121200374415372,-6.910409692078018
2722,상봉(시외버스터미널),3,-3.5236941378968067,1.402080787498449
2524,영등포구청,3,-3.7887473735157684,-0.4759268325925184
245,신답,3,-2.9884138499370168,-1.5242620599496053
2827,모란,3,-3.1538602588815596,-0.998128395192544
2625,광흥창(서강),3,-2.343750012253701,-1.6679366821101829
2623,합정,3,-1.9218859712880385,-1.102734511627422
246,신설동,3,-3.6144281017184787,-0.7456942701267033
312,불광,3,-2.3014983182703026,-0.08477117668591722
2818,가락시장,3,-4.027383950490385,0.25240193622059326
2634,약수,3,-3.987126936862505,-0.33872052315868206
2738,이수,3,-2.9653649519778424,0.8536088798648029
409,불암산,1,1.279421009346416,-5.384038464017575
4135,한성백제,5,-3.115425071305574,-3.222349198132384
2535,종로3가,3,-3.948790668982993,1.2657592158281297
2645,석계,3,-3.1639029185980054,-0.1047941305916176
159,동묘앞,3,-4.029209211548826,0.28959577849971757
325,옥수,3,-3.3359693660847225,-0.7579987294778735
4133,석촌,5,-3.7565789384114305,-1.2503040818542346
2712,도봉산,3,-2.43471813444604,-1.7085734381377529
2732,강남구청,3,-3.8363280701842077,1.0505563492867067
203,을지로3가,3,-4.2056671389265565,3.509038462204842
2545,군자(능동),3,-2.921764826819173,-0.2871764751355045
155,동대문,3,-3.751779359736154,0.07251713755432337
429,신용산,3,-3.500535245574159,0.9004955499071341
4706,삼양,5,-3.2341975036909054,-2.910624432693784
204,을지로4가,3,-4.223784934064102,1.2240391443800394
151,시청,3,-4.312968801224973,1.0922124732442682
2752,온수(성공회대입구),3,-2.1064803851996006,-2.0122002514744906
226,사당,3,-0.9440874198332357,2.588850640238075
311,연신내,3,-1.183330733849941,1.6586077549282803
205,동대문역사문화공원,3,-4.45322678801049,1.6136704903790657
2512,개화산,3,-3.159624438151621,-2.1046178273653804
4136,올림픽공원(한국체대),5,-3.464172653048715,-2.339167276041521
4101,개화,1,1.036518770520255,-6.802078219180965
340,가락시장,3,-3.4466077673177993,-0.7818758106436634
2541,왕십리(성동구청),3,-4.598415065454332,0.32991186632248776
4116,샛강,3,-4.462666728275829,-0.4818519967264752
2761,부평구청,5,-3.5483207512523514,-1.9273039056660326
2719,태릉입구,3,-4.109346869087401,-0.04844784090319918
430,이촌(국립중앙박물관),3,-2.9880025995274533,-1.9163060458591017
2558,오금,3,-4.3654607863200825,-0.8076233433669926
218,종합운동장,3,-2.9200098375625103,-0.8747066746798151
321,충무로,5,-5.313806331616133,-3.2937656129978796
2639,보문,3,-3.8957115384441883,-0.4625817854416907
423,충무로,3,-2.3781121947819353,0.6398427871059899
2542,마장,3,-4.018270584639757,-0.7785106113646217
2635,청구,3,-4.496306063787554,-0.5108624082949577
2735,반포,3,-4.84233058948437,-0.41152239587707173
2753,까치울,1,-1.1988271087048046,-5.635544908499662
2637,동묘앞,3,-4.849838987236401,0.012795254293717499
2812,천호(풍납토성),3,-3.6681067051877143,-0.006261359645154294
4713,신설동,3,-4.2439550566673665,-2.0067248983837027
156,신설동,3,-4.277628309727411,-0.09818841332560148
2711,장암,1,-0.7539167075508524,-7.106618100153038
237,당산,3,-3.0156226262264987,-0.8775893800022468
2526,신길,3,-3.8899994071264388,-1.9043229748557584
230,신림,0,-0.9944988884850106,6.760382772978146
2760,굴포천,5,-4.324750163927882,-2.4192027023316927
2619,디지털미디어시티,3,-4.034521934344678,-0.19178124039635758
320,을지로3가,3,-4.969013966106,0.24899613584818966
4127,선정릉,3,-4.235026027793729,-1.2275697690419658
2744,보라매,3,-4.8791796185020635,-0.37719830291432926
234,신도림,3,-3.6081755609796757,4.12186383465497
4712,보문,3,-4.5165490906627115,-2.2688093335975497
342,오금,3,-4.259079053000482,-1.4966185934226188
2536,을지로4가,3,-5.559338140393055,-0.16740094373713374
2646,태릉입구,3,-5.032987045728647,-1.2670052712684492
4103,공항시장,3,-5.424767516908373,-1.8302146625130182
323,약수,3,-4.932982662181997,-0.0041238961805721225
319,종로3가,3,-5.136806225894405,-0.7379918803993992
2513,김포공항,1,-1.9720395877932948,-4.890318807867435
2629,삼각지,3,-4.742461359171786,-1.245492184803564
2556,올림픽공원(한국체대),3,-4.265770486015791,-1.9664177719432412
