method,spearman_with_gap,pearson_with_gap
mobility_minus_subway,0.9564052017511226,0.9581057519516447
hidden_gap_only,0.9272380145707237,0.848907543134819
quad_reconstruction,0.90591937368127,0.9226441107930132
mobility_only,0.7606490245687059,0.7082249935690754
temporal_only,0.7161142128390946,0.6397042997366656
subway_inverse_only,0.11908141566922509,0.3430353497668197
visual_only,-0.43345432131644446,-0.3853198334120939
