station_id,nearest_station,cluster,pca_x,pca_y
2519,까치산,2,13.360000373717119,4.26061333171328
2824,단대오거리,2,12.79198831081645,-2.8366584336684615
2561,마천,2,15.88407833506407,-7.41038851404258
249,신정네거리,2,8.80255988532492,-1.022962838711434
2716,중계,2,6.4920000750094795,1.479775917648832
2611,응암,2,7.43075274771672,0.23430163549673844
314,홍제,2,9.53127565271887,-1.3418774531436324
2560,거여,2,6.966423778722887,-1.2678805796144519
4107,가양,2,6.987371373934395,-1.9858926494053604
2823,남한산성입구(성남법원.검찰청),2,12.772196891109989,-6.905474239849752
2820,장지,2,6.73422358264026,0.8355048098203648
213,구의(광진구청),0,5.997470417066705,2.7425821183634627
2750,광명사거리,2,10.91134145832439,-2.672249344206613
2749,철산,2,9.198515690354103,-1.7197770881932173
2757,부천시청,2,7.501550019252447,-3.643243744382498
248,양천구청,0,3.877547491797298,-0.6214229791943852
4709,북한산보국문,2,7.5247258940613975,-6.221840996307972
410,상계,2,6.758192150290149,-1.1844285518371742
211,성수,5,6.733986209453736,5.560037477502336
2518,화곡,2,7.581033437406441,1.7330601416286007
2626,대흥(서강대앞),0,1.8226342644614086,1.8528610107327654
310,구파발,2,9.036682744769852,-3.4472044392035395
2517,우장산,2,5.333328197533045,-0.7831527059201507
333,매봉,0,3.285020832351534,0.9324937678818161
2544,장한평,2,5.394716793918474,0.7248676835724098
413,쌍문,2,6.330402291117904,3.201493006036101
4109,등촌,2,3.593822879602647,-1.3232772978487635
2739,남성,0,2.799558076704729,1.2817541020182976
2826,수진,2,4.858478977432464,-2.7257556152646556
221,역삼,5,7.77025051961415,8.246438996358322
2553,고덕,2,4.002838580538878,-1.456423844974252
4129,봉은사,0,2.321902257169788,2.659788060094477
2516,발산,0,3.003719927917791,2.7391832293874305
2617,새절(신사),2,4.046725330931363,-0.3714437771394667
2522,오목교(목동운동장앞),0,3.638120621660023,2.623152158949308
424,명동,5,4.180040144176064,5.65739884577783
2554,상일동,2,5.9600474912254535,-1.814640615924667
2525,영등포시장,0,0.900687154357793,2.0010814594674216
326,압구정,0,4.4829807497997285,4.142218662139329
416,미아사거리,0,4.541911737122482,2.351322303656522
2819,문정,0,2.9224652585468243,1.960610076738114
341,경찰병원,0,1.3413173983960567,1.0693180710344492
2815,잠실(송파구청),5,0.5078049244972535,5.185947015511129
2740,숭실대입구(살피재),0,2.5606534213304224,0.5450230154138012
231,신대방,0,4.200467109690941,1.8566805279644558
331,남부터미널(예술의전당),0,5.051926754372702,2.1587788531198
4114,국회의사당,3,2.0679377703207105,-0.9486276599895677
2616,구산,2,4.547074892785574,-3.2225842970829754
2551,굽은다리(강동구민회관앞),0,2.0643304010681156,-0.1281125831277921
2546,아차산(어린이대공원후문),0,2.834836351660385,0.034088279473433965
2618,증산(명지대앞),2,3.320705431105564,-0.4991106859898607
318,안국,2,4.378843658265535,0.618111899697534
2550,길동,0,0.9163024425143698,1.0779610755926183
327,신사,0,2.9247540346560865,4.5708376622749975
154,종로5가,0,1.1959233831404423,3.0957308642569696
2528,여의나루,0,2.451901998631588,0.917082812912071
225,방배,0,3.2353846354066422,0.7900519710273821
2747,남구로,0,1.7426616112524886,1.290822790671365
417,길음,0,2.2661913683626347,2.341967573558112
2825,신흥,2,4.128111481926792,-3.428077379075954
2728,어린이대공원(세종대),0,1.5449858016652598,1.1877586169170837
317,경복궁(정부서울청사),2,5.083874362415535,-0.13518913377798822
4110,염창,2,3.402376179611886,-1.9082166197059083
313,녹번,2,5.473840668945212,-2.4175272110086583
4132,석촌고분,3,0.935398013214532,-0.9603823155703738
2717,하계,0,3.401271396214271,-0.4251104414710833
2622,망원,0,1.9589941251969416,0.6540608541298527
2813,강동구청,0,1.7775060046025448,-0.21669117964928944
428,삼각지,0,0.04329955648547308,1.7249457844934828
