station_id,station_name,mob_vis_cosine_pca4,mobility_cluster,visual_cluster
232,구로디지털단지,-0.49756187701868376,2,5
2755,춘의,-0.4975442028715029,5,3
2727,군자(능동),-0.49739061972494897,3,5
426,서울역,-0.4972542426481307,3,3
4112,선유도,-0.4968512870058802,4,0
2629,삼각지,-0.4945572597143812,3,1
2743,신대방삼거리,-0.48957795228847184,0,5
231,신대방,-0.4892025853263717,0,5
328,잠원,-0.48748319811267027,3,0
243,충정로(경기대입구),-0.4858746199389536,3,1
2554,상일동,-0.477775649198486,1,0
2826,수진,-0.47632292117185865,0,2
419,한성대입구(삼선교),-0.47425240202839253,0,1
2728,어린이대공원(세종대),-0.4726806532580822,0,1
330,교대(법원.검찰청),-0.47193924792313485,3,1
422,동대문역사문화공원,-0.4669520738413757,3,1
4124,사평,-0.4668784399535406,3,3
2827,모란,-0.464003866765536,3,3
2639,보문,-0.46237445434282454,3,1
152,종각,-0.46165685942781753,2,4
2626,대흥(서강대앞),-0.45951731770590437,0,1
228,서울대입구(관악구청),-0.45244237996591785,2,1
2532,충정로(경기대입구),-0.449511641260337,3,1
2527,여의도,-0.4444719993109601,3,4
4121,구반포,-0.44305316244813153,3,0
153,종로3가,-0.4410608437016053,3,4
2538,청구,-0.44034616928346726,3,3
2761,부평구청,-0.4254751461007341,5,5
418,성신여대입구(돈암),-0.41789399154419127,3,1
154,종로5가,-0.41651275445828,0,1
2738,이수,-0.41430694035256405,3,3
332,양재(서초구청),-0.40735742450989426,2,1
205,동대문역사문화공원,-0.3915091205324234,3,4
2744,보라매,-0.3913601507460346,3,3
2635,청구,-0.38909071496169284,3,5
2623,합정,-0.3862813845401543,3,0
4138,중앙보훈병원,-0.3858836957151091,1,2
2530,공덕,-0.38429474435323735,3,3
2759,삼산체육관,-0.3805821433074457,5,4
226,사당,-0.3713716462610929,3,2
2519,까치산,-0.3703516452400294,1,1
428,삼각지,-0.3677565398699846,0,1
2534,광화문(세종문화회관),-0.3677482132131604,2,1
239,홍대입구,-0.3552825662573368,2,5
2560,거여,-0.3493992697547195,1,0
202,을지로입구,-0.3457188810875166,2,3
4117,노량진,-0.34296846550180193,3,0
4120,동작(현충원),-0.34262056805775515,4,0
411,노원,-0.3423265605572574,0,5
342,오금,-0.32852857591283213,3,3
210,뚝섬,-0.32562568182124785,3,5
322,동대입구,-0.3210248021083797,3,1
334,도곡,-0.32063810996512576,3,3
2642,월곡(동덕여대),-0.31767274605911017,0,5
248,양천구청,-0.315994657146944,0,5
2812,천호(풍납토성),-0.3046584354900348,3,0
2627,공덕,-0.2980146149647086,3,4
4705,화계,-0.2904656485140907,4,2
212,건대입구,-0.28930158966849934,2,5
319,종로3가,-0.2857101639639641,3,4
4113,당산,-0.2833403820627814,3,0
2739,남성,-0.2700649026920407,0,5
222,강남,-0.2675484127688522,2,3
244,용답,-0.26423904438886725,3,5
223,교대(법원.검찰청),-0.2595333213979668,2,1
249,신정네거리,-0.25893448010391495,1,5
2729,건대입구,-0.25412207291197597,0,1
4122,신반포,-0.2518430532729975,3,0
4123,고속터미널,-0.24756385917524434,3,0
206,신당,-0.247197962184169,3,5
2558,오금,-0.24620112201592456,3,3
2524,영등포구청,-0.24611776634079618,3,3
309,지축,-0.24324699231305966,4,2
2726,중곡,-0.24171502983189247,0,2
2628,효창공원앞,-0.23676490363139657,3,1
2613,불광,-0.23280140523567744,3,3
235,문래,-0.22449757616893234,3,3
4110,염창,-0.22317185356921104,0,0
4107,가양,-0.2204965012089763,1,0
4126,언주,-0.1985142931867488,3,5
2620,월드컵경기장(성산),-0.19710585639999,4,0
2615,연신내,-0.19286853826436104,5,2
4713,신설동,-0.1884994492541693,3,3
2513,김포공항,-0.1801976596898561,4,0
4712,보문,-0.1779903179147519,3,1
4701,북한산우이,-0.1776310842072344,4,2
241,이대,-0.1584391308406834,3,3
207,상왕십리,-0.1377880728632373,3,5
247,도림천,-0.13764952884482726,3,5
2813,강동구청,-0.13620347104642877,0,0
2542,마장,-0.11993112408228043,3,5
4703,4.19민주묘지,-0.11094327184686001,4,2
4109,등촌,-0.11010006823747992,0,5
219,삼성(무역센터),-0.10779498874696111,2,4
2556,올림픽공원(한국체대),-0.1052443326416524,3,4
4702,솔밭공원,-0.09711447134433052,4,4
237,당산,-0.09111294193747438,3,0
335,대치,-0.09076207737948702,0,3
209,한양대,-0.0852215355044866,3,0
2746,대림(구로구청),-0.07256188138826156,0,5
150,서울역,-0.07153775950088276,3,4
4136,올림픽공원(한국체대),-0.07049550831212031,5,4
329,고속터미널,-0.06900153152719021,2,4
2733,학동,-0.062421868181810114,0,5
4708,솔샘,-0.05320533140854916,4,2
218,종합운동장,-0.05317357052212847,3,0
2614,독바위,-0.052744603183272114,4,2
2535,종로3가,-0.035299974100722185,3,4
2713,수락산,-0.031706353589933206,4,2
2737,내방,-0.023481458163615992,3,5
2711,장암,-0.014544827099589153,4,2
4114,국회의사당,-0.008251211204585773,0,0
2721,중화,-0.006402307220407376,3,5
4137,둔촌오륜,-0.005694126422443978,5,2
2644,돌곶이,0.00040278818767514046,0,5
245,신답,0.0006405250318299513,3,5
2631,이태원,0.02262048495172242,0,5
409,불암산,0.025289689723686094,4,2
2822,산성,0.03948830351151103,4,2
2529,마포,0.04574449131365282,0,0
