cluster,n_stations,mean_mapped_cell_count,mean_active_cell_count,mean_surrounding_total_flow,mean_surrounding_outflow,mean_surrounding_inflow,mean_surrounding_netflow,mean_mean_cell_flow,mean_subway_total_activity,mean_mobility_minus_subway_gap,mean_outer_1km_plus_share
0,68,17.485294117647058,16.779411764705884,134514577.4607353,66923070.94882352,67591506.51191176,668435.5630882354,8805742.430885993,185562742.05882353,0.13537385861167184,0.03827373932763769
1,58,76.93103448275862,38.56896551724138,135814699.04517242,68148387.60862067,67666311.43655172,-482076.1720689655,2566941.864382702,105561872.62068966,0.23724232734593426,0.18196566906416553
2,49,35.36734693877551,21.959183673469386,112313999.60306123,56012954.37714285,56301045.22591837,288090.8487755102,3855506.072408009,103007199.3265306,0.17657003023970289,0.05907433568302561
3,56,12.607142857142858,11.607142857142858,81309607.21428572,40577178.476071425,40732428.73821429,155250.2621428571,7482830.895137474,101459958.23214285,0.09428425849547843,0.011093747461829381
4,62,19.35483870967742,17.612903225806452,104636621.4964516,52439345.2580645,52197276.238387085,-242069.01967741933,6131816.061266152,129560012.24193548,0.12308420073808274,0.029036677053054804
5,34,5.029411764705882,4.852941176470588,65279175.28852941,32297762.058235295,32981413.230294116,683651.1720588235,13733539.47377681,134665264.1470588,0.00993965771055476,0.0
