station_id,station_name,mob_vis_cosine_pca8,mobility_cluster,visual_cluster
2546,아차산(어린이대공원후문),-0.9216624160474732,0,0
2740,숭실대입구(살피재),-0.9104472913307098,0,0
2749,철산,-0.8960290950680668,1,5
2619,디지털미디어시티,-0.8919615902239546,3,4
2750,광명사거리,-0.8809583024142206,1,5
2541,왕십리(성동구청),-0.8772027794478228,3,1
415,미아(서울사이버대학),-0.870180786335853,0,0
2537,동대문역사문화공원,-0.856789082804253,3,1
201,시청,-0.854548617455233,3,1
410,상계,-0.8512023350209026,1,5
416,미아사거리,-0.8389401086469228,0,0
314,홍제,-0.8299462505081036,1,5
4116,샛강,-0.8287115916452331,3,3
318,안국,-0.8262246351403264,0,5
2824,단대오거리,-0.8257036940954782,1,5
420,혜화,-0.814638671893436,0,1
2646,태릉입구,-0.8113767850429433,3,1
433,사당,-0.8108270455795591,3,1
2719,태릉입구,-0.8093378435768606,3,1
2617,새절(신사),-0.8027291950259812,0,5
2717,하계,-0.7995794197295336,0,5
2561,마천,-0.7966228352873623,1,5
238,합정,-0.7950236860223928,3,1
2536,을지로4가,-0.7879796841639239,3,1
2636,신당,-0.7603864758901057,3,1
227,낙성대,-0.7528230486026294,0,5
155,동대문,-0.7518924806559272,3,1
425,회현(남대문시장),-0.7499040977903397,0,1
208,왕십리(성동구청),-0.7377407983403301,3,1
2736,고속터미널,-0.7303151912248029,3,3
2722,상봉(시외버스터미널),-0.7271843172444304,3,0
2637,동묘앞,-0.7263991632293231,3,1
2734,논현,-0.7147896600726285,3,1
157,제기동,-0.709407599436443,3,4
250,용두(동대문구청),-0.703484784588347,3,0
230,신림,-0.7027731608844371,2,1
2511,방화,-0.7016243694566934,4,2
2625,광흥창(서강),-0.6825150814674611,3,2
310,구파발,-0.6793366025217457,1,5
313,녹번,-0.674978512814908,1,5
159,동묘앞,-0.6711571819143061,3,1
2618,증산(명지대앞),-0.6664881689547837,0,0
2517,우장산,-0.6654205476012587,0,4
156,신설동,-0.6590978506587477,3,1
2816,석촌,-0.6503344593281897,3,3
203,을지로3가,-0.6433904766614209,3,1
233,대림(구로구청),-0.6392616128157975,3,0
2533,서대문,-0.6298158801466579,0,1
151,시청,-0.6273902078341451,3,1
2716,중계,-0.6251431168924185,0,5
224,서초,-0.6212364004991248,3,1
204,을지로4가,-0.6196008510930165,3,1
4130,종합운동장,-0.6161304395985358,3,4
4101,개화,-0.6085031970520431,4,4
421,동대문,-0.6052573285064532,3,1
320,을지로3가,-0.6039242121645533,3,1
2518,화곡,-0.6032256215752776,1,1
4111,신목동,-0.5946075969972995,4,2
2616,구산,-0.5921685010313171,4,5
317,경복궁(정부서울청사),-0.5809462459893399,0,5
2743,신대방삼거리,-0.5764597961872191,0,1
4128,삼성중앙,-0.5749049760848711,3,0
321,충무로,-0.5704654827379609,5,4
2818,가락시장,-0.5587630491459054,3,3
2725,용마산,-0.557153987774881,4,5
330,교대(법원.검찰청),-0.548046703615171,3,0
229,봉천,-0.5428590493055895,0,0
417,길음,-0.5404401321845089,0,1
4124,사평,-0.539814300468634,3,4
431,동작(현충원),-0.5367051544567447,3,4
338,일원,-0.533512939549576,1,5
225,방배,-0.5288801256545256,0,3
432,총신대입구(이수),-0.5236887366772337,0,0
4115,여의도,-0.5214901521763546,3,3
2823,남한산성입구(성남법원.검찰청),-0.5213261335178706,1,5
337,대청,-0.5201752005471306,3,4
2821,복정,-0.5084098636875084,4,4
4127,선정릉,-0.4947263828277968,3,1
2547,광나루(장신대),-0.49225592599150353,0,2
246,신설동,-0.4890519510790532,3,1
2532,충정로(경기대입구),-0.4881545729549632,3,1
2611,응암,-0.4880326279179846,1,0
2645,석계,-0.48672234712846746,3,1
2735,반포,-0.48437113313152774,3,3
4709,북한산보국문,-0.4833838074266066,1,5
340,가락시장,-0.481764202501162,3,3
4103,공항시장,-0.47798331241208764,3,1
4102,김포공항,-0.4772280485568891,3,3
226,사당,-0.4756226675094393,3,1
424,명동,-0.4738728211990676,2,5
4118,노들,-0.4738024467638696,3,2
2639,보문,-0.47327829691612877,3,1
2554,상일동,-0.4693192253908181,1,4
419,한성대입구(삼선교),-0.46793024733771904,0,5
331,남부터미널(예술의전당),-0.46528610463014225,0,0
2827,모란,-0.46180171163441514,3,3
336,학여울,-0.46008030193842664,3,4
2730,뚝섬유원지,-0.4546984109653944,4,2
4121,구반포,-0.4544195334632505,3,2
2732,강남구청,-0.452015983116695,3,0
4106,양천향교,-0.4505778442632812,4,2
2621,마포구청,-0.44598747990218446,0,2
2553,고덕,-0.44508424980531885,0,2
2825,신흥,-0.4433484855128135,4,3
4117,노량진,-0.44330869689407115,3,4
430,이촌(국립중앙박물관),-0.4429558028651403,3,2
2523,양평,-0.43628560892871115,3,4
414,수유(강북구청),-0.43097567567923845,0,0
239,홍대입구,-0.4304349386019189,2,0
2718,공릉(서울과학기술대),-0.4300177973174338,0,0
2738,이수,-0.4239372522671827,3,1
4108,증미,-0.4202660338331666,4,2
2629,삼각지,-0.4194755501230959,3,1
243,충정로(경기대입구),-0.4151770212049943,3,1
234,신도림,-0.41460289869214745,3,1
413,쌍문,-0.4031355753792505,0,0
422,동대문역사문화공원,-0.4025231866013349,3,1
231,신대방,-0.40198707733080746,0,4
236,영등포구청,-0.39739978633106166,3,0
2744,보라매,-0.3930654820682451,3,1
2814,몽촌토성(평화의문),-0.3901316849136838,3,3
4105,마곡나루,-0.38312990823524823,3,2
4120,동작(현충원),-0.3809041739337507,4,2
2728,어린이대공원(세종대),-0.37731910624409026,0,0
205,동대문역사문화공원,-0.37683957664010204,3,1
152,종각,-0.37481128862493274,2,1
2715,노원,-0.3737596844996874,3,1
2545,군자(능동),-0.36550647640920914,3,0
153,종로3가,-0.3652152862067963,3,1
202,을지로입구,-0.3575300534375636,2,1
2826,수진,-0.3536864135158776,0,3
2635,청구,-0.35096444797301907,3,1
232,구로디지털단지,-0.3463091940613751,2,0
342,오금,-0.3450814551143343,3,3
