w_mobility,w_hidden_gap,w_temporal,w_visual,spearman_with_gap,pearson_with_gap,top10_stations
0.5,0.3181818181818181,0.18181818181818182,0.0,0.9157001127055229,0.9296650834654199,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 까치산; 거여; 북한산보국문; 부천시청; 홍제; 광명사거리
0.5,0.22727272727272727,0.18181818181818182,0.09090909090909091,0.9153915796207549,0.9303787970405505,마천; 단대오거리; 신정네거리; 까치산; 남한산성입구(성남법원.검찰청); 부천시청; 거여; 북한산보국문; 가양; 홍제
0.4375,0.1875,0.25000000000000006,0.12500000000000003,0.913562688843526,0.9297757445552912,마천; 단대오거리; 신정네거리; 까치산; 부천시청; 남한산성입구(성남법원.검찰청); 거여; 북한산보국문; 가양; 양천구청
0.5625000000000001,0.3125,0.12500000000000003,0.0,0.9124198466051751,0.9265733623559969,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 까치산; 북한산보국문; 거여; 부천시청; 홍제; 광명사거리
0.4230769230769231,0.2692307692307692,0.23076923076923075,0.07692307692307693,0.912220793002099,0.9277891877021403,마천; 단대오거리; 신정네거리; 까치산; 남한산성입구(성남법원.검찰청); 부천시청; 거여; 북한산보국문; 가양; 홍제
0.35000000000000003,0.25000000000000006,0.30000000000000004,0.10000000000000002,0.9114602709600012,0.9274407197747631,마천; 단대오거리; 신정네거리; 까치산; 부천시청; 거여; 남한산성입구(성남법원.검찰청); 북한산보국문; 가양; 양천구청
0.45,0.35,0.2,0.0,0.9103833223281858,0.9247538820766008,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 까치산; 거여; 부천시청; 북한산보국문; 홍제; 광명사거리
0.5625000000000001,0.1875,0.12500000000000003,0.12500000000000003,0.9074294354977095,0.9240486533564756,마천; 단대오거리; 신정네거리; 까치산; 남한산성입구(성남법원.검찰청); 부천시청; 거여; 북한산보국문; 가양; 양천구청
0.45000000000000007,0.25000000000000006,0.20000000000000004,0.10000000000000002,0.90591937368127,0.9226441107930133,마천; 단대오거리; 신정네거리; 까치산; 부천시청; 남한산성입구(성남법원.검찰청); 거여; 북한산보국문; 가양; 양천구청
0.37499999999999994,0.29166666666666663,0.24999999999999994,0.08333333333333333,0.9045627204175458,0.9211869422205347,마천; 단대오거리; 신정네거리; 부천시청; 까치산; 거여; 남한산성입구(성남법원.검찰청); 북한산보국문; 가양; 양천구청
0.5,0.35714285714285715,0.14285714285714288,0.0,0.9040709207396009,0.919231276411031,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 거여; 까치산; 부천시청; 북한산보국문; 홍제; 광명사거리
0.55,0.35,0.1,0.0,0.9025131546975963,0.9174843981929692,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 거여; 까치산; 북한산보국문; 부천시청; 홍제; 광명사거리
0.3888888888888889,0.3888888888888889,0.22222222222222227,0.0,0.9021651540880805,0.918315135786185,마천; 단대오거리; 신정네거리; 남한산성입구(성남법원.검찰청); 거여; 부천시청; 까치산; 북한산보국문; 홍제; 중앙보훈병원
0.45833333333333337,0.125,0.25,0.16666666666666669,0.9016005968862525,0.9222500032385893,마천; 단대오거리; 까치산; 신정네거리; 부천시청; 거여; 남한산성입구(성남법원.검찰청); 가양; 양천구청; 북한산보국문
0.55,0.25,0.1,0.1,0.8997411616768276,0.9169800212789148,마천; 단대오거리; 신정네거리; 남한산성입구(성남법원.검찰청); 까치산; 부천시청; 거여; 북한산보국문; 가양; 홍제
0.4583333333333333,0.29166666666666663,0.16666666666666666,0.08333333333333333,0.8989120004612553,0.9165385296308227,마천; 단대오거리; 신정네거리; 남한산성입구(성남법원.검찰청); 부천시청; 까치산; 거여; 북한산보국문; 가양; 홍제
0.5,0.38888888888888884,0.11111111111111112,0.0,0.8943358267657084,0.9104356152085274,마천; 단대오거리; 남한산성입구(성남법원.검찰청); 신정네거리; 거여; 부천시청; 북한산보국문; 까치산; 홍제; 중앙보훈병원
0.3181818181818181,0.3181818181818181,0.2727272727272727,0.09090909090909091,0.8941529033683989,0.9125258796316275,마천; 단대오거리; 신정네거리; 부천시청; 거여; 까치산; 남한산성입구(성남법원.검찰청); 북한산보국문; 가양; 양천구청
