station_id,nearest_station,cluster,pca_x,pca_y
2519,까치산,5,-1.721996147154892,-6.670147613373822
2824,단대오거리,0,-20.221185124561377,-5.398595696097546
2561,마천,0,-26.165775113382665,4.818389286019163
249,신정네거리,3,-6.7931481094662125,-2.5275347419789327
2716,중계,3,-12.414063809966654,-5.256786889020066
2611,응암,3,-11.62228220827182,0.7454488052241198
314,홍제,0,-30.742111840583405,-3.896177009734178
2560,거여,4,-5.852276896225496,10.596935538538114
4107,가양,2,-2.9079883369089217,28.42455872030921
2823,남한산성입구(성남법원.검찰청),0,-29.954271722443057,-0.9425911285713348
2820,장지,4,-1.7134998387249514,7.438911574106103
213,구의(광진구청),2,4.187668847267989,15.727610696271968
2750,광명사거리,0,-26.34718156676827,-2.9716442511197387
2749,철산,0,-20.25036412327176,-0.1850622819754584
2757,부천시청,4,6.788844206122348,3.8516930749873284
248,양천구청,3,-2.811354409676976,3.2616267369103076
4709,북한산보국문,0,-29.057218536639365,-2.7098157936203595
410,상계,0,-25.942041224338322,-9.025537857112596
211,성수,5,8.336123697156628,9.879199550814578
2518,화곡,3,-11.021462836965148,-8.463989465491757
2626,대흥(서강대앞),3,2.5497760479020344,-5.554694680471964
310,구파발,0,-25.02241702493285,-0.6719981781044536
2517,우장산,3,-10.652723512917635,-0.3603221255230577
333,매봉,4,5.217269595089187,1.0528267919510657
2544,장한평,5,7.266572098454317,10.219272625206226
413,쌍문,3,-3.841537928531775,-6.128671925770464
4109,등촌,2,-12.723661511692306,9.922193921904288
2739,남성,3,-11.009862980931361,-3.1883563966035187
2826,수진,4,-12.168757918118207,6.447707750023799
221,역삼,5,8.579513465785313,-6.16895288151621
2553,고덕,2,-8.176424359690314,19.467981220679057
4129,봉은사,2,7.9010513340910995,21.002927388235463
2516,발산,5,3.6489381737688418,-3.3579049793629774
2617,새절(신사),0,-22.153135586039504,-8.990013308516001
2522,오목교(목동운동장앞),5,2.5856157337997305,2.470849585824939
424,명동,0,-7.782044382755411,-3.1026051852455105
2554,상일동,2,-7.6653024322177465,25.02308830918833
2525,영등포시장,5,11.916779939147668,-5.447148512665123
326,압구정,2,6.266985498963277,21.513123222153627
416,미아사거리,3,-15.72313252186306,-9.162886393460921
2819,문정,4,1.8080238052319038,4.466774086437334
341,경찰병원,4,5.125463546811546,-2.674840515064951
2815,잠실(송파구청),4,13.530990712893054,5.50297257002116
2740,숭실대입구(살피재),3,-14.850227047417107,-5.008958568996426
231,신대방,3,-6.44656261596736,-0.029800814446461238
331,남부터미널(예술의전당),3,-10.327657292706132,-0.20685309189172363
4114,국회의사당,2,7.240509960200004,26.04254875180403
2616,구산,0,-25.700070721792216,-4.6813679648583975
2551,굽은다리(강동구민회관앞),5,-2.686431077084556,-6.464972223537184
2546,아차산(어린이대공원후문),3,-21.31793880083429,-9.35679767523535
