station_id,station_name,mobility_cluster,visual_cluster_pca8,mob_vis_agreement_pca8,mob_vis_mismatch_pca8,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share,mapped_cell_count,active_cell_count
2546,아차산(어린이대공원후문),0,0,-0.9216624160474732,1.9216624160474733,166789824.09,145461656,0.2723051463596229,0.0085524917828936,40,35
2740,숭실대입구(살피재),0,0,-0.9104472913307098,1.9104472913307098,164704799.93,127585197,0.2886175773222462,0.0004329020163972,38,34
2749,철산,1,5,-0.8960290950680668,1.8960290950680667,228846966.66,184668913,0.3926176697707448,0.2202223258430845,96,71
2619,디지털미디어시티,3,4,-0.8919615902239546,1.8919615902239546,33462556.41,126233103,-0.066088550137619,0.0,9,9
2750,광명사거리,1,5,-0.8809583024142206,1.8809583024142205,235605602.13,189941466,0.4044886096444441,0.2663429347294357,131,92
2541,왕십리(성동구청),3,1,-0.8772027794478228,1.8772027794478228,44265272.46,54903593,0.0509237969326962,0.0,3,3
415,미아(서울사이버대학),0,0,-0.870180786335853,1.870180786335853,149639325.46,147470413,0.2232664111449114,0.2241337751082374,33,31
2537,동대문역사문화공원,3,1,-0.856789082804253,1.856789082804253,83250500.50999999,28260881,0.18953178614795,0.0,5,5
201,시청,3,1,-0.854548617455233,1.854548617455233,86970130.91,215360198,-0.030353228295416,0.0,6,6
410,상계,1,5,-0.8512023350209026,1.8512023350209026,208836382.0,178787776,0.3455111786684361,0.2469349627499292,66,36
416,미아사거리,0,0,-0.8389401086469228,1.8389401086469228,215883702.2,269528664,0.2531071239640315,0.0249426838854721,40,35
314,홍제,1,5,-0.8299462505081036,1.8299462505081037,238227911.64,162317598,0.4455647332370832,0.3520344215027683,82,71
4116,샛강,3,3,-0.8287115916452331,1.828711591645233,42620037.69,26192211,0.0817488473846907,0.0,3,3
318,안국,0,5,-0.8262246351403264,1.8262246351403264,183576844.96,209597543,0.2390509914224815,0.0635536211690649,40,29
2824,단대오거리,1,5,-0.8257036940954782,1.8257036940954783,269839175.43,92678671,0.6170014051339521,0.4435378622814079,95,67
420,혜화,0,1,-0.814638671893436,1.814638671893436,181611425.6,327836575,0.0883731242350262,0.0551632418329521,28,23
2646,태릉입구,3,1,-0.8113767850429433,1.8113767850429432,23879659.64,58079572,-0.0083341592462511,0.0,7,6
433,사당,3,1,-0.8108270455795591,1.810827045579559,98133101.93,219548572,-0.0051903041817421,0.0,9,9
2719,태릉입구,3,1,-0.8093378435768606,1.8093378435768606,44695913.36,83464975,0.0169850856093449,0.0,7,7
2617,새절(신사),0,5,-0.8027291950259812,1.8027291950259812,175682743.69,115988103,0.3326818065481394,0.1389221659872632,40,35
2717,하계,0,5,-0.7995794197295336,1.7995794197295336,164332297.23,170185485,0.2352412332535103,0.0331020448913126,46,30
2561,마천,1,5,-0.7966228352873623,1.7966228352873623,253468351.25,59766922,0.6130045307725955,0.4984772738170403,312,105
238,합정,3,1,-0.7950236860223928,1.7950236860223927,86060495.03999999,295289364,-0.1310732542201189,0.0,6,6
2536,을지로4가,3,1,-0.7879796841639239,1.787979684163924,24659385.29,58086284,-0.0062251845719516,0.0,3,3
2636,신당,3,1,-0.7603864758901057,1.7603864758901056,58301230.44,79346904,0.0589902235105297,0.0,4,4
227,낙성대,0,5,-0.7528230486026294,1.7528230486026293,149104979.81,263715437,0.0789254672023567,0.0459474001386808,46,34
155,동대문,3,1,-0.7518924806559272,1.7518924806559273,50177997.96,91973048,0.0214126013334575,0.0,5,5
425,회현(남대문시장),0,1,-0.7499040977903397,1.7499040977903397,163083128.9,227952290,0.1608415434440969,4.17679011062928e-05,12,11
208,왕십리(성동구청),3,1,-0.7377407983403301,1.7377407983403301,72003570.48,142677278,0.0183502397488824,0.0,5,5
2736,고속터미널,3,3,-0.7303151912248029,1.730315191224803,93693814.26,155107277,0.0619676341998557,0.0,11,11
2722,상봉(시외버스터미널),3,0,-0.7271843172444304,1.7271843172444306,63593185.77,157258839,-0.0224107261177148,0.0,8,8
2637,동묘앞,3,1,-0.7263991632293231,1.7263991632293232,36619547.42,75930413,0.0043165443014453,0.0,4,4
2734,논현,3,1,-0.7147896600726285,1.7147896600726285,104117075.17,173037408,0.0682304291701834,0.0,10,10
157,제기동,3,4,-0.709407599436443,1.709407599436443,80682427.6,126670104,0.0615925846329816,0.0,11,11
250,용두(동대문구청),3,0,-0.703484784588347,1.703484784588347,59132665.23,24036982,0.1292355871277905,0.0,12,12
230,신림,2,1,-0.7027731608844371,1.702773160884437,98414593.26,579214519,-0.4465323736551617,0.0094258865405181,13,13
2511,방화,4,2,-0.7016243694566934,1.7016243694566935,73761149.69,60002617,0.124747526364131,0.0859055415571844,82,24
2625,광흥창(서강),3,2,-0.6825150814674611,1.6825150814674612,56168938.31,87239703,0.0434983729671679,0.0,17,11
310,구파발,1,5,-0.6793366025217457,1.6793366025217455,203777136.62,178773332,0.331791330212683,0.2979221372278403,145,65
313,녹번,1,5,-0.674978512814908,1.674978512814908,155135963.88,126757215,0.2636526408226141,0.2718720703126236,74,56
159,동묘앞,3,1,-0.6711571819143061,1.671157181914306,50486135.0,72331246,0.0463932780287216,0.0,4,4
2618,증산(명지대앞),0,0,-0.6664881689547837,1.6664881689547837,153862445.64000002,92063681,0.302840375343174,0.2849137724781065,33,31
2517,우장산,0,4,-0.6654205476012587,1.6654205476012587,190743877.69,137321863,0.3473542446488776,0.2142690442543241,46,35
156,신설동,3,1,-0.6590978506587477,1.6590978506587477,34637266.84,100397683,-0.0311415446631588,0.0,5,5
2816,석촌,3,3,-0.6503344593281897,1.6503344593281897,60521633.16,80313641,0.0638310591697086,0.0,5,5
203,을지로3가,3,1,-0.6433904766614209,1.643390476661421,59328318.43,200807706,-0.0875221946924672,0.0,3,3
233,대림(구로구청),3,0,-0.6392616128157975,1.6392616128157975,110737251.13,234640179,0.0104835111658705,0.0,17,17
2533,서대문,0,1,-0.6298158801466579,1.629815880146658,128871339.53,158611357,0.1531795331013981,0.0,15,15
151,시청,3,1,-0.6273902078341451,1.6273902078341451,50733538.24,108322852,0.0028236776695365,0.0,4,4
2716,중계,0,5,-0.6251431168924185,1.6251431168924184,243142201.45,130842328,0.4975985742990838,0.1636961299298954,33,32
224,서초,3,1,-0.6212364004991248,1.6212364004991247,91317917.89,195615014,0.0057235755185197,0.0,18,14
204,을지로4가,3,1,-0.6196008510930165,1.6196008510930167,51284836.05,115831040,-0.0049085276356898,0.0,3,3
4130,종합운동장,3,4,-0.6161304395985358,1.6161304395985359,98464883.75,41089199,0.2150753573535209,0.0,20,14
4101,개화,4,4,-0.6085031970520431,1.6085031970520431,42607464.35,17055059,0.0929462215338598,0.7183814344962305,125,36
421,동대문,3,1,-0.6052573285064532,1.605257328506453,98425519.35,170485171,0.055913129575202,0.0,6,6
320,을지로3가,3,1,-0.6039242121645533,1.6039242121645532,30900806.64,87650397,-0.0256181856804077,0.0,3,3
2518,화곡,1,1,-0.6032256215752776,1.6032256215752776,240640177.86,266495286,0.3240581992377714,0.2743958685835722,54,52
4111,신목동,4,2,-0.5946075969972995,1.5946075969972995,125987174.22,18674615,0.3173602273110782,0.2183650842264283,42,25
2616,구산,4,5,-0.5921685010313171,1.5921685010313171,148916787.91,63787396,0.3241688072007402,0.1578729688570006,60,38
317,경복궁(정부서울청사),0,5,-0.5809462459893399,1.58094624598934,175745775.44,206418691,0.2216944151467518,0.1444521099095615,54,40
2743,신대방삼거리,0,1,-0.5764597961872191,1.576459796187219,112795367.11,142474532,0.129363312013967,0.0919775597687666,18,18
4128,삼성중앙,3,0,-0.5749049760848711,1.5749049760848712,108187856.52,49490263,0.2311498900386909,0.0,12,12
321,충무로,5,4,-0.5704654827379609,1.570465482737961,38409781.61,6240,0.1025047061667961,0.0,3,3
2818,가락시장,3,3,-0.5587630491459054,1.5587630491459055,54159865.35,75217601,0.0528207801780628,0.0,5,5
2725,용마산,4,5,-0.557153987774881,1.557153987774881,135937264.54,55970328,0.2985337558367532,0.406923223276448,56,27
330,교대(법원.검찰청),3,0,-0.548046703615171,1.548046703615171,65805718.27,107675752,0.0445452903217224,0.0,5,5
229,봉천,0,0,-0.5428590493055895,1.5428590493055894,157804166.3,213416608,0.1643747956359496,0.0,24,24
417,길음,0,1,-0.5404401321845089,1.540440132184509,178836222.14,207888875,0.2282788774091335,0.0,26,25
4124,사평,3,4,-0.539814300468634,1.539814300468634,97890337.08,16867299,0.2432891626672509,0.0,11,11
431,동작(현충원),3,4,-0.5367051544567447,1.5367051544567447,13595370.63,18491182,0.0124030377083271,0.0,12,8
338,일원,1,5,-0.533512939549576,1.533512939549576,137677827.02,85569177,0.266876666272049,0.3754832174427792,111,53
225,방배,0,3,-0.5288801256545256,1.5288801256545255,170169907.48999998,168353562,0.2533441920641576,0.0025645722938742,43,33
432,총신대입구(이수),0,0,-0.5236887366772337,1.5236887366772338,129631965.36,174800387,0.1353451133778091,0.0,16,16
4115,여의도,3,3,-0.5214901521763546,1.5214901521763546,102349764.59,103140581,0.1493497269461354,0.0,6,6
2823,남한산성입구(성남법원.검찰청),1,5,-0.5213261335178706,1.5213261335178707,214095899.07,109221632,0.4453042667318112,0.4007729411572984,264,78
337,대청,3,4,-0.5201752005471306,1.5201752005471305,78071040.63,89842607,0.0997706394342403,0.0672298863656122,23,18
2821,복정,4,4,-0.5084098636875084,1.5084098636875085,108702649.53,58262362,0.2217649444690368,0.4599536235425558,66,38
4127,선정릉,3,1,-0.4947263828277968,1.4947263828277968,29797708.33,67075134,-0.0033220783451474,0.0,6,5
2547,광나루(장신대),0,2,-0.49225592599150353,1.4922559259915036,125636623.54,132716690,0.1762262461033857,0.119278985838304,56,36
246,신설동,3,1,-0.4890519510790532,1.4890519510790532,51507735.63,32220243,0.0984722837980562,0.0,7,7
2532,충정로(경기대입구),3,1,-0.4881545729549632,1.4881545729549632,67738958.29,39550153,0.1335356462292634,0.0,7,7
2611,응암,1,0,-0.4880326279179846,1.4880326279179845,240498375.91,159218648,0.4555391027043245,0.188167652312692,48,43
2645,석계,3,1,-0.48672234712846746,1.4867223471284674,54917832.81,116582469,0.004032649630257,0.0,10,9
2735,반포,3,3,-0.48437113313152774,1.4843711331315277,38870795.4,57065272,0.0336187575265733,0.0,5,5
4709,북한산보국문,1,5,-0.4833838074266066,1.4833838074266066,173775205.82999998,29966015,0.4332417352075597,0.1833600673226721,136,66
340,가락시장,3,3,-0.481764202501162,1.481764202501162,46502902.41,87547018,0.0168739822525438,0.0,11,10
4103,공항시장,3,1,-0.47798331241208764,1.4779833124120876,21393908.14,13044474,0.0402739373858811,0.0,6,6
4102,김포공항,3,3,-0.4772280485568891,1.4772280485568892,3998217.54,41376589,-0.04178761901102,0.0,1,1
226,사당,3,1,-0.4756226675094393,1.4756226675094393,85434779.17,399378692,-0.2607203482978983,0.00169917358493,26,21
424,명동,2,5,-0.4738728211990676,1.4738728211990675,223023993.25,269018763,0.273122264292377,0.0408375440564845,16,13
4118,노들,3,2,-0.4738024467638696,1.4738024467638695,96622514.7,21627463,0.2339953256470659,0.0376375982481027,30,23
2639,보문,3,1,-0.47327829691612877,1.4732782969161287,41999258.25,72784822,0.0227909266807463,0.0,6,6
2554,상일동,1,4,-0.4693192253908181,1.469319225390818,178306575.92000002,134070701,0.3175790371408212,0.1813600467798159,69,53
419,한성대입구(삼선교),0,5,-0.46793024733771904,1.4679302473377192,150057340.69,136835664,0.2374738495670708,0.2458389798217875,50,46
331,남부터미널(예술의전당),0,0,-0.46528610463014225,1.4652861046301422,209156551.59,276384365,0.2264134568253413,0.015270891376432,49,30
2827,모란,3,3,-0.46180171163441514,1.461801711634415,53636086.98,47708714,0.0852128494322155,0.0,9,8
336,학여울,3,4,-0.46008030193842664,1.4600803019384268,77566824.15,22538835,0.1811322556027756,0.0,17,14
2730,뚝섬유원지,4,2,-0.4546984109653944,1.4546984109653944,99588489.38,85024427,0.1641205385711154,0.0,46,26
4121,구반포,3,2,-0.4544195334632505,1.4544195334632506,65486125.89,12083104,0.1611813071656205,0.0,20,17
2732,강남구청,3,0,-0.452015983116695,1.452015983116695,54805569.73,143963558,-0.0299294013314633,0.0,6,6
4106,양천향교,4,2,-0.4505778442632812,1.450577844263281,118123776.11,40995645,0.2685710558689385,0.1101394570038521,89,44
2621,마포구청,0,2,-0.44598747990218446,1.4459874799021843,119860594.55,126995857,0.1675744551494806,0.0116018749549912,30,23
2553,고덕,0,2,-0.44508424980531885,1.445084249805319,174606434.02,95925380,0.3544206329764241,0.0650401166700374,53,37
2825,신흥,4,3,-0.4433484855128135,1.4433484855128134,139196890.49,40007437,0.327006578131878,0.1477597740696484,54,34
4117,노량진,3,4,-0.44330869689407115,1.4433086968940712,80110889.5,127014406,0.0596174399306831,0.0,10,10
430,이촌(국립중앙박물관),3,2,-0.4429558028651403,1.4429558028651404,44384082.22,79660995,0.0208142615334312,0.0,18,12
2523,양평,3,4,-0.43628560892871115,1.4362856089287113,97038861.95,62334933,0.185087660748578,0.0,21,17
