station_id,nearest_station,nearest_line,reconstruction_label,hidden_demand_reconstruction_score_norm,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,sem_dense_residential,sem_low_density_residential,sem_commercial_downtown,sem_mixed_use,sem_suburban_peripheral,sem_transit_hub,sem_low_transit_access,sem_road_oriented,sem_pedestrian_friendly,sem_green_mountain_area,sem_river_or_waterfront,sem_industrial_office,sem_university_area,sem_nightlife_entertainment,sem_traditional_market,top_semantic_1,top_semantic_1_score,top_semantic_3
2820,장지,8호선,Potential Hidden Demand,0.7604512988206732,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.28264442,0.29797995,0.24963357,0.28156,0.30185628,0.26662645,0.2783509,0.29938847,0.27353474,0.26156142,0.29598296,0.25854117,0.27637303,0.24613786,0.22398898,suburban_peripheral,0.30185628,suburban_peripheral; road_oriented; low_density_residential
4138,중앙보훈병원,9호선(연장),High Priority Hidden Demand,0.7594595394192527,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25603482,0.27461216,0.23180354,0.25540105,0.2808973,0.24805996,0.2668713,0.26800638,0.248811,0.28630316,0.28289965,0.2530048,0.26834065,0.2511962,0.21379247,green_mountain_area,0.28630316,green_mountain_area; river_or_waterfront; suburban_peripheral
2611,응암,6호선,Potential Hidden Demand,0.7580054284376951,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.27018964,0.2888976,0.24784547,0.26963207,0.29211906,0.25366646,0.27857944,0.27435642,0.2559759,0.27175725,0.29657435,0.25706518,0.2833442,0.25724322,0.2313135,river_or_waterfront,0.29657435,river_or_waterfront; suburban_peripheral; low_density_residential
4111,신목동,9호선,High Priority Hidden Demand,0.7516874100422541,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2376436,0.25406414,0.22497942,0.25139847,0.2695523,0.26408297,0.26882446,0.26976272,0.24131317,0.24741916,0.31412962,0.25937313,0.25253817,0.24331123,0.2045946,river_or_waterfront,0.31412962,river_or_waterfront; road_oriented; suburban_peripheral
2756,신중동,7호선,High Priority Hidden Demand,0.7516667150055841,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.2725888,0.2923153,0.2515489,0.26755625,0.29039147,0.2725695,0.28502646,0.28972027,0.26583654,0.2685288,0.2970286,0.25851035,0.27681774,0.2550093,0.23708093,river_or_waterfront,0.2970286,river_or_waterfront; low_density_residential; suburban_peripheral
2749,철산,7호선,Already Captured Core Demand,0.7416891889187672,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26447093,0.28496787,0.24650982,0.27109018,0.2885185,0.24758255,0.27125564,0.27342424,0.2528823,0.27631274,0.28769815,0.26507384,0.27920517,0.24930751,0.22422667,suburban_peripheral,0.2885185,suburban_peripheral; river_or_waterfront; low_density_residential
4109,등촌,9호선,High Priority Hidden Demand,0.7411607108302896,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26067856,0.28208783,0.23681772,0.26197785,0.28475726,0.2432426,0.2735783,0.26864076,0.25663236,0.25981247,0.29978544,0.25332075,0.27826786,0.2498343,0.21402997,river_or_waterfront,0.29978544,river_or_waterfront; suburban_peripheral; low_density_residential
338,일원,3호선,High Priority Hidden Demand,0.7310476964866612,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26408342,0.28048927,0.2359401,0.26821256,0.2882361,0.24476686,0.26883894,0.27295023,0.2538389,0.28329796,0.2862925,0.26277238,0.27955958,0.24878854,0.2223913,suburban_peripheral,0.2882361,suburban_peripheral; river_or_waterfront; green_mountain_area
333,매봉,3호선,Morphology-Supported Hidden Demand,0.730270676986447,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.280697,0.2961756,0.25302055,0.28335822,0.3013569,0.26444975,0.28268257,0.2903711,0.26876706,0.28203896,0.30983597,0.27030802,0.28770804,0.25764218,0.23668295,river_or_waterfront,0.30983597,river_or_waterfront; suburban_peripheral; low_density_residential
2825,신흥,8호선,High Priority Hidden Demand,0.7284037440857478,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2692712,0.2852109,0.24951135,0.27939948,0.2877302,0.2641952,0.28115147,0.28528264,0.2561304,0.27499312,0.29207763,0.26747483,0.283971,0.25843802,0.22694439,river_or_waterfront,0.29207763,river_or_waterfront; suburban_peripheral; road_oriented
