station_id,station_name,nn_overlap_pca4
2519,까치산,0.0
2629,삼각지,0.0
2556,올림픽공원(한국체대),0.0
216,잠실(송파구청),0.0
243,충정로(경기대입구),0.0
221,역삼,0.0
2553,고덕,0.0
4129,봉은사,0.0
211,성수,0.0
2626,대흥(서강대앞),0.0
2757,부천시청,0.0
248,양천구청,0.0
2538,청구,0.0
2716,중계,0.0
2611,응암,0.0
314,홍제,0.0
414,수유(강북구청),0.0
423,충무로,0.0
2542,마장,0.0
2512,개화산,0.0
340,가락시장,0.0
155,동대문,0.0
429,신용산,0.0
4706,삼양,0.0
226,사당,0.0
311,연신내,0.0
325,옥수,0.0
4133,석촌,0.0
2712,도봉산,0.0
2732,강남구청,0.0
2545,군자(능동),0.0
225,방배,0.0
2728,어린이대공원(세종대),0.0
4135,한성백제,0.0
244,용답,0.0
2524,영등포구청,0.0
245,신답,0.0
2625,광흥창(서강),0.0
2633,버티고개,0.0
238,합정,0.0
2643,상월곡(한국과학기술연구원),0.0
330,교대(법원.검찰청),0.0
426,서울역,0.0
329,고속터미널,0.0
2514,송정,0.0
2719,태릉입구,0.0
321,충무로,0.0
2718,공릉(서울과학기술대),0.0
202,을지로입구,0.0
2642,월곡(동덕여대),0.0
411,노원,0.0
2756,신중동,0.0
2811,암사,0.0
2729,건대입구,0.0
415,미아(서울사이버대학),0.0
4132,석촌고분,0.0
2622,망원,0.0
2813,강동구청,0.0
4128,삼성중앙,0.0
2555,둔촌동,0.0
250,용두(동대문구청),0.0
2532,충정로(경기대입구),0.0
236,영등포구청,0.0
339,수서,0.0
2759,삼산체육관,0.0
418,성신여대입구(돈암),0.0
239,홍대입구,0.0
2720,먹골,0.0
322,동대입구,0.0
4711,성신여대입구(돈암),0.0
224,서초,0.0
2715,노원,0.0
212,건대입구,0.0
4117,노량진,0.0
2628,효창공원앞,0.0
246,신설동,0.0
312,불광,0.0
2742,장승배기,0.0
228,서울대입구(관악구청),0.0
2726,중곡,0.0
4138,중앙보훈병원,0.0
2632,한강진,0.0
4710,정릉,0.0
2547,광나루(장신대),0.0
2723,면목,0.0
2641,고려대(종암),0.0
2748,가산디지털단지,0.0
2746,대림(구로구청),0.0
2730,뚝섬유원지,0.0
4122,신반포,0.0
223,교대(법원.검찰청),0.0
2520,신정(은행정),0.0
316,독립문,0.0
332,양재(서초구청),0.0
4708,솔샘,0.0
219,삼성(무역센터),0.0
2530,공덕,0.0
209,한양대,0.0
2814,몽촌토성(평화의문),0.0
