priority_rank,nearest_station,nearest_line,reconstruction_label,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_observed_subway_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score
1,마천,5호선,High Priority Hidden Demand,1.0,1.0,0.0734621158956868,1.0,0.6678655640485258,0.0906336817226091
2,단대오거리,8호선,High Priority Hidden Demand,0.9212346761137288,0.796494601645585,0.1139176983972931,0.9602055102487024,0.7660305664580683,0.208365751454968
3,신정네거리,2호선,High Priority Hidden Demand,0.8756569727643005,0.6826106985422558,0.1049949323378971,0.8555770440508486,0.6555475949002469,0.4743059692884956
4,까치산,5호선,Potential Hidden Demand,0.8543343788529321,0.956395573320638,0.3218748880992721,0.7948130384743927,1.0,0.5747395919767537
5,부천시청,7호선,High Priority Hidden Demand,0.8509471495617229,0.5224895335679764,0.0692149270924231,0.8582106103542266,0.5256877342459401,0.7432958316429825
