station_id,station_name,mobility_visual_cluster,mobility_visual_pca_x,mobility_visual_pca_y
2519,까치산,0,-3.184058921312744,-6.417024471211634
2824,단대오거리,1,-21.864345169158298,-6.0330882439577564
2561,마천,1,-29.411625622726106,4.220031719691365
249,신정네거리,4,-8.033704827110911,-2.685861529440752
2716,중계,1,-12.679966318146999,-5.823113272787532
2611,응암,1,-12.642823000777494,0.2931432343256801
314,홍제,1,-31.556229376605835,-5.347550072289938
2560,거여,2,-7.449901571556373,10.393841548211864
4107,가양,2,-5.463437652623266,28.740937597274474
2823,남한산성입구(성남법원.검찰청),1,-32.310148360652164,-1.7704430390716837
2820,장지,3,-2.979936129770126,7.403988377316192
213,구의(광진구청),2,2.8244030917547893,15.892569995874885
2750,광명사거리,1,-27.819310557072978,-4.014379351993044
2749,철산,1,-21.53445883016214,-0.9757143860518803
2757,부천시청,0,4.762087346751538,4.6337493087589925
248,양천구청,4,-3.4951215835050626,3.166338495925104
4709,북한산보국문,1,-30.271902760891326,-3.5368441592052573
410,상계,1,-26.20563270491059,-10.177050626674601
211,성수,0,7.056880626571484,10.391254288568078
2518,화곡,4,-11.501411493221063,-8.965322806327693
2626,대흥(서강대앞),4,2.802155919266072,-5.485139353880301
310,구파발,1,-26.454744101637363,-1.5383968213846768
2517,우장산,1,-11.341784658330752,-0.8037234809984722
333,매봉,0,4.619008816115169,1.4091955763823372
2544,장한평,0,5.698217494803673,10.744964278098951
413,쌍문,0,-4.318390650339939,-6.272946350756951
4109,등촌,2,-13.418257020734114,9.35568772414863
2739,남성,4,-10.820882817208323,-3.81267559180242
2826,수진,1,-13.234537255840484,5.958761053787227
221,역삼,0,8.180147970915447,-5.616519344903524
2553,고덕,2,-9.628234416718279,19.0727496941023
4129,봉은사,2,6.913028383023597,21.325074319817965
2516,발산,0,3.502297385116556,-3.1792533284695668
2617,새절(신사),1,-21.87631056767228,-10.140881908226179
2522,오목교(목동운동장앞),0,2.0320806473334456,2.625302756629361
424,명동,4,-7.455373039499342,-3.5850520844733826
2554,상일동,2,-9.821924487687104,24.698540348611594
2525,영등포시장,0,12.01287833375533,-4.809598612395436
326,압구정,2,4.944329886947914,21.748164037309124
416,미아사거리,1,-15.475365642192642,-10.039824740691804
2819,문정,3,1.367053671698437,4.4809470327706515
341,경찰병원,3,5.111535093064434,-2.432068738145413
2815,잠실(송파구청),3,13.728722240407507,6.006560190679105
2740,숭실대입구(살피재),1,-14.542886742936915,-5.854033235503343
231,신대방,4,-6.897637398869034,-0.4128620867828333
331,남부터미널(예술의전당),1,-10.802299550104028,-0.6664051059395607
4114,국회의사당,2,5.646940208644931,26.693769136543278
2616,구산,1,-26.065298448729713,-5.755283121991023
2551,굽은다리(강동구민회관앞),0,-2.7030134101831043,-6.506623708525778
2546,아차산(어린이대공원후문),1,-20.787567663418347,-10.521513105736485
2618,증산(명지대앞),1,-15.684286817754472,-11.909594932455487
318,안국,1,-20.131861013471294,-7.094097071566878
2550,길동,3,3.64367269649035,-6.073802399340246
327,신사,0,4.21141353358561,1.8826006304799618
154,종로5가,5,10.540705388623834,-8.21583822540753
2528,여의나루,2,1.0189194432061173,28.045983169091397
225,방배,4,-12.582944677621441,-6.39902364677949
2747,남구로,0,1.6218980594189418,-5.920725299497315
417,길음,4,-4.157343842753698,-6.96334634226867
2825,신흥,1,-14.154624128703098,2.8461325461645046
2728,어린이대공원(세종대),0,-0.3894727888739715,1.6845064760650172
317,경복궁(정부서울청사),1,-18.826774375167467,-5.546811755581506
4110,염창,2,-7.2902237973952975,20.94270866251142
313,녹번,1,-30.628312673188308,-7.3923184378899665
4132,석촌고분,0,6.897311252263287,5.627883130984268
2717,하계,1,-21.80439673783331,-1.0244625937895595
2622,망원,2,2.496340007804831,14.257555477077585
2813,강동구청,2,1.7671603549925097,22.413581083265253
428,삼각지,3,5.555535743481025,-7.269699326630576
2624,상수,2,1.5512527147361967,23.966311930186926
2534,광화문(세종문화회관),5,9.661540807804462,-9.762781568015058
2725,용마산,1,-20.883560406114377,-1.266150382355104
412,창동,0,5.138700581798236,-0.012869767638408587
2549,강동,0,10.357793883446949,-7.99915482028035
419,한성대입구(삼선교),1,-24.396790748302383,-11.966547398623776
2515,마곡,3,6.903416527398966,1.8093642779835355
2729,건대입구,0,12.44008422532885,-0.9819115207892694
338,일원,1,-19.762871683634145,-0.00987024787734149
4111,신목동,2,-0.733115429226969,31.156418500562772
415,미아(서울사이버대학),1,-14.965784703291277,-4.417968591016169
202,을지로입구,0,13.861061070172566,-10.591879296009148
2642,월곡(동덕여대),4,-12.391137525504154,-5.604415661676242
411,노원,0,3.748471982066882,-10.16076744111921
2543,답십리,0,0.12272053277059808,-3.5810571845545818
2756,신중동,0,3.8365135840267373,1.2096251088320964
152,종각,5,15.934499161471724,-6.994198241466952
2733,학동,0,12.151120376919337,-9.227226320578902
2811,암사,2,-18.613010022977917,20.966459546662207
2521,목동,0,4.997157830276994,-5.528526779325186
2529,마포,2,-1.0202265949406708,21.08016334863924
414,수유(강북구청),0,-5.763317427224777,-7.876833654167492
425,회현(남대문시장),4,-3.796028304005367,-8.09393865230721
229,봉천,4,-1.978842172436667,-5.457312217094098
215,잠실나루,2,4.550332926473686,26.744345545550217
2718,공릉(서울과학기술대),4,-8.869738260070312,-5.530418763537934
2714,마들,4,-5.20109901324527,1.3562976726828608
2557,방이,3,2.6488206657115585,1.1069345923296243
4106,양천향교,2,-8.79403505765925,29.11349050449802
2640,안암(고대병원앞),4,-0.8359658859423609,-10.233260053569946
2641,고려대(종암),4,-7.314141186555965,-8.880834262181532
2748,가산디지털단지,0,5.553882144250793,2.1478704698239306
