condition,n,spearman_with_mobility_minus_subway_gap,pearson_with_mobility_minus_subway_gap,spearman_with_hidden_demand_reconstruction_score_norm,pearson_with_hidden_demand_reconstruction_score_norm,top10_overlap_gap,top10_overlap_reference,top20_overlap_gap,top20_overlap_reference,label_accuracy_top20pct_gap,unsupported_visual_reasoning_rate,visual_primary_rate,uses_visual_reasoning_rate,uses_mobility_subway_reasoning_rate,uses_temporal_reasoning_rate,valid_corr_n_gap,valid_corr_n_reference
tabular_only,327,0.8064390337703465,0.6863209902309938,0.6572492279858855,0.5588794723342176,0.3,0.1,0.25,0.25,0.8625,0.20625,0.0,0.3058103975535168,0.4892966360856269,0.4831804281345566,160,160
structured_multimodal,327,0.6854480688420823,0.5872851494272185,0.5805098828297399,0.4872229414948983,0.2,0.2,0.25,0.2,0.8136645962732919,0.39751552795031053,0.0,0.43730886850152906,0.4923547400611621,0.48623853211009177,161,161
