station_id,station_name,station_line,map_image_path,satellite_image_path,mobility_score,observed_subway_score,hidden_gap_score,temporal_score,visual_morphology_score,mobility_minus_subway_gap,hidden_demand_reconstruction_score_norm,station_type
2519,까치산,5호선,images/station_tiles/map/2519_까치산.png,images/station_tiles/satellite/2519_까치산.png,1.0,0.3218748880992721,1.0,0.9032435671534366,0.7663288911823026,0.6781251119007279,0.9611539896281076,diverse_living_area_hidden
2824,단대오거리,8호선,images/station_tiles/map/2824_단대오거리.png,images/station_tiles/satellite/2824_단대오거리.png,0.7309191035312452,0.1139176983972931,0.9550663589599737,0.65646565240817,1.0,0.6170014051339521,1.0,diverse_living_area_hidden
2561,마천,5호선,images/station_tiles/map/2561_마천.png,images/station_tiles/satellite/2561_마천.png,0.6864666466682824,0.0734621158956868,0.9379351142585681,0.2378030044256104,0.7538110907737865,0.6130045307725955,0.9278752894938032,diverse_living_area_hidden
249,신정네거리,2호선,images/station_tiles/map/249_신정네거리.png,images/station_tiles/satellite/249_신정네거리.png,0.6475210272049827,0.1049949323378971,0.8546130951290728,0.856763475944789,0.6484751078482704,0.5425260948670856,0.9618083189251768,diverse_living_area_hidden
2716,중계,7호선,images/station_tiles/map/2716_중계.png,images/station_tiles/satellite/2716_중계.png,0.6584275740169632,0.1608289997178794,0.8147955535114167,0.8582414089133855,0.44110631885840973,0.4975985742990838,0.8981809838552152,diverse_living_area_hidden
2611,응암,6호선,images/station_tiles/map/2611_응암.png,images/station_tiles/satellite/2611_응암.png,0.651248672119426,0.1957095694151015,0.7724136235695923,0.794116611063808,0.5418649006980804,0.4555391027043245,0.857921342251059,diverse_living_area_hidden
314,홍제,3호선,images/station_tiles/map/314_홍제.png,images/station_tiles/satellite/314_홍제.png,0.6450835753648976,0.1995188421278143,0.7614778427612868,0.7562587876760914,0.5705153032180791,0.4455647332370832,0.8469487366192608,diverse_living_area_hidden
2560,거여,5호선,images/station_tiles/map/2560_거여.png,images/station_tiles/satellite/2560_거여.png,0.5673544385665344,0.1011902519686731,0.7519905855471304,0.8416292658676787,0.4696392469905276,0.4661641865978613,0.9001256424227623,diverse_living_area_hidden
4107,가양,9호선,images/station_tiles/map/4107_가양.png,images/station_tiles/satellite/4107_가양.png,0.5739929882339125,0.1213440070458939,0.7437305744536337,0.6397829916271444,0.6056250356186822,0.4526489811880185,0.8641329540433417,directional_mismatch
2823,남한산성입구(성남법원.검찰청),8호선,images/station_tiles/map/2823_남한산성입구(성남법원.검찰청).png,images/station_tiles/satellite/2823_남한산성입구(성남법원.검찰청).png,0.5795568043245648,0.1342525375927535,0.7399074652441086,0.19199262144355816,0.6314644199063444,0.4453042667318112,0.7871944621622622,diverse_living_area_hidden
2820,장지,8호선,images/station_tiles/map/2820_장지.png,images/station_tiles/satellite/2820_장지.png,0.6067313674647434,0.1903457675347834,0.7244129601104524,0.865272681537551,0.5851250105372501,0.41638559992996,0.851574455685789,diverse_living_area_hidden
213,구의(광진구청),2호선,images/station_tiles/map/213_구의(광진구청).png,images/station_tiles/satellite/213_구의(광진구청).png,0.6854257456276165,0.2838352372032747,0.7238749279705647,0.8624694511127644,0.4663698288552105,0.4015905084243417,0.7962987099644105,diverse_living_area_hidden
2750,광명사거리,7호선,images/station_tiles/map/2750_광명사거리.png,images/station_tiles/satellite/2750_광명사거리.png,0.6379630969398088,0.2334744872953647,0.721127976809111,0.6027487394039465,0.5526513691181181,0.4044886096444441,0.7845623645597426,diverse_living_area_hidden
2749,철산,7호선,images/station_tiles/map/2749_철산.png,images/station_tiles/satellite/2749_철산.png,0.6196110611241834,0.2269933913534385,0.7063054245211593,0.629801531517469,0.5650008944396624,0.3926176697707448,0.7854719623743635,diverse_living_area_hidden
2757,부천시청,7호선,images/station_tiles/map/2757_부천시청.png,images/station_tiles/satellite/2757_부천시청.png,0.5128370185166942,0.0692149270924231,0.7039129406840848,0.7620702897152126,0.6448172805154236,0.443622091424271,0.8978011544139004,diverse_living_area_hidden
248,양천구청,2호선,images/station_tiles/map/248_양천구청.png,images/station_tiles/satellite/248_양천구청.png,0.506455732270834,0.0736025351565128,0.691877204069441,0.8013869309406345,0.3794171969758474,0.4328531971143211,0.8751543292994656,mobility_high_subway_low
4709,북한산보국문,우이신설선,images/station_tiles/map/4709_북한산보국문.png,images/station_tiles/satellite/4709_북한산보국문.png,0.4700721591271928,0.036830423919633,0.6676632295251166,0.3711787009991147,0.41494276968161775,0.4332417352075597,0.8218382126583875,directional_mismatch
410,상계,4호선,images/station_tiles/map/410_상계.png,images/station_tiles/satellite/410_상계.png,0.5652753941094445,0.2197642154410083,0.6503933903563234,0.43858476913992883,0.4371141996067551,0.3455111786684361,0.7211325476125309,diverse_living_area_hidden
211,성수,2호선,images/station_tiles/map/211_성수.png,images/station_tiles/satellite/211_성수.png,0.7366494455108651,0.4042989229785536,0.647111956742156,0.8705981276802599,0.4914938124167623,0.3323505225323114,0.7083039975070724,diverse_living_area_hidden
2518,화곡,5호선,images/station_tiles/map/2518_화곡.png,images/station_tiles/satellite/2518_화곡.png,0.6516337135196727,0.3275755142819012,0.6461557860051436,0.8819234622550212,0.48765056390762695,0.3240581992377714,0.7396850910202871,diverse_living_area_hidden
2626,대흥(서강대앞),6호선,images/station_tiles/map/2626_대흥(서강대앞).png,images/station_tiles/satellite/2626_대흥(서강대앞).png,0.4821722835165388,0.1031315840504503,0.6377069430744836,0.9121319444750491,0.3558210328624845,0.3790406994660885,0.8483881098199926,mobility_high_subway_low
310,구파발,3호선,images/station_tiles/map/310_구파발.png,images/station_tiles/satellite/310_구파발.png,0.551537790886734,0.219746460674051,0.6346016477773316,0.3369471325889044,0.45601981016331883,0.331791330212683,0.6987953492913818,diverse_living_area_hidden
2517,우장산,5호선,images/station_tiles/map/2517_우장산.png,images/station_tiles/satellite/2517_우장산.png,0.5161479794759287,0.168793734827051,0.6326641305086436,0.672374947027141,0.4621007367725749,0.3473542446488776,0.7787867126394091,diverse_living_area_hidden
333,매봉,3호선,images/station_tiles/map/333_매봉.png,images/station_tiles/satellite/333_매봉.png,0.4864262134837933,0.1220577968627673,0.6297570964931035,0.9369322235356707,0.4412631828305598,0.3643684166210259,0.8440886377166247,diverse_living_area_hidden
2544,장한평,5호선,images/station_tiles/map/2544_장한평.png,images/station_tiles/satellite/2544_장한평.png,0.5420922773703547,0.2124568123498766,0.6295609359224876,0.8090543367721974,0.5253614043223708,0.3296354650204781,0.7794893226675912,diverse_living_area_hidden
413,쌍문,4호선,images/station_tiles/map/413_쌍문.png,images/station_tiles/satellite/413_쌍문.png,0.6489432286861445,0.3479715560422194,0.6239695834757816,0.9101555274049988,0.41462150531260433,0.3009716726439251,0.7171438900624773,mobility_high_subway_low
4109,등촌,9호선,images/station_tiles/map/4109_등촌.png,images/station_tiles/satellite/4109_등촌.png,0.4506657740024357,0.0632599359699725,0.6225351024266211,0.8334506007505139,0.4660341163997219,0.3874058380324631,0.8618345234085004,directional_mismatch
2739,남성,7호선,images/station_tiles/map/2739_남성.png,images/station_tiles/satellite/2739_남성.png,0.4830228675914082,0.1262277000652505,0.622380729646549,0.8207773192466971,0.32653940002848464,0.3567951675261577,0.8110325274860993,mobility_high_subway_low
2826,수진,8호선,images/station_tiles/map/2826_수진.png,images/station_tiles/satellite/2826_수진.png,0.4434031002773647,0.0498224193260308,0.6212890183405572,0.6353263530746692,0.49470570957113685,0.3935806809513338,0.840787659844052,diverse_living_area_hidden
221,역삼,2호선,images/station_tiles/map/221_역삼.png,images/station_tiles/satellite/221_역삼.png,0.8712475890568503,0.5206215822465419,0.6159000505716852,0.9635893193547715,0.5035213723391174,0.3506260068103084,0.6740690885098739,diverse_living_area_hidden
2553,고덕,5호선,images/station_tiles/map/2553_고덕.png,images/station_tiles/satellite/2553_고덕.png,0.4723292315172559,0.1179085985408317,0.6143962912852291,0.5946485800595483,0.3730262227430271,0.3544206329764241,0.7804665678684555,mobility_high_subway_low
4129,봉은사,9호선(연장),images/station_tiles/map/4129_봉은사.png,images/station_tiles/satellite/4129_봉은사.png,0.4964111304340277,0.1662446129681263,0.6103378962354991,0.7758814272655197,0.22790412801575088,0.3301665174659014,0.7673381270724874,directional_mismatch
2516,발산,5호선,images/station_tiles/map/2516_발산.png,images/station_tiles/satellite/2516_발산.png,0.518034333510175,0.2106432447708373,0.6030065741862033,0.9289438404775887,0.3918940599321973,0.3073910887393377,0.7755616568503978,mobility_high_subway_low
2617,새절(신사),6호선,images/station_tiles/map/2617_새절(신사).png,images/station_tiles/satellite/2617_새절(신사).png,0.4752517849972031,0.1425699784490637,0.6009144051753194,0.7639124320079944,0.40970385115715,0.3326818065481394,0.7889196391790188,normal
