STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
2824,808,0.9630512514898689,0.03694874851013108,6.488918781280518,334174,0.09284675,2824.0,6257275.35,0.013714766493506884,0.8129123,0.72006553,0.3664717974202662
2519,810,0.965435041716329,0.03456495828367101,6.483782768249512,936465,0.2601895,2519.0,7332156.83,0.062277366446849884,0.95258343,0.6923939,0.4314643297822503
2561,788,0.9392133492252682,0.060786650774731776,6.5186686515808105,171674,0.04769715,2561.0,4978383.49,0.014488701404802132,0.64673185,0.5990347,0.3408506392432102
221,820,0.9773539928486293,0.022646007151370662,6.362265586853027,1561870,0.43395433,221.0,7697065.74,0.014618595582100803,1.0,0.56604564,0.3188647121889609
249,808,0.9630512514898689,0.03694874851013108,6.49571418762207,291487,0.08098643,249.0,4890708.17,0.06972926180345893,0.6353392,0.55435276,0.40394780307380646
2560,786,0.9368295589988082,0.06317044100119185,6.490000247955322,219397,0.060956683,2560.0,4405141.47,0.04460767534702063,0.5722442,0.51128757,0.36218548582975574
211,817,0.9737783075089392,0.026221692491060766,6.343725204467773,922036,0.2561805,211.0,5903411.87,0.03264441495041462,0.76693094,0.5107504,0.33155177531258473
4107,805,0.9594755661501788,0.040524433849821184,6.433530330657959,173937,0.048325907,4107.0,4284117.03,0.023732450794288783,0.5565182,0.5081923,0.32205442696762404
2820,809,0.964243146603099,0.035756853396901045,6.484097003936768,491662,0.13660379,2820.0,4926749.29,0.08140106754561796,0.64002246,0.5034187,0.40665052240928296
2611,809,0.964243146603099,0.035756853396901045,6.496059417724609,551665,0.15327525,2611.0,5049989.01,0.04001267209267071,0.6560363,0.50276107,0.3436236769541133
2757,805,0.9594755661501788,0.040524433849821184,6.478736400604248,358346,0.09956279,2757.0,4412203.51,0.07056514095340692,0.57316184,0.47359905,0.3832282459731134
248,808,0.9630512514898689,0.03694874851013108,6.499302387237549,215186,0.05978668,248.0,4020671.88,0.09315864444666042,0.5222859,0.4624992,0.4131527967191566
314,810,0.965435041716329,0.03456495828367101,6.5016303062438965,607551,0.16880283,314.0,4838781.76,0.060045922335437985,0.6285919,0.45978907,0.361306752188129
2823,804,0.9582836710369488,0.04171632896305122,6.469139099121094,371418,0.10319476,2823.0,4306780.12,0.01437935323255841,0.559463,0.45626825,0.29334643456817006
2819,809,0.964243146603099,0.035756853396901045,6.366457939147949,320144,0.0889486,2819.0,4194157.64,0.03431041202319463,0.5448288,0.45588017,0.3215089430991837
2516,811,0.966626936829559,0.033373063170440975,6.501707553863525,403320,0.11205853,2516.0,4353673.5600000005,0.08647346014333,0.5655564,0.4534979,0.39922723351701367
2749,814,0.9702026221692491,0.02979737783075087,6.476302146911621,739607,0.20549375,2749.0,4987831.09,0.0655383263925969,0.6479595,0.44246572,0.3630837012151901
4109,790,0.9415971394517283,0.05840286054827171,6.40256404876709,79476,0.022080516,4109.0,3535063.1,0.08126476607239985,0.45918536,0.43710485,0.39495672596367665
213,816,0.9725864123957092,0.0274135876042908,6.484467506408691,822495,0.22852366,213.0,5115434.17,0.02553817543007918,0.6645403,0.43601662,0.29970749578023176
2826,801,0.9547079856972587,0.045292014302741324,6.528688430786133,131311,0.036482543,2826.0,3579207.36,0.008606112418662302,0.4649215,0.42843896,0.27778463253442803
4129,796,0.9487485101311085,0.0512514898688915,6.439192771911621,280282,0.07787319,4129.0,3757660.85,0.06847663952011857,0.48810992,0.41023672,0.36544476580326163
2750,811,0.966626936829559,0.033373063170440975,6.494489669799805,805544,0.22381392,2750.0,4853303.45,0.03996308633286505,0.6304788,0.40666488,0.3151691822090175
2544,807,0.9618593563766389,0.038140643623361115,6.419717311859131,615605,0.17104058,2544.0,4435925.02,0.011677282523432652,0.57624424,0.40520364,0.2733938980390261
2517,794,0.9463647199046484,0.05363528009535157,6.488023281097412,500738,0.13912551,2517.0,4121516.84,0.06300512352530692,0.5353897,0.3962642,0.35392137724916567
4114,782,0.932061978545888,0.06793802145411199,5.979718208312988,143885,0.03997615,4114.0,3336700.0,0.006678188270953412,0.43340987,0.39343372,0.27235789382056935
2553,796,0.9487485101311085,0.0512514898688915,6.49260950088501,281134,0.07810992,2553.0,3612072.17,0.02898883694795192,0.469192,0.39108208,0.29999389381909775
2518,811,0.966626936829559,0.033373063170440975,6.472657203674316,940444,0.26129505,2518.0,5016207.02,0.03526774886951305,0.6516467,0.39035162,0.3033577122170157
2626,806,0.9606674612634089,0.03933253873659115,6.478356838226318,265434,0.07374777,2626.0,3558384.85,0.042276730221191265,0.4622158,0.38846803,0.31544491645121886
2515,807,0.9618593563766389,0.038140643623361115,6.454587459564209,145781,0.040502943,2515.0,3189721.63,0.06594067954941828,0.41431138,0.37380844,0.3467674516925842
2525,791,0.9427890345649583,0.05721096543504167,6.463125228881836,298843,0.08303025,2525.0,3508678.71,0.019036033979931987,0.45575696,0.3727267,0.2816005592479751
