station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank,STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
150,0.1661297454143919,0.09309492544049307,122.0,114.0,150,817,0.9737783075089392,0.026221692491060766,6.517888069152832,1240576,0.3446848,150.0,180320.64,0.021055714975162895,0.023266902,-0.3214179,0.07508149740712056
151,0.12688573559834845,0.07505214237497145,267.0,195.0,151,817,0.9737783075089392,0.026221692491060766,6.439513683319092,400845,0.11137086,151.0,1114200.62,0.011399066491619493,0.14461617,0.03324531,0.1622270916662237
152,0.13686143574970108,0.06834017731958912,226.0,248.0,152,816,0.9725864123957092,0.0274135876042908,6.451911926269531,925703,0.25719935,152.0,3374631.1100000003,0.020339860988546787,0.43833867,0.18113932,0.21865206322217204
153,0.12170978066703632,0.07382321660998205,280.0,202.0,153,815,0.9713945172824792,0.028605482717520836,6.464125633239746,847850,0.23556839,153.0,1431272.6,0.012730487494816721,0.18581681,-0.04975158,0.14121867939504215
154,0.14185284097043302,0.08330753649185815,205.0,158.0,154,815,0.9713945172824792,0.028605482717520836,6.415229797363281,570022,0.15837562,154.0,3405641.14,0.023022655193379427,0.44236815,0.28399253,0.25264676883491105
155,0.21135260679773865,0.12269770467195602,30.0,38.0,155,817,0.9737783075089392,0.026221692491060766,6.5412116050720215,374282,0.1039905,155.0,1067277.13,0.01931454047600311,0.13851888,0.034528382,0.17461308586216182
156,0.1785812690735809,0.10930542870542956,93.0,68.0,156,814,0.9702026221692491,0.02979737783075087,6.483095169067383,379705,0.10549725,156.0,672699.35,0.015317882493484748,0.087247066,-0.018250182,0.15458684998949604
157,0.204520515997022,0.13773186560350636,40.0,16.0,157,812,0.9678188319427891,0.03218116805721094,6.390804290771484,494651,0.13743427,157.0,1750798.0999999999,0.0682284559433261,0.22733627,0.089902,0.2667584202215697
158,0.19476574618546738,0.1071606437217385,54.0,72.0,158,813,0.9690107270560191,0.030989272943980906,6.503013610839844,660340,0.1834699,158.0,1908428.01,0.007946229273869674,0.24781884,0.064348936,0.1675023618015473
159,0.2209704321217797,0.12330974059600741,20.0,36.0,159,814,0.9702026221692491,0.02979737783075087,6.423712253570557,233747,0.06494374,159.0,1077753.94,0.003977014295759637,0.13988027,0.07493653,0.1641179692069713
201,0.15179898845445775,0.07063568103282403,169.0,229.0,201,814,0.9702026221692491,0.02979737783075087,6.332039833068848,787212,0.2187205,201.0,1866746.33,0.02757973653593136,0.24240269,0.023682192,0.18524022487998246
202,0.1440053641382191,0.06456679264526989,198.0,272.0,202,819,0.9761620977353993,0.023837902264600697,6.449498176574707,1628881,0.4525729,202.0,5125343.04,0.012733483839976936,0.6658279,0.21325496,0.21513062984307796
203,0.1333202583294007,0.06584697511409301,244.0,265.0,203,810,0.965435041716329,0.03456495828367101,6.388672351837158,671141,0.1864709,203.0,1309891.31,0.030946023123068222,0.1700444,-0.016426489,0.18042701524806296
204,0.13041383206016485,0.07886877608788566,258.0,177.0,204,810,0.965435041716329,0.03456495828367101,6.389983177185059,408792,0.113578886,204.0,832209.99,0.012381519625017568,0.10797403,-0.0056048557,0.15534776367060618
205,0.15968908538066198,0.08970664100876698,139.0,128.0,205,815,0.9713945172824792,0.028605482717520836,6.544003963470459,587750,0.16330124,205.0,920816.24,0.01992618152941159,0.11948761,-0.04381363,0.15384807164144743
206,0.1927382451548641,0.14459838065843544,61.0,12.0,206,810,0.965435041716329,0.03456495828367101,6.519913673400879,492665,0.13688247,206.0,1719679.59,0.025451536369819686,0.2232927,0.086410224,0.20160448841564135
207,0.13738382330666932,0.07915191912047918,223.0,175.0,207,809,0.964243146603099,0.035756853396901045,6.483401298522949,367153,0.10200975,207.0,2394614.59,0.08430107807573296,0.31099436,0.20898461,0.32653555180470434
208,0.1738245178250567,0.10513890012100875,100.0,79.0,208,815,0.9713945172824792,0.028605482717520836,6.527463436126709,539666,0.1499414,208.0,1209206.95,0.02189319507370991,0.1569614,0.0070199966,0.1714264002906504
209,0.1862100958232841,0.08687243629468698,80.0,139.0,209,806,0.9606674612634089,0.03933253873659115,6.453526973724365,269416,0.07485414,209.0,1288849.94,0.11381522284145358,0.16731028,0.09245614,0.3390876551113955
210,0.16044609291212888,0.09447059899435513,138.0,110.0,210,814,0.9702026221692491,0.02979737783075087,6.4011006355285645,536347,0.14901924,210.0,1930337.38,0.02725099825361751,0.25066575,0.10164651,0.20712093103130894
211,0.15916264621570472,0.09128725318725979,143.0,124.0,211,817,0.9737783075089392,0.026221692491060766,6.343725204467773,922036,0.2561805,211.0,5903411.87,0.03264441495041462,0.76693094,0.5107504,0.33155177531258473
212,0.14096128387406232,0.09324398451662134,208.0,113.0,212,819,0.9761620977353993,0.023837902264600697,6.526277542114258,1598195,0.444047,212.0,2699850.39,0.025077046850751364,0.35065702,-0.09338999,0.14584820241292507
213,0.13013635876307653,0.07375376533443431,259.0,204.0,213,816,0.9725864123957092,0.0274135876042908,6.484467506408691,822495,0.22852366,213.0,5115434.17,0.02553817543007918,0.6645403,0.43601662,0.29970749578023176
214,0.15067969402150497,0.09002242943286777,172.0,127.0,214,816,0.9725864123957092,0.0274135876042908,6.534555912017822,1604135,0.4456974,214.0,3015636.66,0.01941306007207294,0.3916906,-0.054006785,0.1497457609687668
215,0.15497559925156937,0.08708484903798396,157.0,137.0,215,810,0.965435041716329,0.03456495828367101,6.468648910522461,572647,0.15910496,215.0,3239361.31,0.05234101661119671,0.4207616,0.26165664,0.2927343948911853
216,0.24695415589071448,0.21063842305189212,4.0,1.0,216,817,0.9737783075089392,0.026221692491060766,6.511069297790527,2818996,0.7832388,216.0,5565619.7,0.14157823465551558,0.72303784,-0.06020099,0.33304810521618733
217,0.14776377511166386,0.09104737894025648,183.0,126.0,217,813,0.9690107270560191,0.030989272943980906,6.510327339172363,903229,0.25095508,217.0,3130124.62,0.01956624464840209,0.40656725,0.15561217,0.21134179534244782
218,0.20214038413491037,0.09753479554007452,45.0,102.0,218,815,0.9713945172824792,0.028605482717520836,6.476078987121582,404820,0.11247529,218.0,573812.19,0.07353471182292731,0.07439757,-0.03807772,0.23688592239888737
219,0.13634879204134143,0.07923913302106993,230.0,173.0,219,819,0.9761620977353993,0.023837902264600697,6.443714141845703,1854479,0.5152539,219.0,3980577.13,0.03925181711210096,0.5170759,0.0018219948,0.19469990104993373
220,0.1546263996156908,0.08369626657120768,158.0,156.0,220,820,0.9773539928486293,0.022646007151370662,6.408797264099121,1656037,0.46011803,220.0,3282931.49,0.02685651411906552,0.42642313,-0.033694893,0.16528818415634017
221,0.1359450251603174,0.07236033752412788,231.0,216.0,221,820,0.9773539928486293,0.022646007151370662,6.362265586853027,1561870,0.43395433,221.0,7697065.74,0.014618595582100803,1.0,0.56604564,0.3188647121889609
222,0.1504862252445448,0.08489349379337263,174.0,149.0,222,818,0.9749702026221693,0.02502979737783073,6.500871658325195,3599151,1.0,222.0,4301964.2299999995,0.05673771798622188,0.55883723,-0.44116277,0.09448550774741371
223,0.14965981328416436,0.0810439813527323,176.0,169.0,223,815,0.9713945172824792,0.028605482717520836,6.459560394287109,1283570,0.35663044,223.0,3036713.9499999997,0.011510893689328916,0.3944294,0.03779894,0.16449859092307317
224,0.1480959149521022,0.08295950016620317,181.0,159.0,224,814,0.9702026221692491,0.02979737783075087,6.455469608306885,733317,0.20374611,224.0,2233475.72,0.013747650165082337,0.29005584,0.08630973,0.18221698789000748
225,0.19412455173238868,0.12890626830788005,57.0,25.0,225,813,0.9690107270560191,0.030989272943980906,6.473757266998291,649540,0.1804692,225.0,2885769.6999999997,0.06982903868279387,0.37481555,0.19434635,0.29877219052839527
226,0.18804993369867878,0.13100755192073332,71.0,22.0,226,815,0.9713945172824792,0.028605482717520836,6.51633358001709,1476601,0.41026288,226.0,1962026.16,0.044249378653272234,0.25478342,-0.15547946,0.15872293933900425
227,0.1299780704849769,0.06845764668384892,260.0,246.0,227,816,0.9725864123957092,0.0274135876042908,6.492155075073242,979915,0.2722618,227.0,3177445.44,0.02595491397505182,0.41271618,0.14045438,0.21549843858822404
228,0.1624593497978316,0.0811818750493879,129.0,167.0,228,820,0.9773539928486293,0.022646007151370662,6.535771369934082,1704087,0.47346842,228.0,4975750.47,0.025603882646342873,0.6463897,0.1729213,0.22269599544040541
229,0.1184419327164217,0.061530665223235394,289.0,290.0,229,810,0.965435041716329,0.03456495828367101,6.501458644866943,714431,0.19849876,229.0,3175398.0100000002,0.02754796237494247,0.41245013,0.21395138,0.2413983647258309
230,0.12534690711588142,0.07387645572113494,271.0,200.0,230,820,0.9773539928486293,0.022646007151370662,6.511268615722656,2294860,0.637611,230.0,2221476.54,0.12813380170006664,0.28849664,-0.34911433,0.2285109749141552
231,0.10938801868330862,0.05776365139033821,304.0,301.0,231,815,0.9713945172824792,0.028605482717520836,6.512118339538574,841970,0.23393466,231.0,4217196.19,0.018468448891669154,0.5478224,0.31388777,0.25431380892467725
232,0.20318171432803542,0.14587955978580763,42.0,10.0,232,816,0.9725864123957092,0.0274135876042908,6.443497657775879,2040246,0.56686807,232.0,6608712.0600000005,0.057836194346877555,0.8585783,0.29171026,0.307320638111673
233,0.13559611016914017,0.07789927849228241,233.0,182.0,233,816,0.9725864123957092,0.0274135876042908,6.535367012023926,952409,0.26461944,233.0,2631748.42,0.01776560523352356,0.34180778,0.07718834,0.18490434300049363
234,0.14469281594668118,0.0987974145797096,195.0,97.0,234,821,0.9785458879618594,0.021454112038140627,6.531126022338867,1704595,0.47360957,234.0,1067065.01,0.030918867127204645,0.13849132,-0.33511823,0.08453435494009824
235,0.18865098272051134,0.12999640286988803,70.0,24.0,235,805,0.9594755661501788,0.040524433849821184,6.400815486907959,593724,0.16496107,235.0,2418267.73,0.021157387130241335,0.3140679,0.14910683,0.21506856739473665
236,0.1702332272149977,0.11092159313423233,108.0,64.0,236,816,0.9725864123957092,0.0274135876042908,6.442045211791992,660442,0.18349825,236.0,1735695.3,0.012984230251793554,0.22537379,0.04187554,0.16750838842137872
237,0.16685993543101682,0.10211056261471219,120.0,90.0,237,815,0.9713945172824792,0.028605482717520836,6.46519660949707,740236,0.20566851,237.0,812916.75,0.01113854690082541,0.105467044,-0.100201465,0.1243199678726219
238,0.19450749889134406,0.1777739594158318,56.0,2.0,238,819,0.9761620977353993,0.023837902264600697,6.511862754821777,1020849,0.28363505,238.0,1772412.19,0.023882046165106193,0.23014483,-0.05349022,0.15548719734509975
239,0.14981051809376197,0.10234553041675735,175.0,87.0,239,824,0.9821215733015495,0.017878426698450522,6.525112628936768,2284141,0.63463277,239.0,4721208.08,0.03502702189056963,0.6133142,-0.021318555,0.17965655478755774
240,0.18636754284657178,0.1379369723691886,79.0,15.0,240,816,0.9725864123957092,0.0274135876042908,6.530667781829834,1541612,0.42832577,240.0,3431059.01,0.06435989733588053,0.44567096,0.01734519,0.23846819362187602
241,0.22507712231978536,0.09864259628349883,16.0,99.0,241,807,0.9618593563766389,0.038140643623361115,6.507684707641602,564654,0.15688416,241.0,1303467.72,0.024683318281010357,0.16920972,0.012325555,0.18036386999384865
242,0.13133496544545595,0.07385803408595543,252.0,201.0,242,812,0.9678188319427891,0.03218116805721094,6.525053977966309,300464,0.083480634,242.0,1802849.93,0.023907866099030672,0.23409992,0.1506193,0.2168975627944495
243,0.1770484626843846,0.10423765921529146,95.0,83.0,243,813,0.9690107270560191,0.030989272943980906,6.405294418334961,389312,0.10816649,243.0,439133.49,0.01292321316061022,0.056897294,-0.0512692,0.1418702523085301
244,0.19302847753057167,0.0987562103241327,60.0,98.0,244,794,0.9463647199046484,0.05363528009535157,6.508418083190918,82079,0.022803742,244.0,923946.11,0.07491206765059231,0.11989431,0.09709057,0.2861207063869678
