mae,rmse,model,exp,uncertainty_error_corr
0.1633717988152057,0.2679744372144341,POUR,final_rq_pour,0.6027470253171027
0.1803920799866318,0.2870107223279774,gru,baseline_gru,
0.1863822746090591,0.290763565339148,stgc,baseline_stgc,
0.1958843949250877,0.3038452481850981,transformer,baseline_transformer,
