model,mae,rmse,uncertainty_error_corr
POUR,0.1633717988152057,0.2679744372144341,0.6027470253171027
GRU,0.1803920799866318,0.2870107223279774,
STGC,0.1863822746090591,0.290763565339148,
Transformer,0.1958843949250877,0.3038452481850981,
