mae,rmse,uncertainty_error_corr,exp
0.1673473310656845,0.2746069012209773,0.6294024335269112,sweep_window_24
0.1829708241857588,0.2929390729404986,0.6598144631759069,sweep_hidden_256
0.1880435952916741,0.2990830913186073,0.6247564955275438,sweep_hidden_64
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_topk_5
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_hidden_128
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_topk_10
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_window_12
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_topk_3
0.1896294332109391,0.2987288543954491,0.6338014382615147,outputs_best_probe
0.1896294332109391,0.2987288543954491,0.6338014382615147,sweep_topk_20
0.1948194936849177,0.3039532699622214,0.6166601833516715,sweep_window_6
