MASTER_STATION_ID,nearest_station,nearest_line,mapped_cell_count,active_cell_count,surrounding_total_flow,surrounding_outflow,surrounding_inflow,surrounding_netflow,mean_cell_flow,median_cell_flow,max_cell_flow,mean_distance_m,min_distance_m,max_distance_m,mean_directional_imbalance,morning_peak_flow,daytime_flow,evening_peak_flow,night_flow,mean_temporal_entropy,active_cell_ratio,station_abs_net_flow,station_directional_imbalance,dominant_period,period_entropy,distance_band_entropy,outer_1km_plus_share,subway_out_sum,subway_in_sum,subway_net_sum,subway_record_count,subway_file_count,subway_total_activity,subway_abs_net_flow,subway_directional_imbalance,mobility_norm,subway_norm,mobility_minus_subway_gap,hidden_demand_score,subway_overrepresentation_score,distance_norm,distance_weighted_hidden_demand,outer_hidden_demand_score,diverse_living_area_score,directional_mismatch_score,station_type
2519,까치산,5호선,57,57,368935521.44,185486816.36,183448705.08,-2038111.28,6472553.007719298,3831744.56,109370397.68,913.964191091228,157.6041921,1999.721604,0.05632757036717486,64467709.44,0.0,78274432.65,226193379.35,0.9148989563404732,1.0,2038111.28,0.005524302111233435,night,0.9337102301650138,1.3190023005947575,0.18310552038016847,136236779,125620888,-10615891,245727,6096,261857667,10615891,0.04054069190191021,1.0,0.3218748880992721,0.6781251119007279,0.6781251119007279,0.0,0.321010465617675,0.321010465617675,0.12416845149744275,0.34222501247029635,0.035016389790676776,diverse_living_area_hidden
2824,단대오거리,8호선,95,67,269839175.43,135431923.11,134407252.32,-1024670.7900000002,2840412.3729473683,1138981.87,16437974.94,1664.2136890010524,124.1190564,3103.632709,0.01120946004179786,57187731.84,0.0,58239138.1,154412305.49,0.6859089647706821,0.7052631578947368,1024670.7900000002,0.003797338871819277,night,0.9791579117427929,1.42196966103996,0.44353786228140796,47508243,45170428,-2337815,243269,6096,92678671,2337815,0.02522495170436788,0.7309191035312452,0.11391769839729314,0.6170014051339521,0.6476544815423529,0.030653076408400867,0.586640599453241,0.4287868210473952,0.2872592842402688,0.4465772025667816,0.01566185156238103,diverse_living_area_hidden
2561,마천,5호선,312,105,253468351.25,127986942.84,125481408.41,-2505534.43,812398.561698718,0.0,17726434.17,2511.516994381731,119.0850307,4953.652533,0.015163792159019591,47388918.61,0.0,48787763.71,157291668.93,0.29742381069571994,0.33653846153846156,2505534.43,0.009884999123731824,night,0.9267599886284943,1.4422866572419195,0.4984772738170403,30620479,29146443,-1474036,241819,6096,59766922,1474036,0.02466307366472712,0.6864666466682824,0.07346211589568687,0.6130045307725955,0.6360373543122135,0.02303282353961798,0.8866331899642967,0.608644112739593,0.31705016642335515,0.33663484818157186,0.010144655274370959,diverse_living_area_hidden
249,신정네거리,2호선,60,57,239125569.46,120307583.72,118817985.74,-1489597.98,3985426.157666667,1684377.995,17485344.82,1016.6552342593333,93.73475476,2006.198521,0.08279483275672113,45111832.57,0.0,47047547.08,146966189.81,0.8717691823288161,0.95,1489597.98,0.006229354658156597,night,0.9337016863682563,1.3060985617505714,0.36036712817704214,42508974,42910777,401803,244072,6096,85419751,401803,0.004703865268818215,0.6475210272049827,0.10499493233789715,0.5425260948670856,0.5795346007662299,0.03700850589914433,0.3573688178944216,0.2314038240540263,0.2088452197573549,0.28959419959707267,0.0009877864563746911,diverse_living_area_hidden
2716,중계,7호선,33,32,243142201.45,121906520.89,121235680.56,-670840.3300000001,7367945.498484848,5329251.0600000005,68507217.19999999,704.9660650766666,69.41384373,1825.169709,0.08100696155197593,41832318.09,0.0,45581782.15,155728101.21,0.8731405848644481,0.9696969696969697,670840.3300000001,0.002759045225384094,night,0.9020089613126345,1.145435020214021,0.1636961299298954,68860601,61981727,-6878874,243994,6096,130842328,6878874,0.05257376649550289,0.6584275740169632,0.1608289997178794,0.4975985742990838,0.552533325901145,0.05493475160206121,0.24701348149533014,0.16264048737045425,0.09044756710731108,0.1969880259103194,0.032799386076215534,diverse_living_area_hidden
2611,응암,6호선,48,43,240498375.91,121480519.47,119017856.44,-2462663.03,5010382.831458333,3018262.795,16086911.67,952.4200471041667,35.6109924,2095.745578,0.04203685875066546,42275970.32,0.0,47865010.04,150357395.55,0.8136379468988643,0.8958333333333334,2462663.03,0.01023983226781367,night,0.920542594885738,1.3088506165481877,0.18816765231269209,81217698,78000950,-3216748,243868,6096,159218648,3216748,0.0202033369860043,0.651248672119426,0.1957095694151015,0.4555391027043245,0.5237930749167765,0.06825397221245201,0.3346259817998743,0.21792472630382737,0.09856091320473588,0.24198451152287567,0.006488719217377285,diverse_living_area_hidden
314,홍제,3호선,82,71,238227911.64,119995499.0,118232412.64,-1763086.36,2905218.4346341463,687001.8899999999,16642861.65,1266.8474782186584,73.51952263,3235.434716,0.04515047065284536,43085825.35,0.0,45013135.08,150128951.21,0.7785089416661537,0.8658536585365854,1763086.36,0.007400838750852596,night,0.915098207589014,1.4481242495682296,0.35203442150276837,83859368,78458230,-5401138,244018,6096,162317598,5401138,0.03327512276272102,0.6450835753648976,0.19951884212781432,0.44556473323708323,0.5163772473324225,0.07081251409533931,0.4459508155267933,0.2876755465169157,0.1817825655418613,0.2547791281326689,0.016691075640382892,diverse_living_area_hidden
2560,거여,5호선,40,37,209602046.57,105156069.68,104445976.89,-710092.7899999999,5240051.164249999,3368923.205,23489016.84,834.03861941625,97.90396625,1888.735198,0.04061384440486414,35238449.63,0.0,43171210.15,131192386.79,0.8577258566059683,0.925,710092.7899999999,0.0033878142013410778,night,0.9184761456597657,1.1807617254743303,0.5080543103592082,42553664,39770873,-2782791,240972,6096,82324537,2782791,0.03380269238562496,0.5673544385665344,0.10119025196867318,0.4661641865978613,0.5099436999724417,0.04377951337458045,0.29271235897440956,0.16607165608741203,0.25907909481152186,0.20973018113659966,0.017256016136313918,diverse_living_area_hidden
4107,가양,9호선,55,40,212046872.73,106515348.74,105531523.99,-983824.75,3855397.6859999998,892151.29,21664126.57,1071.3223899054544,144.7269466,2381.578555,0.024050897968523194,38134286.68,0.0,42605930.15,131306655.9,0.6704288017441322,0.7272727272727273,983824.75,0.004639656965149905,night,0.9277803704460528,1.4522461563847278,0.17196349986462728,34979522,63740659,28761137,241642,6096,98720181,28761137,0.2913399946055609,0.5739929882339125,0.12134400704589396,0.45264898118801855,0.5043423790253629,0.05169339783734435,0.3767240376061904,0.21623695608512206,0.0867284806272538,0.2704583342109985,0.1645639835298912,directional_mismatch
2823,남한산성입구(성남법원.검찰청),8호선,264,78,214095899.07,107440582.21,106655316.86,-785265.35,810969.3146590908,0.0,14102676.02,2783.316577905985,86.92516978,4988.744049,0.01989497764666048,40335660.28,0.0,41661578.39,132098660.4,0.25491547187740493,0.29545454545454547,785265.35,0.0036678206047433565,night,0.9309308399784706,1.4933514151074483,0.4007729411572984,56816954,52404678,-4412276,243126,6096,109221632,4412276,0.04039745533192546,0.5795568043245648,0.13425253759275355,0.4453042667318112,0.5017498326648451,0.0564455659330338,0.9828653899846113,0.5696263245006984,0.20108775616227226,0.2819976141622308,0.02128690972649422,diverse_living_area_hidden
