priority_rank,station_id,station_name_en,nearest_line_en,reconstruction_label,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,axis_observed_subway_score
1,2561,Macheon,Line 5,High Priority Hidden Demand,1.0,1.0,1.0,0.6678655640485258,0.0906336817226091,0.0734621158956868
2,2824,Dandaeogeori,Line 8,High Priority Hidden Demand,0.9212346761137288,0.796494601645585,0.9602055102487024,0.7660305664580683,0.208365751454968,0.1139176983972931
3,249,Sinjeongnegeori,Line 2,High Priority Hidden Demand,0.8756569727643005,0.6826106985422558,0.8555770440508486,0.6555475949002469,0.4743059692884956,0.1049949323378971
4,2519,Kkachisan,Line 5,Potential Hidden Demand,0.8543343788529321,0.956395573320638,0.7948130384743927,1.0,0.5747395919767537,0.3218748880992721
5,2757,Bucheon City Hall,Line 7,High Priority Hidden Demand,0.8509471495617229,0.5224895335679764,0.8582106103542266,0.5256877342459401,0.7432958316429825,0.0692149270924231
6,2823,Namhansanseong,Line 8,Potential Hidden Demand,0.8478488583749231,0.8159171226252417,0.832876990670097,0.5644292487178295,0.0156031594348206,0.1342525375927535
