epoch,loss,val_mae,val_rmse
1,0.2596730837162505,0.2836013874039054,0.42154278606176376
2,0.18654113521812654,0.2814816371537745,0.4137057177722454
3,0.17688768446868194,0.24231305439025164,0.35937378415837884
4,0.16915804121299838,0.24366179760545492,0.3565463121049106
5,0.15714452125079242,0.2516246731393039,0.379429473541677
6,0.15967509726471935,0.2823210582137108,0.4145811409689486
7,0.17256769516789322,0.22921189665794373,0.3553652912378311
8,0.15428526284741173,0.2439995277673006,0.36896462738513947
9,0.1509136215169379,0.24350372608751059,0.36094773607328534
10,0.1488199344182268,0.23396419174969196,0.3501127678900957
11,0.15564870868697234,0.2629472524859011,0.37286572298035026
12,0.15587224415008058,0.2385571077466011,0.35463191056624055
13,0.150852261045089,0.22968140617012978,0.3453751979395747
14,0.15724597263632092,0.23397559160366654,0.3470825804397464
15,0.14266031306791813,0.23220882192254066,0.34237518534064293
16,0.17117834067408075,0.2544139022938907,0.3826430896297097
17,0.15015992855137966,0.23790429020300508,0.3474249765276909
18,0.14164686942776888,0.2572380807250738,0.3634313982911408
19,0.14874396932886003,0.2179456134326756,0.3353018374182284
20,0.13307808276186597,0.2402900061570108,0.36440835939720273
