station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank
150,0.1661297454143919,0.09309492544049307,122.0,114.0
151,0.12688573559834845,0.07505214237497145,267.0,195.0
152,0.13686143574970108,0.06834017731958912,226.0,248.0
153,0.12170978066703632,0.07382321660998205,280.0,202.0
154,0.14185284097043302,0.08330753649185815,205.0,158.0
155,0.21135260679773865,0.12269770467195602,30.0,38.0
156,0.1785812690735809,0.10930542870542956,93.0,68.0
157,0.204520515997022,0.13773186560350636,40.0,16.0
158,0.19476574618546738,0.1071606437217385,54.0,72.0
159,0.2209704321217797,0.12330974059600741,20.0,36.0
201,0.15179898845445775,0.07063568103282403,169.0,229.0
202,0.1440053641382191,0.06456679264526989,198.0,272.0
203,0.1333202583294007,0.06584697511409301,244.0,265.0
204,0.13041383206016485,0.07886877608788566,258.0,177.0
205,0.15968908538066198,0.08970664100876698,139.0,128.0
206,0.1927382451548641,0.14459838065843544,61.0,12.0
207,0.13738382330666932,0.07915191912047918,223.0,175.0
208,0.1738245178250567,0.10513890012100875,100.0,79.0
209,0.1862100958232841,0.08687243629468698,80.0,139.0
210,0.16044609291212888,0.09447059899435513,138.0,110.0
211,0.15916264621570472,0.09128725318725979,143.0,124.0
212,0.14096128387406232,0.09324398451662134,208.0,113.0
213,0.13013635876307653,0.07375376533443431,259.0,204.0
214,0.15067969402150497,0.09002242943286777,172.0,127.0
215,0.15497559925156937,0.08708484903798396,157.0,137.0
216,0.24695415589071448,0.21063842305189212,4.0,1.0
217,0.14776377511166386,0.09104737894025648,183.0,126.0
218,0.20214038413491037,0.09753479554007452,45.0,102.0
219,0.13634879204134143,0.07923913302106993,230.0,173.0
220,0.1546263996156908,0.08369626657120768,158.0,156.0
221,0.1359450251603174,0.07236033752412788,231.0,216.0
222,0.1504862252445448,0.08489349379337263,174.0,149.0
223,0.14965981328416436,0.0810439813527323,176.0,169.0
224,0.1480959149521022,0.08295950016620317,181.0,159.0
225,0.19412455173238868,0.12890626830788005,57.0,25.0
226,0.18804993369867878,0.13100755192073332,71.0,22.0
227,0.1299780704849769,0.06845764668384892,260.0,246.0
228,0.1624593497978316,0.0811818750493879,129.0,167.0
229,0.1184419327164217,0.061530665223235394,289.0,290.0
230,0.12534690711588142,0.07387645572113494,271.0,200.0
231,0.10938801868330862,0.05776365139033821,304.0,301.0
232,0.20318171432803542,0.14587955978580763,42.0,10.0
233,0.13559611016914017,0.07789927849228241,233.0,182.0
234,0.14469281594668118,0.0987974145797096,195.0,97.0
235,0.18865098272051134,0.12999640286988803,70.0,24.0
236,0.1702332272149977,0.11092159313423233,108.0,64.0
237,0.16685993543101682,0.10211056261471219,120.0,90.0
238,0.19450749889134406,0.1777739594158318,56.0,2.0
239,0.14981051809376197,0.10234553041675735,175.0,87.0
240,0.18636754284657178,0.1379369723691886,79.0,15.0
241,0.22507712231978536,0.09864259628349883,16.0,99.0
242,0.13133496544545595,0.07385803408595543,252.0,201.0
243,0.1770484626843846,0.10423765921529146,95.0,83.0
244,0.19302847753057167,0.0987562103241327,60.0,98.0
245,0.2016363073362126,0.10948723885008975,47.0,67.0
