STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
2824,12038,0.9460117878192534,0.053988212180746564,9.188374519348145,4997642,0.10217581,2824.0,44000848.94,0.01094897242503318,0.83649206,0.73431623,0.36682847558876314
2519,12127,0.9530058939096268,0.046994106090373244,9.183084487915039,13777168,0.2816776,2519.0,52599700.79,0.06050270507968692,1.0,0.7183224,0.430225933961175
2561,11840,0.9304518664047151,0.06954813359528489,9.201509475708008,2594955,0.053051677,2561.0,38298709.32,0.014668244862075434,0.7280654,0.6750137,0.3608941522185991
249,12105,0.9512770137524558,0.04872298624754423,9.195657730102539,4231233,0.086506195,249.0,35884118.43,0.08220924594677098,0.68215173,0.59564555,0.42763297884543894
2560,11858,0.9318664047151277,0.06813359528487228,9.166807174682617,3299329,0.06745295,2560.0,32366589.66,0.04386295929771779,0.61526555,0.5478126,0.36660352935296064
2611,12090,0.950098231827112,0.04990176817288805,9.192573547363281,8289517,0.16947983,2611.0,37427282.2,0.04143034609902926,0.71149516,0.5420153,0.3554807800733739
221,12167,0.9561493123772102,0.043850687622789764,9.03575611114502,21269762,0.43486744,221.0,51371297.59,0.013692611583797233,0.9766418,0.54177433,0.31413174958022577
4107,11947,0.938860510805501,0.061139489194498964,9.132490158081055,2535022,0.051826313,4107.0,30829443.41,0.01942620130898439,0.58603656,0.53421026,0.32592109672915487
314,12117,0.9522200392927308,0.0477799607072692,9.193611145019531,9073979,0.18551855,314.0,37339486.62,0.05356853603917016,0.7098257,0.52430713,0.36706334295386805
2823,12028,0.9452259332023576,0.05477406679764241,9.151923179626465,5960570,0.12186335,2823.0,33591054.72,0.012300602260197888,0.6385489,0.51668555,0.30887003441378424
211,12215,0.9599214145383104,0.04007858546168963,9.051267623901367,12994158,0.26566857,211.0,41103433.33,0.030204548023854194,0.7813974,0.51572883,0.3290519582284535
4709,2151,0.16903732809430255,0.8309626719056975,7.3597917556762695,136797,0.0027934073,4709.0,27247379.330000002,0.021745758506186548,0.5179233,0.51512986,0.5805402519206011
2820,12092,0.9502554027504911,0.04974459724950886,9.174093246459961,7726096,0.15796041,2820.0,34744185.55,0.06364741415359605,0.66047573,0.5025153,0.37596452937301034
248,12026,0.9450687622789784,0.0549312377210216,9.1897554397583,3093188,0.0632383,248.0,29422721.3,0.08265842321845462,0.55928767,0.49604937,0.4028187243221785
213,12150,0.9548133595284872,0.04518664047151277,9.182868957519531,11543684,0.2360129,213.0,37908880.31,0.02701398308985778,0.72065276,0.48463985,0.3176478699347359
