condition,condition_label,uses_visual_reasoning_rate,uses_mobility_subway_reasoning_rate,uses_temporal_reasoning_rate,unsupported_visual_reasoning_rate,visual_primary_rate
image_only,Image-only,1.0,0.0,0.0,0.49693251533742333,0.9969325153374233
tabular_only,Tabular-only,0.0061162079510703364,1.0,0.9847094801223242,0.0,0.0
naive_multimodal,Naive multimodal,1.0,1.0,1.0,0.49693251533742333,0.0
structured_multimodal,Structured multimodal,0.2324159021406728,1.0,0.9938837920489296,0.05198776758409786,0.0
