action_acc,adherence,avg_reward,change_prob,cognitive_fit,condition,engagement,experiment,model,obs_dropout,obs_noise,state_acc,state_acc_step_1,state_acc_step_10,state_acc_step_11,state_acc_step_12,state_acc_step_2,state_acc_step_3,state_acc_step_4,state_acc_step_5,state_acc_step_6,state_acc_step_7,state_acc_step_8,state_acc_step_9
0.9996744930744171,0.9130669385194778,0.927917891740799,,0.9190277993679047,,0.9457236528396606,inference_accuracy,full,,,0.9986491143703461,0.9984375238418579,0.998046875,0.999218761920929,0.9986327886581421,0.9994140863418579,0.9986327886581421,0.9984375238418579,0.9986327886581421,0.9984375238418579,0.998828113079071,0.9986327886581421,0.9984375238418579
0.9997395962476731,0.9128184050321579,0.9282883256673813,,0.919881621003151,,0.9461957186460495,inference_accuracy,no_memory_belief,,,0.9981445491313934,0.9984375238418579,0.998046875,0.9976562261581421,0.998242199420929,0.997851550579071,0.998046875,0.998046875,0.998242199420929,0.998046875,0.998242199420929,0.998242199420929,0.9986327886581421
1.0,0.9127450674772263,0.9281330466270447,,0.9196170687675476,,0.9460609793663025,inference_accuracy,oracle_state,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9996744930744171,0.9127358138561249,0.9281041622161865,,0.9195851504802703,,0.9460196197032928,ablation,full,,,0.9986491054296494,0.999218761920929,0.998046875,0.998828113079071,0.9994140863418579,0.998828113079071,0.998046875,0.998828113079071,0.9974609613418579,0.9990234375,0.9986327886581421,0.998828113079071,0.9986327886581421
0.9997884213924408,0.9116786003112793,0.928301352262497,,0.9205831319093705,,0.9465570628643036,ablation,no_memory_belief,,,0.9975911676883698,0.997265636920929,0.997265636920929,0.998242199420929,0.997265636920929,0.9990234375,0.997851550579071,0.9970703125,0.997265636920929,0.998046875,0.9966796636581421,0.997851550579071,0.997265636920929
0.9993815273046494,0.9121892601251602,0.9282835721969604,,0.9202764987945556,,0.9463595628738404,ablation,no_belief_gru,,,,,,,,,,,,,,,
0.9867024928331375,0.9111690640449523,0.9263923823833465,,0.9176306694746017,,0.944381120800972,ablation,obs_only,,,,,,,,,,,,,,,
1.0,0.9120619833469391,0.9284068048000336,,0.9205807715654373,,0.946534925699234,ablation,oracle_state,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4948405116796494,0.8182939052581787,0.8409287929534912,,0.8362269848585129,,0.8614312589168549,ablation,static,,,,,,,,,,,,,,,
1.0,0.9123352348804474,0.9283437550067901,,0.9202895909547806,low,0.9463907361030579,robustness,full,0.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.912469682097435,0.9282793760299682,,0.9200895547866821,low,0.9462789922952652,robustness,obs_only,0.0,0.03,,,,,,,,,,,,,
0.9984212458133698,0.9126373380422592,0.92821986079216,,0.9198944061994553,medium,0.946150803565979,robustness,full,0.1,0.08,0.9955403834581376,0.9931640625,0.994921863079071,0.9957031011581421,0.997851550579071,0.995898425579071,0.9970703125,0.994921863079071,0.9964843988418579,0.9947265386581421,0.995898425579071,0.994140625,0.9957031011581421
0.969612643122673,0.9087981283664703,0.9242408663034439,,0.9154069274663925,medium,0.9424483478069305,robustness,obs_only,0.1,0.08,,,,,,,,,,,,,
0.9348795801401139,0.9030175358057022,0.9189224660396575,,0.9098100125789642,high,0.9376854002475739,robustness,full,0.3,0.15,0.8900716334581376,0.8609374761581421,0.8890625238418579,0.8896484375,0.895703136920929,0.8929687738418579,0.896289050579071,0.9029296636581421,0.890625,0.8935546875,0.8900390863418579,0.892578125,0.886523425579071
0.8567382991313934,0.8935274541378021,0.9072473227977753,,0.8958213150501251,high,0.9261066168546677,robustness,obs_only,0.3,0.15,,,,,,,,,,,,,
0.9993001520633698,0.9118709683418273,0.9283534467220307,0.35,0.9206005424261093,,0.946529957652092,temporal_adaptation,full,,,0.9975586205720901,0.998242199420929,0.998242199420929,0.9976562261581421,0.9976562261581421,0.998242199420929,0.9976562261581421,0.997851550579071,0.9974609613418579,0.9964843988418579,0.9964843988418579,0.996874988079071,0.997851550579071
0.9997395962476731,0.9127573668956757,0.9279999226331711,0.35,0.919370973110199,,0.9459035038948059,temporal_adaptation,no_memory_belief,,,0.9981445521116257,0.998828113079071,0.9984375238418579,0.997851550579071,0.9984375238418579,0.9976562261581421,0.998242199420929,0.9974609613418579,0.9984375238418579,0.997851550579071,0.9974609613418579,0.998242199420929,0.998828113079071
