epoch,loss,pred_loss,recon_loss,unc_loss,val_mae,val_rmse,val_uncertainty_error_corr
1,-0.004183977041376624,0.10204692599328026,0.02982831953573451,-2.4229012117784596,0.23250266504868994,0.3250686585566893,0.4794475557130684
2,-0.0481657014725058,0.08559319666201343,0.014191500623145498,-2.817092913947219,0.22643440366451859,0.31552048315150155,0.5061573774853565
3,-0.06013665609518671,0.08111596311575014,0.012024392442402778,-2.945296252191254,0.22559294771120092,0.31692500360221504,0.47511045807157043
4,-0.0662745723970431,0.0788499608156263,0.010949413073609374,-3.011984737089379,0.22207750932490083,0.3120250262075342,0.48341562647056646
5,-0.06945257422776967,0.07766179948157341,0.010290943277516338,-3.045196850774801,0.2268696945328014,0.31454610021429485,0.48652480044434826
6,-0.07144859414357017,0.0768727763185756,0.009851584535685671,-3.064943197673288,0.22514440908610714,0.3134546940776578,0.4825686710299481
7,-0.07190675162921631,0.07662854079497093,0.00968685314676385,-3.0675743227906707,0.2225956237955053,0.31383035222825423,0.4762359031941491
8,-0.07279739847723474,0.07624261268352088,0.009544355111771931,-3.0762437186707308,0.2268036394146405,0.3195967961019406,0.47235449714016253
9,-0.07262562638025498,0.07648897524547388,0.009552599909803727,-3.0778179757439594,0.22693221387833376,0.3167864789159073,0.47593912379205433
10,-0.07219565724595607,0.07656188858412723,0.009575481676169418,-3.0709056777285317,0.22858455907774866,0.31730136056713054,0.4892072192204733
11,-0.0709560978089318,0.07705060025688429,0.00967834912227553,-3.056917395641791,0.22504594017427437,0.31289024641442725,0.4786512457524384
12,-0.06904540932633713,0.0777842731575111,0.009965980104644789,-3.036253394745558,0.2274837131170455,0.31567461997624874,0.49857306075506375
13,-0.06691068821664181,0.07854829326114973,0.010264559055073607,-3.011825166170609,0.22551687076198412,0.31335940209459257,0.5032546663477939
14,-0.06432536087998746,0.07964704959888914,0.010772764679290338,-2.9871758016203893,0.23258436037519875,0.3239832037570807,0.48047076885212975
15,-0.05864797177334079,0.08221394623081607,0.011697293206448734,-2.9342112359069517,0.2324721799300559,0.31979733121544035,0.5040201973530053
16,-0.045230683869849304,0.08783753242123071,0.014664114807539607,-2.8080054208869103,0.23820203765491169,0.33072833605478447,0.4901221112570814
17,-0.034201753206252766,0.09296883465845693,0.017395322495696645,-2.717364930256024,0.24802098331817954,0.33999219803098657,0.500656376911195
18,-0.017308988830420036,0.10030133543561891,0.021857773573831896,-2.570784172837705,0.24691993964912187,0.3493079840746614,0.48790366240885363
19,-0.010730314405297675,0.10358079722153493,0.02278500048363467,-2.5140721892580884,0.2438335713812019,0.3410370624908487,0.4864679890586957
