STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
150,12235,0.9614931237721022,0.038506876227897835,9.214536666870117,17317537,0.3540622,150.0,1178720.11,0.021765565703276448,0.02222542,-0.3318368,0.08239024986745332
151,12211,0.9596070726915521,0.0403929273084479,9.114681243896484,5873839,0.1200901,151.0,7807417.449999999,0.011865575614600062,0.1482707,0.0281806,0.16848127029987434
152,12215,0.9599214145383104,0.04007858546168963,9.138035774230957,12624890,0.2581187,152.0,23476003.72,0.0224310473761048,0.44621027,0.18809158,0.22751807839205318
153,12221,0.9603929273084479,0.03960707269155206,9.165653228759766,11979423,0.2449218,153.0,10537180.639999999,0.01480600621579102,0.2001774,-0.044744402,0.152231805794912
154,12188,0.9577996070726915,0.04220039292730848,9.10906982421875,8318594,0.17007433,154.0,24581702.32,0.021843749341518913,0.4672352,0.29716086,0.2575309943641489
155,12220,0.9603143418467583,0.039685658153241654,9.238931655883789,5751424,0.11758726,155.0,7635992.3,0.01393503619972999,0.14501104,0.027423777,0.17096591212231113
156,12182,0.9573280943025541,0.042671905697445944,9.178720474243164,5509667,0.11264442,156.0,5025171.67,0.016823341255556484,0.09536604,-0.01727838,0.16369831371342503
157,12139,0.9539489194499018,0.04605108055009821,9.11090087890625,7019818,0.1435202,157.0,12482190.57,0.08902544324221909,0.23716195,0.09364174,0.29768220435425435
158,12234,0.9614145383104126,0.03858546168958743,9.20390510559082,9467398,0.19356221,158.0,13679007.75,0.011451793377347773,0.25991952,0.066357315,0.17784167454095548
159,12200,0.9587426326129665,0.04125736738703345,9.11094856262207,3808688,0.07786705,159.0,7705765.34,0.00432794983412664,0.14633778,0.068470724,0.16923177643107604
201,12138,0.9538703339882122,0.04612966601178781,9.03381061553955,11142344,0.22780731,201.0,13453350.61,0.025909118366667525,0.25562865,0.027821332,0.19017423680797463
202,12201,0.9588212180746561,0.041178781925343855,9.140454292297363,22693077,0.4639678,202.0,35601817.68,0.014468821081175401,0.6767837,0.21281588,0.22344509525057454
203,12044,0.946483300589391,0.05351669941060899,9.081292152404785,9336011,0.19087593,203.0,8937124.44,0.034818724209879706,0.16975218,-0.021123752,0.1917249257488819
204,12114,0.9519842829076621,0.04801571709233787,9.087444305419922,5712932,0.11680027,204.0,6027196.359999999,0.011666516318084198,0.11441963,-0.0023806393,0.16229600448515105
205,12170,0.956385068762279,0.04361493123772098,9.232315063476562,9357018,0.19130543,205.0,6782780.34,0.01961757105948142,0.12878713,-0.0625183,0.15546787027916098
206,12119,0.95237721021611,0.04762278978389001,9.21710205078125,7377824,0.15083982,206.0,12816615.43,0.031047862571289882,0.24352105,0.09268123,0.2158678339069469
207,12092,0.9502554027504911,0.04974459724950886,9.17263412475586,5984369,0.12234993,207.0,16973714.72,0.08335366153313271,0.32256863,0.20021869,0.320332782524586
208,12183,0.9574066797642437,0.04259332023575635,9.22287368774414,8086546,0.16533,208.0,8769124.88,0.018934452566578552,0.16655765,0.001227662,0.1717740214616548
209,12095,0.9504911591355599,0.049508840864440073,9.087191581726074,5340204,0.10917966,209.0,11471430.13,0.12911036354182517,0.21794224,0.10876258,0.3597569171009926
210,12150,0.9548133595284872,0.04518664047151277,9.111483573913574,8118933,0.16599216,210.0,13709969.72,0.022497019992925676,0.26050827,0.09451611,0.20345822528014404
211,12215,0.9599214145383104,0.04007858546168963,9.051267623901367,12994158,0.26566857,211.0,41103433.33,0.030204548023854194,0.7813974,0.51572883,0.3290519582284535
212,12250,0.962671905697446,0.037328094302554016,9.219921112060547,23764759,0.4858789,212.0,19531611.15,0.021940020393993242,0.3712073,-0.11467162,0.1422493855353657
213,12150,0.9548133595284872,0.04518664047151277,9.182868957519531,11543684,0.2360129,213.0,37908880.31,0.02701398308985778,0.72065276,0.48463985,0.3176478699347359
214,12183,0.9574066797642437,0.04259332023575635,9.233766555786133,24204995,0.49487975,214.0,21300289.93,0.0140979281125008,0.40483886,-0.09004089,0.1397089565049103
215,12088,0.9499410609037328,0.05005893909626724,9.157596588134766,8235763,0.16838081,215.0,22240737.79,0.06360046432614135,0.42272156,0.25434077,0.3074295348713581
216,12175,0.9567779960707269,0.04322200392927311,9.20582103729248,42100634,0.860765,216.0,38858038.19,0.14124934083962531,0.7387011,-0.122063875,0.3110653439337862
217,12162,0.9557563850687623,0.04424361493123774,9.20615005493164,13235505,0.27060303,217.0,22829910.54,0.015584468245105535,0.43392473,0.1633217,0.21237022299214603
218,12170,0.956385068762279,0.04361493123772098,9.021546363830566,8056898,0.16472383,218.0,5377339.66,0.08615155171597062,0.102062546,-0.06266128,0.24961364512046957
219,12198,0.9585854616895875,0.04141453831041253,9.140898704528809,26347306,0.5386804,219.0,27505234.44,0.030097605927322676,0.52282643,-0.015853941,0.18246378312059375
220,12196,0.9584282907662083,0.04157170923379172,9.090472221374512,22468344,0.45937303,220.0,21829925.68,0.01607975658779711,0.41490996,-0.04446307,0.15476753901053505
221,12167,0.9561493123772102,0.043850687622789764,9.03575611114502,21269762,0.43486744,221.0,51371297.59,0.013692611583797233,0.9766418,0.54177433,0.31413174958022577
222,12210,0.9595284872298625,0.0404715127701375,9.190681457519531,48910686,1.0,222.0,27774506.959999997,0.050323040759989675,0.52794665,-0.47205335,0.08472763124289821
223,12164,0.9559135559921415,0.04408644400785855,9.156532287597656,18306065,0.37427315,223.0,21197201.22,0.008635579173914066,0.40287864,0.02860549,0.16525748210731642
224,12118,0.9522986247544204,0.0477013752455796,9.137592315673828,10559324,0.21588717,224.0,15317912.49,0.018857358909066004,0.29108343,0.07519625,0.19380590619627916
225,12124,0.952770137524558,0.04722986247544203,9.160248756408691,9991708,0.20428199,225.0,21863310.19,0.08145135492227969,0.41554475,0.21126276,0.3198532482862629
226,12201,0.9588212180746561,0.041178781925343855,9.2132568359375,21564076,0.44088483,226.0,14579885.08,0.04180067785500516,0.27704978,-0.16383505,0.15806323426918964
227,12174,0.9566994106090373,0.04330058939096271,9.191267013549805,14398254,0.29437602,227.0,23540927.34,0.026962436849904414,0.4474448,0.15306878,0.22532952757953584
228,12205,0.9591355599214145,0.04086444007858547,9.23060131072998,25207161,0.5153695,228.0,35605701.339999996,0.025325732194194775,0.6768576,0.16148812,0.22452691521083287
229,12126,0.9529273084479372,0.04707269155206284,9.1987886428833,10561270,0.21592696,229.0,23260477.02,0.01913933433835005,0.44211203,0.22618507,0.2357153537645009
230,12207,0.9592927308447937,0.04070726915520628,9.209077835083008,33393855,0.6827506,230.0,16132124.23,0.17558402478237614,0.30656576,-0.37618482,0.28861476525439883
231,12156,0.9552848722986248,0.0447151277013752,9.211359977722168,12599248,0.25759444,231.0,29744709.63,0.021781442715250187,0.56541026,0.30781582,0.2612251287880253
