epoch,loss,pred_loss,recon_loss,unc_loss,val_mae,val_rmse,val_uncertainty_error_corr
1,0.19087258376637284,0.18149513854664198,0.15041002619023225,-1.316551326658754,0.2317527485718517,0.3392370935506041,0.5176427333382981
2,0.0683974410705015,0.11859746704600295,0.09259595931792745,-1.9299600837182025,0.19516967513463782,0.30990542630729434,0.6101037609233393
3,0.0428339928033806,0.11056838477043067,0.07481556541862942,-2.1028434558765214,0.18960163995342436,0.306895486588748,0.6136645035566137
4,0.02779078352816251,0.10600544776336676,0.06487940388421218,-2.2130872865416564,0.17355280088366204,0.28915376933115833,0.6417523980655908
5,0.014044348084602226,0.10051169832344768,0.05722831525668806,-2.301630112346338,0.17930581565922912,0.29014648993810016,0.6511147445052164
6,0.0012950704616754233,0.09723790992989022,0.04756329812514944,-2.3944897287556914,0.1719179059255798,0.2821761660230985,0.6525134024890146
7,-0.007396991986806701,0.09462019737784555,0.042072880410012746,-2.461072550906616,0.16330080708992556,0.2787754810268774,0.6438915839254473
8,-0.015223577760514759,0.09126984632643713,0.03984094453456045,-2.5282778756959097,0.16085031951935785,0.27619887785341757,0.6317033698495279
9,-0.020256319571109044,0.09008474308921366,0.037223146668299525,-2.579052671080544,0.15513529591028047,0.27286146731121735,0.6015200942614534
10,-0.02642083095044506,0.08755357498619833,0.034362470096319306,-2.623112770164905,0.15554586338734477,0.26829327717892026,0.6440835208333074
11,-0.03193316730816348,0.08527352611730699,0.03278019035323745,-2.6719357222115914,0.15181297738597077,0.26553245319885277,0.6659088444011791
12,-0.033758412423182504,0.08497834703853341,0.030638720077418146,-2.681122338852915,0.1526882530383344,0.2619801275197815,0.6681649590924279
13,-0.03776438136895498,0.08274593916373188,0.030044387759906904,-2.71065022884583,0.15017839952272438,0.259395070702025,0.6395002727169907
14,-0.04103949887006461,0.08168732994521151,0.0290558495603147,-2.7450950172482704,0.15498656362482588,0.26222635374504066,0.6572087109999373
15,-0.04327074516387213,0.08091024388970972,0.02692350710482419,-2.7528547967372297,0.15191140363238892,0.25939280282026567,0.6715390175806935
16,-0.04709402545779741,0.0787452000795173,0.028856365775474076,-2.8053481172542183,0.14425942840628653,0.25440094296662313,0.6563814957698598
17,-0.04923654098291786,0.07826749106907115,0.026652064611565093,-2.8166012338229587,0.1425380492172901,0.2528576640025625,0.6704134916196147
18,-0.052450435461641166,0.07693331513528516,0.025624449714562115,-2.843919454464296,0.14280312194389366,0.25240939480703584,0.6555737200926836
19,-0.05330894816489447,0.0770339946281545,0.025384808843638623,-2.8607068937651965,0.14064397522301045,0.2505293201725438,0.6624485571979443
20,-0.056360486778272254,0.07563738674178822,0.02395773962089399,-2.8795348123628264,0.14334089299605327,0.252610519247235,0.6333123729744825
21,-0.055873247078892324,0.07537090302679408,0.024664075496498825,-2.8715236975222216,0.13705435226548393,0.24686239434863036,0.6402825621983463
22,-0.05974265865119947,0.0742035111171656,0.023093437958432703,-2.9098577152304097,0.13977926271329136,0.24771284766542087,0.6705081129320136
23,-0.059877054443975695,0.07460910469344278,0.02272152865090135,-2.916938413081526,0.13758573151609432,0.24728981035310518,0.6668851145567072
24,-0.06049544484842391,0.0741268753042432,0.023803711934712063,-2.9304834644810684,0.13873679354880591,0.2449394572268492,0.6536677510940603
25,-0.06295108656291248,0.07356730544445467,0.022299537850784607,-2.9533631633181554,0.1356404186607157,0.24548111865355535,0.6331146865095939
26,-0.0645317947377964,0.07250773269607096,0.021720377891799626,-2.957994273730687,0.13623393556606844,0.2438805180150758,0.6655954331481587
27,-0.06595885356267293,0.07168118377425232,0.021565760152579164,-2.968458286596804,0.13148981295291734,0.24062130042591934,0.6481157528376146
28,-0.06497017293154787,0.07264866156592256,0.02099281433260157,-2.9623047812455368,0.13122538664618377,0.24153716046855134,0.6474848287435104
29,-0.06675154061949982,0.07145462329847878,0.02151069131356721,-2.9792301323949073,0.13661772870230224,0.244096114388052,0.6453315742737529
30,-0.06876683466288508,0.07113738009566759,0.02074758851533236,-3.0055601282184625,0.1348428691520631,0.242145633453843,0.6486133482644167
